// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23875		7.574841	0.377536	5.985153	-0.011616	0.039676	-0.003994	-0.661865	-0.430908	-0.142334	-0.422081	-0.395064	0.185232	-0.794645
23876		7.633943	0.418735	6.060789	-0.011685	0.031996	-0.004316	-0.666260	-0.430664	-0.153809	-0.422197	-0.394817	0.185182	-0.794718
23877		7.633596	0.404917	6.112449	-0.019567	0.044019	-0.005519	-0.664062	-0.427246	-0.156250	-0.422369	-0.394453	0.185142	-0.794817
23878		7.639018	0.370959	6.062411	-0.021403	0.043711	-0.011036	-0.662109	-0.428955	-0.147949	-0.422580	-0.394104	0.185093	-0.794889
23879		7.586906	0.354569	6.052779	-0.022735	0.032353	-0.017254	-0.661377	-0.433838	-0.153320	-0.422819	-0.393836	0.185072	-0.794900
23880		7.596702	0.339028	6.060592	-0.018442	0.027769	-0.018250	-0.655762	-0.432861	-0.151611	-0.423043	-0.393613	0.185036	-0.794899
23881		7.607327	0.293654	6.055101	-0.012321	0.027304	-0.012766	-0.668701	-0.434814	-0.155029	-0.423210	-0.393405	0.184981	-0.794926
23882		7.612711	0.315408	6.008647	-0.005271	0.023864	-0.003901	-0.664795	-0.429932	-0.150146	-0.423288	-0.393229	0.184923	-0.794985
23883		7.610957	0.351304	6.044180	0.004430	0.018390	0.001588	-0.657715	-0.421387	-0.150879	-0.423288	-0.393116	0.184842	-0.795060
23884		7.530790	0.419008	6.084217	-0.001072	0.010606	0.000123	-0.661133	-0.421387	-0.151855	-0.423302	-0.393037	0.184822	-0.795096
23885		7.449819	0.475463	6.083100	-0.006438	-0.003775	-0.010200	-0.662842	-0.425293	-0.155029	-0.423382	-0.393047	0.184850	-0.795042
23886		7.409654	0.485167	6.091225	-0.016594	-0.030345	-0.018594	-0.669434	-0.424561	-0.152344	-0.423516	-0.393207	0.185000	-0.794857
23887		7.476391	0.462279	6.111610	-0.015907	-0.054256	-0.026919	-0.667236	-0.430908	-0.148193	-0.423673	-0.393533	0.185189	-0.794568
23888		7.606051	0.333033	6.265599	-0.012851	-0.061136	-0.030653	-0.662109	-0.429688	-0.150879	-0.423839	-0.393916	0.185359	-0.794250
23889		7.713594	0.204839	6.270619	-0.007210	-0.033183	-0.032912	-0.667480	-0.427979	-0.145508	-0.424046	-0.394121	0.185383	-0.794032
23890		7.793536	0.099768	6.393810	-0.001239	0.012576	-0.039871	-0.656494	-0.433594	-0.147705	-0.424344	-0.394038	0.185196	-0.793958
23891		7.654751	0.258563	6.469255	0.011414	0.058967	-0.054625	-0.659912	-0.436768	-0.154541	-0.424762	-0.393693	0.184733	-0.794013
23892		7.463662	0.463648	6.558531	0.000223	0.056055	-0.079208	-0.659424	-0.438477	-0.156982	-0.425379	-0.393328	0.184274	-0.793970
23893		7.354103	0.464814	6.711174	-0.018331	0.022411	-0.104858	-0.664795	-0.430664	-0.152344	-0.426192	-0.393120	0.183947	-0.793713
23894		7.201583	0.350132	6.713261	-0.038311	0.017402	-0.117060	-0.651611	-0.436768	-0.147705	-0.427147	-0.392837	0.183688	-0.793400
23895		6.977533	0.225982	6.699046	-0.023074	0.014071	-0.121128	-0.659180	-0.443848	-0.156006	-0.428085	-0.392616	0.183308	-0.793091
23896		6.852159	0.021774	6.519515	0.031405	-0.004925	-0.119350	-0.660400	-0.449463	-0.152344	-0.428846	-0.392575	0.182635	-0.792856
23897		6.885318	-0.103620	6.276027	0.092181	-0.054497	-0.109688	-0.659180	-0.444336	-0.147217	-0.429282	-0.392965	0.181791	-0.792620
