// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
25861		9.852564	-0.375529	-0.858494	-0.022433	-0.004278	0.006238	-0.822998	-0.262207	-0.160889	0.605115	0.302770	-0.672072	0.300808
25862		9.791472	-0.356874	-0.844960	-0.024540	0.000544	0.005335	-0.817627	-0.256592	-0.167969	0.605167	0.302615	-0.672144	0.300699
25863		9.771546	-0.378597	-0.841167	-0.030326	0.003693	0.006112	-0.823242	-0.251709	-0.170410	0.605255	0.302410	-0.672213	0.300572
25864		9.765038	-0.357488	-0.868146	-0.034480	0.008955	0.006858	-0.820068	-0.254639	-0.175049	0.605375	0.302175	-0.672272	0.300436
25865		9.773238	-0.376171	-0.928979	-0.034852	0.013113	0.005740	-0.818115	-0.246582	-0.168945	0.605522	0.301935	-0.672307	0.300303
25866		9.783351	-0.366141	-0.928975	-0.030457	0.011344	0.007306	-0.822021	-0.253906	-0.168457	0.605642	0.301713	-0.672347	0.300196
25867		9.747362	-0.397442	-0.950590	-0.021595	0.011016	0.004982	-0.825928	-0.254883	-0.169922	0.605741	0.301550	-0.672362	0.300125
25868		9.750258	-0.377887	-0.934251	-0.013659	0.005131	0.005936	-0.824219	-0.247070	-0.164551	0.605781	0.301438	-0.672393	0.300088
25869		9.800433	-0.346394	-0.943368	-0.015285	0.003022	0.005961	-0.814697	-0.250488	-0.166992	0.605809	0.301325	-0.672442	0.300035
25870		9.796999	-0.326044	-0.956739	-0.025012	-0.000592	0.008817	-0.822754	-0.255615	-0.170898	0.605831	0.301158	-0.672544	0.299928
25871		9.773482	-0.380890	-0.924483	-0.028162	-0.007108	0.012245	-0.821777	-0.257080	-0.170166	0.605811	0.300978	-0.672700	0.299800
25872		9.781000	-0.432951	-0.945069	-0.018510	-0.014619	0.005843	-0.819092	-0.249023	-0.166748	0.605737	0.300902	-0.672857	0.299673
25873		9.780188	-0.391465	-0.945684	0.015664	-0.014133	-0.006722	-0.820801	-0.250000	-0.171387	0.605605	0.301067	-0.672901	0.299676
25874		9.730301	-0.289886	-0.873319	0.027027	-0.016313	-0.018613	-0.825928	-0.243408	-0.173828	0.605456	0.301363	-0.672902	0.299676
25875		9.755766	-0.016801	-0.826727	0.024932	-0.022255	-0.049938	-0.822510	-0.247070	-0.160889	0.605360	0.301844	-0.672859	0.299484
25876		9.795980	0.778236	-0.748620	-0.051145	-0.013147	-0.067943	-0.820068	-0.256104	-0.172852	0.605567	0.302042	-0.672899	0.298776
25877		9.872865	1.157223	-0.540570	-0.243669	-0.006368	-0.074557	-0.820557	-0.250977	-0.167480	0.606363	0.301359	-0.673320	0.296896
25878		10.045728	1.330162	-0.686274	-0.472460	-0.011040	-0.092332	-0.817383	-0.248779	-0.174072	0.607821	0.299715	-0.674214	0.293530
25879		9.884357	1.676413	-0.576111	-0.642712	0.011077	-0.108583	-0.818848	-0.260254	-0.171875	0.609925	0.297330	-0.675292	0.289081
25880		9.899808	1.582511	-0.733089	-0.815325	-0.009629	-0.148140	-0.811035	-0.257324	-0.183105	0.612520	0.294459	-0.676674	0.283240
25881		9.859032	1.623195	-0.975193	-0.925092	-0.020226	-0.207005	-0.813965	-0.250000	-0.178467	0.615472	0.291426	-0.678133	0.276408
25882		9.899810	1.772479	-0.956541	-0.947733	-0.047395	-0.267012	-0.823242	-0.255127	-0.190674	0.618457	0.288742	-0.679587	0.268888
25883		9.972969	1.349886	-1.373742	-0.930370	-0.081750	-0.353895	-0.812988	-0.256836	-0.187256	0.621490	0.287014	-0.680714	0.260770
25884		9.853442	1.239428	-1.926530	-0.711368	-0.059797	-0.529844	-0.815430	-0.261963	-0.193359	0.624383	0.287189	-0.680933	0.252978
25885		9.920302	1.808904	-1.716187	-0.440984	-0.034750	-0.742932	-0.806641	-0.259521	-0.194092	0.627161	0.290134	-0.679840	0.245577
25886		10.088329	2.734137	-1.638357	-0.264788	-0.041895	-0.911686	-0.805664	-0.281250	-0.196533	0.629567	0.294748	-0.678188	0.238392
25887		10.204819	3.195323	-1.466696	-0.181857	-0.033087	-1.023106	-0.808105	-0.293945	-0.193604	0.632125	0.300745	-0.675796	0.230804
25888		10.218352	3.465432	-1.228004	-0.162978	-0.057634	-1.093795	-0.795654	-0.313477	-0.193359	0.634643	0.307614	-0.673136	0.222463
25889		10.343803	3.804903	-1.272680	-0.150321	-0.072527	-1.149227	-0.782471	-0.328125	-0.195312	0.637095	0.314695	-0.670338	0.213833
25890		10.510366	4.284239	-1.269224	-0.188655	-0.084751	-1.172892	-0.778320	-0.333496	-0.194580	0.639497	0.321411	-0.667611	0.205021
25891		10.761990	4.709727	-1.156371	-0.267200	-0.076132	-1.173906	-0.787109	-0.346191	-0.190674	0.641986	0.327644	-0.664982	0.195709
