// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
25861		7.825800	-0.030584	5.823227	-0.018486	0.027297	-0.020491	-0.676025	-0.421143	-0.130127	-0.418022	-0.396005	0.211632	-0.789715
25862		7.840947	0.066818	5.716880	-0.024576	0.018332	-0.016695	-0.670898	-0.417236	-0.135498	-0.418245	-0.395828	0.211674	-0.789674
25863		7.802364	0.148502	5.771343	-0.022442	0.002174	-0.013945	-0.677002	-0.410889	-0.139648	-0.418417	-0.395753	0.211769	-0.789595
25864		7.824428	0.100387	5.787252	-0.036594	-0.006810	-0.021637	-0.675781	-0.416504	-0.146240	-0.418669	-0.395710	0.211961	-0.789432
25865		7.830348	0.059423	5.739794	-0.032932	-0.002538	-0.021079	-0.671387	-0.408691	-0.137207	-0.418914	-0.395653	0.212112	-0.789290
25866		7.840581	0.030107	5.774400	-0.032795	-0.003808	-0.017391	-0.675781	-0.413818	-0.140625	-0.419132	-0.395601	0.212278	-0.789155
25867		7.840589	0.057226	5.790530	-0.027718	-0.009900	-0.013929	-0.678711	-0.417725	-0.139648	-0.419301	-0.395603	0.212442	-0.789020
25868		7.856321	0.109091	5.791622	-0.027848	-0.007458	-0.014371	-0.677002	-0.409912	-0.131836	-0.419479	-0.395593	0.212594	-0.788890
25869		7.873816	0.135902	5.796175	-0.028243	-0.010347	-0.014535	-0.668213	-0.413574	-0.136230	-0.419658	-0.395607	0.212752	-0.788745
25870		7.872708	0.160501	5.791848	-0.027117	-0.004211	-0.018946	-0.674561	-0.419189	-0.142090	-0.419876	-0.395599	0.212859	-0.788604
25871		7.876253	0.173557	5.757841	-0.030023	-0.006437	-0.027327	-0.672607	-0.419189	-0.140869	-0.420160	-0.395619	0.212955	-0.788417
25872		7.883072	0.130118	5.804249	-0.034027	-0.016002	-0.034543	-0.672852	-0.413330	-0.135498	-0.420493	-0.395712	0.213077	-0.788160
25873		7.879185	0.147741	5.737613	-0.035575	-0.012241	-0.033472	-0.671387	-0.414795	-0.138184	-0.420835	-0.395781	0.213190	-0.787912
25874		7.857093	0.128121	5.718609	-0.039210	-0.024014	-0.043414	-0.676758	-0.407227	-0.144043	-0.421238	-0.395944	0.213327	-0.787578
25875		7.877522	0.160837	5.741058	-0.043377	-0.035049	-0.050718	-0.675781	-0.410400	-0.132080	-0.421686	-0.396188	0.213500	-0.787168
25876		7.901799	0.141247	5.747957	-0.052008	-0.051026	-0.062960	-0.668213	-0.421875	-0.140137	-0.422218	-0.396541	0.213738	-0.786640
25877		7.899776	0.022825	5.790071	-0.047992	-0.047585	-0.070378	-0.668213	-0.415283	-0.137695	-0.422795	-0.396908	0.213897	-0.786102
25878		7.920369	-0.134422	5.774168	-0.033884	-0.038358	-0.071188	-0.670654	-0.412354	-0.140869	-0.423344	-0.397261	0.213939	-0.785617
25879		7.939404	-0.204018	5.831213	-0.010203	-0.032807	-0.061624	-0.668945	-0.427002	-0.131836	-0.423754	-0.397636	0.213857	-0.785228
25880		7.892988	-0.183376	5.829042	0.010764	-0.015459	-0.048070	-0.665527	-0.423828	-0.138672	-0.424029	-0.397951	0.213634	-0.784981
25881		7.782387	-0.105819	5.845276	0.024990	-0.010195	-0.034690	-0.667969	-0.417480	-0.133057	-0.424165	-0.398226	0.213361	-0.784842
25882		7.703218	-0.006492	5.814496	0.032988	-0.020300	-0.029030	-0.674805	-0.420898	-0.141357	-0.424214	-0.398564	0.213118	-0.784710
25883		7.747033	0.075795	5.965907	0.039311	-0.033044	-0.026851	-0.666016	-0.422852	-0.135010	-0.424211	-0.399000	0.212867	-0.784558
25884		7.726470	0.158926	5.963586	0.041238	-0.024901	-0.032141	-0.670898	-0.419678	-0.139160	-0.424255	-0.399366	0.212547	-0.784435
25885		7.629275	0.188591	5.920388	0.041151	-0.041549	-0.042478	-0.666260	-0.414062	-0.136963	-0.424348	-0.399840	0.212234	-0.784228
25886		7.658795	0.154785	5.948968	0.042754	-0.076001	-0.060887	-0.670410	-0.420166	-0.136963	-0.424495	-0.400545	0.211961	-0.783862
25887		7.710365	0.093361	6.062342	0.048692	-0.071067	-0.062740	-0.674072	-0.421143	-0.134766	-0.424663	-0.401234	0.211596	-0.783518
25888		7.683971	0.050904	6.043094	0.058830	-0.054909	-0.058903	-0.667236	-0.431396	-0.132324	-0.424810	-0.401818	0.211109	-0.783270
25889		7.639680	0.082180	5.941641	0.077095	-0.066754	-0.056040	-0.662354	-0.430420	-0.134766	-0.424877	-0.402525	0.210538	-0.783024
25890		7.604325	0.101306	5.923311	0.100895	-0.089601	-0.048860	-0.664062	-0.417969	-0.129639	-0.424776	-0.403425	0.209911	-0.782784
25891		7.646209	0.045821	5.866586	0.127586	-0.106405	-0.032102	-0.678467	-0.422119	-0.121338	-0.424390	-0.404475	0.209240	-0.782631
25892		7.756526	0.001761	5.906828	0.157112	-0.118493	-0.007440	-0.668213	-0.423584	-0.128906	-0.423749	-0.405631	0.208511	-0.782575
25893		7.776291	-0.016046	5.885759	0.185383	-0.116114	0.010754	-0.670410	-0.438477	-0.128662	-0.422904	-0.406826	0.207641	-0.782643
25894		7.659247	0.122656	5.733825	0.191840	-0.133713	0.028245	-0.668213	-0.433105	-0.107178	-0.421994	-0.408097	0.206867	-0.782677
25895		7.553943	0.324986	5.609142	0.188044	-0.170384	0.031892	-0.668701	-0.423340	-0.114746	-0.420891	-0.409671	0.206299	-0.782599
25896		7.600842	0.475650	5.623138	0.181120	-0.205917	0.031642	-0.677246	-0.425049	-0.104980	-0.419722	-0.411417	0.205850	-0.782429
25897		7.765745	0.636992	5.578664	0.165901	-0.236617	0.016006	-0.674316	-0.432373	-0.106689	-0.418673	-0.413321	0.205547	-0.782068
25898		7.998103	0.671196	5.608058	0.147398	-0.254354	-0.004740	-0.667480	-0.436279	-0.100830	-0.417887	-0.415322	0.205335	-0.781483
25899		8.192029	0.671235	5.760950	0.121751	-0.239872	-0.023457	-0.672607	-0.429688	-0.095459	-0.417347	-0.417260	0.205165	-0.780784
25900		8.113724	0.651382	5.681449	0.081744	-0.201478	-0.044229	-0.672607	-0.435547	-0.100342	-0.417090	-0.418841	0.205018	-0.780113
25901		7.873150	0.684969	5.453507	0.038896	-0.199661	-0.066241	-0.668945	-0.437988	-0.096680	-0.417243	-0.420262	0.205051	-0.779257
25902		7.832710	0.720900	5.341633	0.011112	-0.241091	-0.083418	-0.671387	-0.437500	-0.091064	-0.417537	-0.421933	0.205339	-0.778120
25903		8.031695	0.669008	5.344054	-0.015047	-0.250947	-0.088366	-0.670166	-0.434082	-0.080322	-0.417929	-0.423597	0.205808	-0.776881
25904		8.367970	0.522841	5.273237	-0.041509	-0.227686	-0.086510	-0.670166	-0.437744	-0.087158	-0.418328	-0.425099	0.206384	-0.775692
25905		8.621574	0.351884	5.269353	-0.040775	-0.199787	-0.071849	-0.662109	-0.443604	-0.081055	-0.418762	-0.426354	0.206896	-0.774632
25906		8.694570	0.214372	5.219087	-0.025586	-0.167051	-0.062370	-0.660645	-0.441650	-0.077393	-0.419115	-0.427539	0.207268	-0.773688
25907		8.637617	0.073152	5.125379	-0.000515	-0.129607	-0.046770	-0.668457	-0.445557	-0.088623	-0.419262	-0.428582	0.207430	-0.772988
25908		8.545907	0.081713	5.024345	0.018298	-0.114930	-0.038134	-0.670898	-0.444824	-0.084717	-0.419472	-0.429439	0.207450	-0.772393
25909		8.505981	0.250021	4.976899	0.030974	-0.092068	-0.023872	-0.659180	-0.444580	-0.088379	-0.419557	-0.430181	0.207411	-0.771943
25910		8.447915	0.485941	4.943127	0.019117	-0.080881	-0.020111	-0.663330	-0.439697	-0.084229	-0.419554	-0.430860	0.207388	-0.771573
25911		8.350226	0.649582	4.980503	0.001901	-0.077075	-0.016915	-0.663330	-0.440186	-0.073730	-0.419535	-0.431462	0.207506	-0.771215
25912		8.165602	0.720330	4.992396	-0.030590	-0.075502	-0.025923	-0.667236	-0.443359	-0.072998	-0.419677	-0.432043	0.207841	-0.770722
25913		8.123227	0.704472	4.969501	-0.069078	-0.088828	-0.035731	-0.664062	-0.448486	-0.077637	-0.420085	-0.432580	0.208436	-0.770037
25914		8.195169	0.625995	5.026780	-0.100280	-0.090446	-0.043108	-0.665039	-0.445801	-0.065186	-0.420721	-0.433011	0.209161	-0.769251
25915		8.321614	0.443641	5.105352	-0.110495	-0.080568	-0.043992	-0.665527	-0.440918	-0.077393	-0.421354	-0.433442	0.209977	-0.768439
25916		8.452732	0.302655	5.124403	-0.115350	-0.058017	-0.031402	-0.664062	-0.449463	-0.074219	-0.421895	-0.433576	0.210738	-0.767858
25917		8.467968	0.192498	5.049695	-0.120307	-0.031346	-0.020784	-0.661621	-0.449463	-0.078125	-0.422548	-0.433541	0.211482	-0.767314
25918		8.495093	0.175266	4.959814	-0.110086	-0.025318	-0.014638	-0.663086	-0.449219	-0.073242	-0.423111	-0.433466	0.212145	-0.766863
25919		8.591434	0.238024	4.944617	-0.091195	-0.009915	-0.013991	-0.664551	-0.442871	-0.077148	-0.423623	-0.433402	0.212687	-0.766467
25920		8.675372	0.268010	5.002405	-0.063494	0.010456	-0.003601	-0.663574	-0.441650	-0.078613	-0.423902	-0.433247	0.213038	-0.766302
25921		8.751803	0.254342	5.124365	-0.047926	0.040445	0.012215	-0.664551	-0.450439	-0.084229	-0.424047	-0.432923	0.213245	-0.766348
25922		8.684122	0.154214	5.188353	-0.029529	0.085237	0.030344	-0.668701	-0.447021	-0.073242	-0.424223	-0.432315	0.213195	-0.766607
25923		8.493082	0.153058	5.204371	-0.000163	0.119241	0.045100	-0.667969	-0.437500	-0.076660	-0.424233	-0.431669	0.213002	-0.767019
25924		8.331895	0.181303	5.215548	0.027649	0.149170	0.051687	-0.667236	-0.439941	-0.087891	-0.424009	-0.430873	0.212579	-0.767708
25925		8.234442	0.226069	5.228488	0.045448	0.156056	0.066370	-0.661133	-0.444580	-0.090088	-0.423663	-0.429971	0.212001	-0.768564
25926		8.270154	0.219701	5.212754	0.057669	0.165812	0.089291	-0.659668	-0.446289	-0.082031	-0.423201	-0.429009	0.211331	-0.769540
25927		8.322678	0.201508	5.241577	0.056720	0.196393	0.110460	-0.668457	-0.438477	-0.090088	-0.422703	-0.427910	0.210660	-0.770609
25928		8.341927	0.167998	5.270929	0.071663	0.241798	0.136962	-0.666748	-0.432373	-0.088623	-0.421973	-0.426431	0.209881	-0.772040
25929		8.419681	0.145192	5.288078	0.093608	0.297076	0.150526	-0.669434	-0.432373	-0.091797	-0.421110	-0.424668	0.208851	-0.773760
25930		8.527208	0.113068	5.342952	0.135699	0.345973	0.170726	-0.665527	-0.428711	-0.096191	-0.420069	-0.422696	0.207451	-0.775780
25931		8.606362	0.253244	5.422617	0.157380	0.401821	0.182748	-0.666260	-0.431396	-0.096191	-0.418945	-0.420383	0.205746	-0.778095
25932		8.749892	0.398264	5.662451	0.173587	0.467914	0.186698	-0.665527	-0.428223	-0.099854	-0.417903	-0.417741	0.203699	-0.780613
25933		8.653619	0.386961	5.868141	0.147853	0.580183	0.180978	-0.676514	-0.427002	-0.112061	-0.417160	-0.414279	0.201406	-0.783445
25934		8.486887	0.720862	5.871402	0.087205	0.636901	0.167129	-0.662842	-0.431885	-0.117920	-0.416775	-0.410178	0.199285	-0.786345
25935		8.269837	1.035976	5.839957	0.005679	0.636621	0.097255	-0.673096	-0.418945	-0.115234	-0.417259	-0.405913	0.197330	-0.788791
25936		8.085021	0.716640	5.683030	-0.045493	0.648078	0.036152	-0.670410	-0.418701	-0.117432	-0.418133	-0.401593	0.195606	-0.790965
25937		8.085851	0.180931	5.669769	-0.037802	0.656763	0.011821	-0.665039	-0.426758	-0.137939	-0.419153	-0.397347	0.193703	-0.793036
25938		7.980880	-0.251303	5.740058	-0.021764	0.690479	0.017946	-0.668457	-0.417969	-0.141846	-0.420253	-0.392762	0.191481	-0.795274
25939		7.757142	-0.132588	5.801890	-0.006859	0.669218	0.016590	-0.663818	-0.413086	-0.148193	-0.421134	-0.388386	0.189346	-0.797465
25940		7.721422	0.120440	5.893793	0.042766	0.616457	0.003195	-0.666016	-0.428955	-0.160400	-0.421819	-0.384525	0.187058	-0.799511
25941		7.934327	0.163154	6.224593	0.102979	0.542376	-0.008163	-0.663574	-0.428711	-0.155273	-0.422397	-0.381386	0.184449	-0.801314
25942		7.788517	0.055785	6.464632	0.134888	0.560596	-0.029431	-0.664062	-0.416748	-0.154541	-0.423007	-0.378403	0.181501	-0.803078
25943		7.246279	0.228381	6.343732	0.151543	0.566600	-0.050883	-0.662842	-0.424316	-0.161865	-0.423570	-0.375484	0.178497	-0.804822
25944		6.661449	0.448310	6.093709	0.159886	0.490434	-0.070330	-0.658447	-0.426025	-0.175781	-0.424166	-0.373124	0.175565	-0.806250
25945		6.497166	0.468737	6.198673	0.187180	0.349006	-0.064516	-0.658447	-0.419922	-0.174072	-0.424481	-0.371637	0.172940	-0.807337
25946		6.671997	0.423093	6.432788	0.196261	0.296734	-0.029593	-0.660645	-0.429199	-0.174561	-0.424387	-0.370498	0.170628	-0.808402
25947		6.780790	0.352712	6.562173	0.204551	0.295327	-0.003156	-0.655518	-0.418701	-0.173096	-0.424096	-0.369430	0.168248	-0.809541
25948		6.900845	0.336718	6.659344	0.214064	0.249273	0.010235	-0.661377	-0.424805	-0.178467	-0.423595	-0.368637	0.166118	-0.810604
25949		7.041749	0.414677	6.915594	0.228645	0.219300	0.027517	-0.659912	-0.423096	-0.180176	-0.422862	-0.368062	0.164004	-0.811678
25950		7.067075	0.493646	7.156185	0.240856	0.260270	0.030763	-0.650635	-0.423584	-0.178955	-0.422132	-0.367203	0.161689	-0.812910
25951		6.880442	0.496935	7.160999	0.247301	0.302262	0.029297	-0.658691	-0.426514	-0.179688	-0.421536	-0.366065	0.159124	-0.814238
25952		6.543676	0.461087	7.058876	0.248837	0.303256	0.037119	-0.653809	-0.426758	-0.172852	-0.420780	-0.364970	0.156561	-0.815616
25953		6.159120	0.480337	6.916217	0.228208	0.294282	0.065255	-0.663086	-0.419678	-0.180908	-0.419880	-0.363920	0.154206	-0.816997
25954		5.823533	0.577359	6.751968	0.196260	0.244301	0.121083	-0.657959	-0.418457	-0.176758	-0.418544	-0.362907	0.152566	-0.818439
25955		5.782851	0.707794	6.591575	0.176247	0.155814	0.178687	-0.658203	-0.419922	-0.186035	-0.416782	-0.362397	0.151492	-0.819763
25956		5.979496	0.783229	6.664873	0.159277	0.082764	0.198389	-0.659180	-0.416748	-0.187744	-0.414933	-0.362157	0.150823	-0.820929
25957		6.299045	0.747869	6.702420	0.148779	0.037050	0.207641	-0.661377	-0.420898	-0.181152	-0.413014	-0.362132	0.150426	-0.821981
25958		6.511184	0.716189	6.789124	0.119938	-0.005395	0.210004	-0.661865	-0.412109	-0.181396	-0.411054	-0.362427	0.150258	-0.822863
25959		6.578805	0.768031	6.786900	0.083140	-0.032597	0.207301	-0.659424	-0.412842	-0.183350	-0.409204	-0.362715	0.150520	-0.823610
25960		6.514657	0.902340	6.792491	0.043788	-0.085409	0.187510	-0.672852	-0.410156	-0.179932	-0.407630	-0.363202	0.151120	-0.824066
25961		6.490923	0.963766	6.780057	0.001094	-0.142369	0.151623	-0.660400	-0.406006	-0.177734	-0.406187	-0.364063	0.152134	-0.824212
25962		6.460247	1.039833	6.758508	-0.057331	-0.186029	0.109872	-0.665771	-0.417236	-0.176270	-0.405317	-0.365010	0.153531	-0.823962
25963		6.454105	1.038205	6.742162	-0.112677	-0.226344	0.071430	-0.667725	-0.409180	-0.177979	-0.404808	-0.366180	0.155155	-0.823389
25964		6.501244	0.887887	6.684749	-0.166182	-0.268945	0.037691	-0.668945	-0.414307	-0.178223	-0.404667	-0.367403	0.157301	-0.822506
25965		6.542726	0.697173	6.608551	-0.218810	-0.322796	0.011150	-0.672119	-0.410156	-0.170654	-0.404841	-0.368848	0.159828	-0.821286
25966		6.782890	0.567655	6.553958	-0.254511	-0.368902	-0.008207	-0.673340	-0.408203	-0.166748	-0.405087	-0.370588	0.162716	-0.819813
25967		7.034077	0.357248	6.520294	-0.270820	-0.394817	-0.019995	-0.678467	-0.408447	-0.169434	-0.405402	-0.372476	0.165773	-0.818187
25968		7.324449	0.181004	6.389716	-0.269664	-0.399155	-0.026712	-0.673828	-0.409912	-0.165527	-0.405793	-0.374324	0.168857	-0.816518
25969		7.600194	0.154786	6.421293	-0.252297	-0.437986	-0.026471	-0.677979	-0.408447	-0.170410	-0.406105	-0.376506	0.171895	-0.814723
25970		7.829489	0.107664	6.514624	-0.240422	-0.419253	-0.029713	-0.677979	-0.403320	-0.159668	-0.406518	-0.378462	0.174862	-0.812977
25971		7.729296	0.069146	6.401388	-0.226626	-0.359192	-0.033196	-0.670654	-0.401855	-0.153076	-0.406872	-0.380163	0.177538	-0.811426
25972		7.626760	0.172861	6.254493	-0.220746	-0.375314	-0.052311	-0.684570	-0.416504	-0.152100	-0.407297	-0.382066	0.180115	-0.809749
25973		7.677360	0.220840	6.213711	-0.199375	-0.417435	-0.062797	-0.674072	-0.406250	-0.149414	-0.407631	-0.384415	0.182547	-0.807922
25974		7.801718	0.102350	6.171133	-0.186215	-0.407707	-0.065541	-0.674072	-0.416260	-0.153564	-0.408014	-0.386649	0.184932	-0.806118
25975		7.941425	-0.016417	6.119249	-0.180825	-0.368109	-0.056999	-0.671143	-0.402588	-0.146729	-0.408522	-0.388549	0.187088	-0.804449
25976		8.006259	-0.133866	6.091272	-0.161080	-0.342797	-0.048493	-0.677979	-0.423096	-0.137695	-0.408861	-0.390311	0.189197	-0.802929
25977		7.979763	-0.062001	5.938539	-0.145112	-0.316264	-0.046345	-0.673096	-0.413330	-0.135986	-0.409104	-0.392178	0.190861	-0.801500
25978		7.947371	0.094951	5.816477	-0.141732	-0.308879	-0.070236	-0.665283	-0.415527	-0.135742	-0.409508	-0.393964	0.192505	-0.800023
25979		8.140878	0.266519	5.888184	-0.137573	-0.306966	-0.097365	-0.670410	-0.413818	-0.137695	-0.410162	-0.395759	0.193971	-0.798447
25980		8.282449	0.247063	5.997778	-0.136050	-0.254787	-0.111228	-0.670166	-0.417236	-0.138428	-0.411022	-0.397145	0.195297	-0.796992
25981		8.244842	0.078843	5.947061	-0.130260	-0.176361	-0.107842	-0.670166	-0.422363	-0.135254	-0.412015	-0.397994	0.196315	-0.795804
25982		8.097068	-0.000153	5.808651	-0.123292	-0.136582	-0.095234	-0.672607	-0.422119	-0.139893	-0.412947	-0.398645	0.197137	-0.794792
25983		7.946032	0.015152	5.785299	-0.120542	-0.109908	-0.083995	-0.675049	-0.415771	-0.136475	-0.413893	-0.399015	0.197950	-0.793911
25984		7.893576	0.163455	5.760073	-0.118483	-0.097375	-0.081770	-0.666992	-0.417969	-0.133057	-0.414744	-0.399320	0.198802	-0.793101
25985		7.975485	0.296273	5.796981	-0.121310	-0.089764	-0.096746	-0.664795	-0.420654	-0.133789	-0.415707	-0.399652	0.199516	-0.792250
25986		8.086398	0.324057	5.852137	-0.119275	-0.066897	-0.111209	-0.668213	-0.423584	-0.130859	-0.416829	-0.399858	0.200066	-0.791417
25987		8.151224	0.233082	5.869319	-0.109839	-0.029234	-0.118478	-0.664795	-0.428467	-0.135986	-0.417986	-0.399921	0.200394	-0.790691
25988		8.179938	0.091487	5.901418	-0.083795	0.017999	-0.106525	-0.661133	-0.426025	-0.136719	-0.419156	-0.399685	0.200394	-0.790191
25989		8.070532	-0.027456	5.920243	-0.065002	0.058229	-0.095575	-0.671387	-0.421387	-0.143066	-0.420239	-0.399216	0.200187	-0.789906
25990		7.971984	0.121870	5.952794	-0.059251	0.076582	-0.092674	-0.661865	-0.427002	-0.135010	-0.421289	-0.398529	0.200036	-0.789731
25991		7.841823	0.227979	5.943065	-0.059002	0.093018	-0.096295	-0.660400	-0.419189	-0.139404	-0.422345	-0.397916	0.199681	-0.789567
25992		7.789607	0.395527	5.900069	-0.056811	0.078199	-0.105655	-0.660889	-0.423340	-0.141357	-0.423382	-0.397337	0.199417	-0.789369
25993		7.701571	0.496212	5.992578	-0.066184	0.058997	-0.120210	-0.659424	-0.433105	-0.139160	-0.424552	-0.396877	0.199221	-0.789022
25994		7.598522	0.409907	5.987317	-0.073394	0.064208	-0.128267	-0.664062	-0.428467	-0.146484	-0.425860	-0.396457	0.198942	-0.788598
25995		7.586078	0.300546	5.950861	-0.063556	0.061870	-0.124580	-0.656738	-0.426270	-0.143799	-0.427091	-0.395959	0.198722	-0.788238
25996		7.584321	0.162338	5.948900	-0.066652	0.055231	-0.114001	-0.662842	-0.435547	-0.139893	-0.428189	-0.395526	0.198552	-0.787903
25997		7.603317	0.159653	5.934681	-0.064640	0.037688	-0.097435	-0.661621	-0.436035	-0.144531	-0.429151	-0.395292	0.198457	-0.787520
25998		7.637726	0.139516	5.919820	-0.052169	0.014978	-0.074044	-0.652832	-0.437744	-0.149170	-0.429920	-0.395150	0.198453	-0.787173
25999		7.592994	0.178752	5.948764	-0.029007	0.003749	-0.062819	-0.655029	-0.438965	-0.134033	-0.430609	-0.395085	0.198331	-0.786860
26000		7.568621	0.222637	5.870481	-0.014175	-0.006763	-0.062106	-0.663330	-0.437012	-0.147949	-0.431054	-0.395379	0.198121	-0.786521
26001		7.632611	0.237876	5.949253	-0.006018	-0.024082	-0.060313	-0.652832	-0.439209	-0.152832	-0.431515	-0.395585	0.198043	-0.786185
26002		7.738900	0.240945	5.974430	-0.001304	-0.034130	-0.053279	-0.672607	-0.436768	-0.152344	-0.432002	-0.395791	0.197931	-0.785842
26003		7.769461	0.218553	5.994386	-0.008697	-0.032721	-0.047129	-0.653809	-0.443115	-0.136963	-0.432365	-0.395942	0.198035	-0.785540
26004		7.724360	0.239339	6.009942	-0.003782	-0.038797	-0.042038	-0.657715	-0.436768	-0.144531	-0.432661	-0.396389	0.197954	-0.785172
26005		7.603709	0.203900	5.984157	-0.000844	-0.024927	-0.034721	-0.659180	-0.438721	-0.150391	-0.432886	-0.396602	0.197913	-0.784950
26006		7.528031	0.109259	5.935677	0.013011	-0.015887	-0.032244	-0.652832	-0.438232	-0.147217	-0.433135	-0.396716	0.197773	-0.784791
26007		7.495675	0.048835	5.974985	0.031147	-0.028644	-0.018501	-0.657959	-0.436035	-0.130859	-0.433189	-0.396999	0.197565	-0.784670
26008		7.612629	0.021848	6.034771	0.048792	-0.035437	0.006091	-0.658447	-0.435059	-0.142334	-0.432822	-0.397569	0.197363	-0.784635
26009		7.735070	0.080898	6.101640	0.066719	-0.039487	0.032425	-0.661377	-0.438232	-0.141602	-0.432311	-0.398002	0.197182	-0.784743
26010		7.750476	0.132727	6.194626	0.084737	-0.020642	0.052791	-0.656494	-0.436523	-0.137451	-0.431681	-0.398346	0.196884	-0.784990
26011		7.660566	0.188630	6.146563	0.101395	0.005854	0.058390	-0.654297	-0.433105	-0.145264	-0.430967	-0.398611	0.196364	-0.785377
26012		7.487920	0.237109	6.146373	0.123742	0.011545	0.059512	-0.656006	-0.433838	-0.145752	-0.430223	-0.398787	0.195702	-0.785861
26013		7.405680	0.262611	6.093691	0.147800	-0.004344	0.059988	-0.655029	-0.431641	-0.138184	-0.429394	-0.399136	0.194947	-0.786325
26014		7.414215	0.227383	6.024010	0.177734	-0.032030	0.063898	-0.655762	-0.438232	-0.132568	-0.428309	-0.399855	0.194089	-0.786764
26015		7.294993	0.123906	5.954347	0.224786	-0.096710	0.074287	-0.660400	-0.436035	-0.127441	-0.426964	-0.401218	0.193150	-0.787032
26016		7.387937	0.036820	5.792829	0.276569	-0.187463	0.081225	-0.666992	-0.427734	-0.130615	-0.425182	-0.403373	0.192241	-0.787118
26017		7.561062	0.029491	5.845882	0.306430	-0.278156	0.086466	-0.670410	-0.437012	-0.124023	-0.423038	-0.406093	0.191558	-0.787041
26018		7.744616	0.167735	6.021745	0.324059	-0.321114	0.089304	-0.667236	-0.428955	-0.121826	-0.420873	-0.409180	0.190890	-0.786765
26019		7.851580	0.370282	6.144089	0.321743	-0.297411	0.088675	-0.669434	-0.431396	-0.111816	-0.418683	-0.412033	0.190164	-0.786620
