// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
25861		6.537352	1.438449	7.210356	-0.010437	-0.029309	-0.020220	-0.317139	-0.177979	-0.545654	0.901670	0.164710	-0.326127	0.231307
25862		6.522819	1.438034	7.219221	-0.022183	-0.024331	-0.018581	-0.313477	-0.172363	-0.554443	0.901670	0.164641	-0.326327	0.231073
25863		6.510593	1.396085	7.175121	-0.033688	-0.016704	-0.015173	-0.322510	-0.168213	-0.556152	0.901704	0.164450	-0.326490	0.230845
25864		6.522640	1.398831	7.114930	-0.032863	-0.015187	-0.005384	-0.317383	-0.169434	-0.557129	0.901719	0.164247	-0.326660	0.230695
25865		6.540305	1.459743	7.123191	-0.032493	-0.011836	0.000926	-0.315674	-0.159668	-0.555176	0.901728	0.164022	-0.326814	0.230597
25866		6.534575	1.536772	7.078489	-0.028056	-0.010755	0.007847	-0.320068	-0.168701	-0.553467	0.901721	0.163812	-0.326962	0.230565
25867		6.499651	1.596211	7.045241	-0.024557	-0.009121	0.010691	-0.323242	-0.172607	-0.553711	0.901707	0.163623	-0.327097	0.230564
25868		6.478296	1.647035	7.031101	-0.018659	-0.017157	0.004758	-0.320312	-0.163818	-0.549805	0.901673	0.163521	-0.327273	0.230519
25869		6.517846	1.706930	7.089082	-0.017494	-0.021861	-0.002596	-0.311035	-0.164795	-0.548096	0.901638	0.163471	-0.327471	0.230409
25870		6.524833	1.714497	7.132545	-0.020188	-0.019496	-0.010279	-0.320557	-0.171143	-0.551270	0.901627	0.163437	-0.327644	0.230230
25871		6.481142	1.631398	7.133583	-0.017274	-0.012700	-0.012512	-0.316895	-0.170410	-0.553223	0.901636	0.163439	-0.327751	0.230043
25872		6.447260	1.541774	7.168387	-0.005821	-0.013254	-0.008673	-0.315674	-0.162842	-0.551514	0.901620	0.163532	-0.327840	0.229910
25873		6.369720	1.496142	7.308215	0.013703	-0.010025	-0.003669	-0.316650	-0.165771	-0.553223	0.901580	0.163760	-0.327867	0.229868
25874		6.238570	1.550663	7.543586	0.014160	0.005474	0.004269	-0.320557	-0.160156	-0.554688	0.901575	0.163937	-0.327766	0.229907
25875		6.045005	1.746523	7.868351	0.002328	0.037343	0.003036	-0.323486	-0.161865	-0.547852	0.901692	0.163962	-0.327403	0.229947
25876		5.709793	2.413623	8.111609	-0.077132	0.069294	-0.041844	-0.315918	-0.171387	-0.554688	0.902122	0.163450	-0.326809	0.229468
25877		5.301891	2.898270	8.479832	-0.251825	0.079592	-0.129561	-0.312988	-0.163086	-0.550781	0.903035	0.161897	-0.326203	0.227836
25878		5.068305	2.885432	8.862824	-0.385822	0.101568	-0.283029	-0.314209	-0.152832	-0.552002	0.904535	0.159782	-0.325282	0.224672
25879		4.813855	2.901101	9.322759	-0.496349	0.152354	-0.432558	-0.313721	-0.162598	-0.548828	0.906657	0.157198	-0.323742	0.220119
25880		4.652929	2.300758	9.859076	-0.566339	0.220397	-0.545086	-0.304443	-0.158447	-0.554688	0.909332	0.154293	-0.321395	0.214509
25881		5.168973	2.053453	10.855102	-0.446736	0.420824	-0.679198	-0.305908	-0.147705	-0.550781	0.912674	0.152240	-0.316834	0.208481
25882		4.985679	1.995093	11.471093	-0.331568	0.748354	-0.746791	-0.308838	-0.149658	-0.560547	0.916826	0.150540	-0.309315	0.202710
