// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
21293		9.167340	-2.173736	2.570205	-0.015867	-0.005552	-0.023345	-0.443604	0.367188	-0.063965	0.541912	-0.527515	-0.300166	-0.581343
21294		9.260899	-2.213369	2.588450	-0.001410	-0.007910	-0.013214	-0.440430	0.360840	-0.061035	0.541822	-0.527526	-0.300253	-0.581371
21295		9.213651	-2.164492	2.586466	0.012873	0.003058	-0.005273	-0.436523	0.362061	-0.060303	0.541857	-0.527441	-0.300327	-0.581377
21296		9.135072	-2.124936	2.569950	0.021758	-0.001351	-0.005848	-0.440918	0.355469	-0.063477	0.541921	-0.527335	-0.300465	-0.581344
21297		9.177157	-2.134924	2.577170	0.022351	-0.005846	-0.010819	-0.441650	0.362793	-0.064453	0.541952	-0.527235	-0.300648	-0.581311
21298		9.205643	-2.140110	2.581672	0.020736	-0.006211	-0.015540	-0.430176	0.357422	-0.063477	0.541951	-0.527131	-0.300846	-0.581304
21299		9.287172	-2.138110	2.558734	0.014173	0.000699	-0.013078	-0.434082	0.355957	-0.069336	0.541950	-0.527029	-0.300971	-0.581332
21300		9.227752	-2.162238	2.500866	0.006621	0.009061	-0.009178	-0.434082	0.358398	-0.074463	0.541954	-0.526930	-0.301008	-0.581399
21301		9.171643	-2.169440	2.453301	-0.005101	-0.000641	-0.012593	-0.438965	0.356689	-0.064209	0.541863	-0.526927	-0.301049	-0.581465
21302		9.213457	-2.249628	2.432967	-0.006204	-0.005814	-0.013297	-0.437500	0.351562	-0.069336	0.541748	-0.526958	-0.301114	-0.581511
21303		9.245685	-2.267692	2.394037	0.004786	-0.011534	-0.008092	-0.435303	0.359863	-0.059326	0.541690	-0.526990	-0.301235	-0.581473
21304		9.206160	-2.257859	2.370992	0.019424	-0.020227	-0.005846	-0.432129	0.362061	-0.061035	0.541682	-0.527018	-0.301457	-0.581340
21305		9.203279	-2.200303	2.397541	0.024583	-0.034490	0.000283	-0.441895	0.360107	-0.059814	0.541687	-0.527123	-0.301743	-0.581092
21306		9.265864	-2.221974	2.450104	0.027175	-0.037483	0.007115	-0.443604	0.359619	-0.063477	0.541724	-0.527259	-0.302028	-0.580785
21307		9.226952	-2.144200	2.451335	0.037755	-0.033673	0.013981	-0.434570	0.359863	-0.066895	0.541848	-0.527355	-0.302319	-0.580431
21308		9.126027	-2.100281	2.487394	0.037393	-0.037140	0.005632	-0.445312	0.357666	-0.067383	0.541918	-0.527450	-0.302664	-0.580099
21309		9.185472	-2.094007	2.515819	0.027180	-0.050411	-0.002951	-0.438721	0.358643	-0.064453	0.541863	-0.527637	-0.303064	-0.579773
21310		9.244634	-2.128139	2.569281	0.021223	-0.051101	-0.002506	-0.439209	0.358398	-0.072754	0.541782	-0.527846	-0.303438	-0.579462
21311		9.267677	-2.141102	2.598556	0.025867	-0.047990	0.004802	-0.438965	0.354248	-0.061523	0.541764	-0.528030	-0.303789	-0.579127
21312		9.192819	-2.081161	2.600358	0.031986	-0.042265	0.001032	-0.434570	0.355957	-0.065186	0.541775	-0.528140	-0.304160	-0.578821
21313		9.247505	-2.044031	2.619277	0.029154	-0.046894	0.005201	-0.441650	0.350830	-0.064697	0.541786	-0.528280	-0.304517	-0.578496
21314		9.288657	-2.047564	2.648632	0.040465	-0.040210	0.005006	-0.439941	0.353760	-0.054932	0.541858	-0.528323	-0.304910	-0.578182
21315		9.285825	-1.975077	2.608556	0.037255	-0.033445	0.007311	-0.449219	0.361084	-0.067383	0.541944	-0.528345	-0.305241	-0.577906
21316		9.248341	-1.899694	2.596184	0.036785	-0.030289	-0.002132	-0.443359	0.357422	-0.069824	0.541977	-0.528317	-0.305613	-0.577705
21317		9.349942	-1.893477	2.553337	0.027762	-0.031343	-0.003028	-0.441895	0.353271	-0.070312	0.541967	-0.528300	-0.305961	-0.577545
21318		9.315946	-1.858136	2.445778	0.036596	-0.031871	-0.010820	-0.437988	0.366699	-0.059814	0.541953	-0.528207	-0.306408	-0.577407
21319		9.434860	-1.763148	2.454699	0.034840	-0.043847	-0.011169	-0.439453	0.362549	-0.067627	0.541877	-0.528191	-0.306900	-0.577231
21320		9.526317	-1.735033	2.418139	0.029015	-0.039391	-0.000181	-0.438477	0.363525	-0.065674	0.541827	-0.528184	-0.307338	-0.577051
21321		9.419974	-1.495396	2.458810	0.016677	-0.039608	-0.005048	-0.443604	0.354248	-0.065430	0.541677	-0.528217	-0.307767	-0.576934
21322		9.503950	-1.354366	2.480705	-0.026540	-0.035560	-0.024050	-0.443604	0.354980	-0.066895	0.541220	-0.528352	-0.308104	-0.577058
21323		9.618050	-1.199373	2.531757	-0.081062	-0.024468	-0.037001	-0.450195	0.353271	-0.064453	0.540464	-0.528615	-0.308237	-0.577456
21324		9.661023	-0.936407	2.547449	-0.153951	-0.016398	-0.041843	-0.445068	0.356445	-0.057373	0.539320	-0.529117	-0.308069	-0.578154
21325		9.769336	-0.712387	2.566055	-0.210503	0.006406	-0.053567	-0.439697	0.357178	-0.058105	0.537888	-0.529713	-0.307594	-0.579195
21326		9.815817	-0.428832	2.492956	-0.235590	0.033652	-0.068946	-0.433838	0.358398	-0.059082	0.536328	-0.530201	-0.306998	-0.580509
21327		9.815401	-0.118506	2.263737	-0.232431	0.048958	-0.099626	-0.439453	0.359863	-0.055664	0.534668	-0.530473	-0.306550	-0.582027
21328		9.855061	0.260650	2.085751	-0.233556	0.046477	-0.137820	-0.440430	0.369873	-0.053711	0.532682	-0.530616	-0.306386	-0.583802
21329		9.986624	0.605996	1.927753	-0.244381	0.034388	-0.173239	-0.436279	0.372314	-0.053467	0.530312	-0.530708	-0.306516	-0.585804
21330		10.163135	0.903364	1.865312	-0.237504	0.031275	-0.211179	-0.441895	0.372314	-0.051025	0.527726	-0.530649	-0.306970	-0.587951
21331		10.189698	1.245626	1.828947	-0.229945	0.026705	-0.258831	-0.444824	0.370361	-0.051758	0.524745	-0.530398	-0.307840	-0.590386
