// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
21293		9.037415	-3.547390	-1.286643	-0.017948	-0.007338	-0.011029	-0.486816	0.603760	-0.004395	0.581629	-0.571815	-0.488528	-0.309960
21294		9.032073	-3.529838	-1.301297	-0.003814	-0.012231	-0.014346	-0.485107	0.597900	-0.002930	0.581524	-0.571807	-0.488646	-0.309987
21295		9.016734	-3.567290	-1.293397	0.015447	-0.020531	-0.017408	-0.479492	0.604004	-0.000732	0.581467	-0.571714	-0.488870	-0.309912
21296		9.066931	-3.575462	-1.280443	0.028395	-0.023873	-0.021605	-0.483643	0.596436	-0.002930	0.581449	-0.571550	-0.489162	-0.309787
21297		9.046726	-3.530548	-1.254459	0.026998	-0.020484	-0.019369	-0.484375	0.599121	-0.004883	0.581444	-0.571394	-0.489423	-0.309673
21298		9.054203	-3.564302	-1.303626	0.016513	-0.015376	-0.021631	-0.472900	0.594482	-0.006348	0.581406	-0.571264	-0.489642	-0.309637
21299		9.032419	-3.608904	-1.334866	0.013896	-0.012053	-0.017529	-0.476807	0.592285	-0.011719	0.581379	-0.571157	-0.489818	-0.309608
21300		9.053357	-3.584155	-1.300742	0.010718	-0.010797	-0.016044	-0.476318	0.597900	-0.014893	0.581346	-0.571070	-0.489972	-0.309586
21301		9.054960	-3.603170	-1.276500	0.004259	-0.006950	-0.012196	-0.481201	0.595459	-0.000488	0.581308	-0.571021	-0.490071	-0.309590
21302		9.046092	-3.634123	-1.312560	-0.001365	-0.006650	-0.005616	-0.480225	0.591064	-0.007324	0.581265	-0.571026	-0.490120	-0.309583
21303		9.019462	-3.663270	-1.303927	0.008325	-0.016341	-0.006361	-0.479004	0.597412	0.001221	0.581229	-0.571011	-0.490241	-0.309489
21304		9.015179	-3.645577	-1.266163	0.015917	-0.025811	-0.002510	-0.475342	0.600830	-0.000488	0.581204	-0.571003	-0.490404	-0.309293
21305		9.017117	-3.620954	-1.274439	0.023104	-0.032698	-0.001395	-0.486572	0.602295	0.003174	0.581193	-0.570985	-0.490607	-0.309024
21306		8.975311	-3.601349	-1.285444	0.031421	-0.037375	-0.002643	-0.483154	0.595703	-0.003906	0.581204	-0.570935	-0.490854	-0.308701
21307		9.007274	-3.631163	-1.289731	0.039466	-0.047010	-0.000176	-0.479736	0.597900	-0.005127	0.581224	-0.570883	-0.491153	-0.308284
21308		9.039726	-3.550623	-1.262601	0.036572	-0.051386	0.001418	-0.490479	0.597656	-0.004639	0.581221	-0.570866	-0.491453	-0.307844
21309		9.056805	-3.531104	-1.286076	0.028786	-0.049836	0.003149	-0.477539	0.597900	-0.001465	0.581196	-0.570887	-0.491713	-0.307437
21310		9.073708	-3.511855	-1.309928	0.022956	-0.050428	0.006623	-0.478516	0.596680	-0.008789	0.581148	-0.570947	-0.491949	-0.307039
21311		9.057827	-3.551400	-1.338463	0.029545	-0.052084	0.006726	-0.479736	0.592285	-0.001465	0.581125	-0.570974	-0.492210	-0.306614
21312		9.113180	-3.489227	-1.345705	0.031384	-0.056479	0.004462	-0.475342	0.593018	-0.003418	0.581079	-0.570994	-0.492515	-0.306173
21313		9.105699	-3.475314	-1.364450	0.035297	-0.050213	0.004075	-0.479492	0.590332	-0.004150	0.581073	-0.570973	-0.492806	-0.305755
21314		9.100877	-3.480381	-1.389757	0.034023	-0.045715	0.001334	-0.481689	0.596191	0.006592	0.581066	-0.570928	-0.493093	-0.305388
21315		9.108409	-3.449244	-1.445118	0.045007	-0.047775	-0.003321	-0.485840	0.601562	-0.007080	0.581080	-0.570823	-0.493449	-0.304983
21316		9.114710	-3.441933	-1.409615	0.037135	-0.043251	-0.003426	-0.482666	0.598633	-0.010498	0.581081	-0.570735	-0.493762	-0.304641
21317		9.127328	-3.448476	-1.480029	0.031376	-0.047932	-0.007025	-0.482178	0.592773	-0.010742	0.581017	-0.570663	-0.494111	-0.304330
21318		9.118090	-3.457442	-1.493158	0.034416	-0.053084	-0.009795	-0.476318	0.605713	0.000977	0.580922	-0.570574	-0.494525	-0.304007
21319		9.172910	-3.393826	-1.586133	0.036831	-0.054600	-0.010820	-0.476807	0.603516	-0.006836	0.580811	-0.570499	-0.494959	-0.303653
21320		9.171657	-3.348569	-1.708901	0.040301	-0.062350	-0.010864	-0.478760	0.603027	-0.004639	0.580674	-0.570417	-0.495456	-0.303258
21321		9.173956	-3.321639	-1.754533	0.024919	-0.061059	-0.010407	-0.482910	0.593018	-0.003174	0.580435	-0.570416	-0.495933	-0.302937
21322		9.256426	-3.202699	-1.984055	0.000342	-0.054737	-0.005884	-0.483643	0.595459	-0.004883	0.580080	-0.570532	-0.496335	-0.302741
21323		9.377288	-2.996130	-2.195274	-0.052955	-0.035089	0.001496	-0.486084	0.592529	-0.004639	0.579526	-0.570894	-0.496514	-0.302826
21324		9.391418	-2.953507	-2.330764	-0.116869	0.003571	0.011344	-0.481934	0.593994	0.002930	0.578786	-0.571507	-0.496367	-0.303326
21325		9.303427	-2.870703	-2.452278	-0.162752	0.025718	0.011405	-0.474609	0.597900	0.003174	0.577843	-0.572324	-0.496029	-0.304134
21326		9.279616	-2.824392	-2.566027	-0.189797	0.037620	0.001921	-0.469727	0.595947	0.004883	0.576750	-0.573228	-0.495628	-0.305159
21327		9.289095	-2.736792	-2.736205	-0.199994	0.026517	-0.018507	-0.474365	0.598389	0.003418	0.575480	-0.574139	-0.495371	-0.306261
21328		9.262120	-2.531050	-2.923022	-0.211036	0.003172	-0.040051	-0.477783	0.604736	0.010010	0.573901	-0.575079	-0.495396	-0.307415
21329		9.190997	-2.325266	-3.114267	-0.241303	-0.015207	-0.052986	-0.473389	0.607666	0.010986	0.571887	-0.576242	-0.495539	-0.308758
21330		9.191413	-2.275116	-3.303596	-0.285898	-0.031648	-0.073346	-0.477783	0.607666	0.014160	0.569458	-0.577615	-0.495746	-0.310345
21331		9.191887	-2.284794	-3.443341	-0.333977	-0.056960	-0.098996	-0.476318	0.603271	0.016602	0.566461	-0.579220	-0.496158	-0.312176
21332		9.195470	-2.326441	-3.573412	-0.359175	-0.100710	-0.138180	-0.474609	0.603760	0.024414	0.563049	-0.580879	-0.496928	-0.314034
21333		9.236796	-2.186720	-3.597957	-0.403849	-0.148979	-0.177044	-0.481934	0.610107	0.025146	0.559019	-0.582803	-0.497920	-0.316093
21334		9.305497	-2.269799	-3.664133	-0.466091	-0.190355	-0.209121	-0.474121	0.606201	0.036133	0.554091	-0.585100	-0.499195	-0.318506
21335		9.406782	-2.258778	-3.739428	-0.529610	-0.243198	-0.245342	-0.476318	0.616699	0.039307	0.548635	-0.587740	-0.500438	-0.321129
21336		9.435778	-2.291439	-3.879495	-0.593067	-0.290192	-0.273226	-0.474121	0.613037	0.050049	0.542152	-0.590957	-0.501702	-0.324246
21337		9.355999	-2.371018	-3.821277	-0.644307	-0.338534	-0.303914	-0.482422	0.615234	0.071045	0.535115	-0.594485	-0.502971	-0.327505
21338		9.361771	-2.462443	-3.737430	-0.665710	-0.404030	-0.348736	-0.481201	0.618408	0.078369	0.527095	-0.598352	-0.504607	-0.330935
21339		9.417250	-2.446687	-3.646604	-0.670366	-0.473601	-0.389218	-0.486328	0.618408	0.083496	0.518919	-0.601944	-0.506916	-0.333800
21340		9.451996	-2.486114	-3.504300	-0.684417	-0.534418	-0.435320	-0.488525	0.608398	0.101074	0.510708	-0.605028	-0.510114	-0.336009
21341		9.539031	-2.551060	-3.393963	-0.700389	-0.589059	-0.472067	-0.494629	0.613037	0.114502	0.502246	-0.607938	-0.513759	-0.337952
21342		9.633849	-2.635603	-3.275038	-0.733344	-0.633864	-0.499589	-0.495850	0.614258	0.144043	0.493337	-0.610921	-0.517563	-0.339887
21343		9.608026	-2.618766	-3.144620	-0.786460	-0.662014	-0.526677	-0.482422	0.605957	0.155273	0.483977	-0.613993	-0.521375	-0.341974
21344		9.541705	-2.750122	-2.968264	-0.835766	-0.676862	-0.545197	-0.492188	0.608398	0.171875	0.474266	-0.617130	-0.525095	-0.344235
21345		9.428603	-2.914184	-2.708901	-0.861259	-0.698896	-0.566572	-0.500488	0.596191	0.196045	0.464291	-0.620240	-0.528817	-0.346539
21346		9.402727	-3.109779	-2.456873	-0.864036	-0.721294	-0.592616	-0.502441	0.600342	0.218262	0.454171	-0.623209	-0.532616	-0.348798
21347		9.363680	-3.278163	-2.197239	-0.848105	-0.745290	-0.613442	-0.503662	0.588623	0.233154	0.444026	-0.625992	-0.536514	-0.350897
21348		9.222363	-3.517533	-1.941243	-0.833043	-0.757968	-0.628854	-0.497314	0.583740	0.250488	0.433930	-0.628585	-0.540430	-0.352875
21349		9.182335	-3.680484	-1.663994	-0.785228	-0.771771	-0.633845	-0.513184	0.572510	0.272461	0.424095	-0.630927	-0.544406	-0.354539
21350		9.180908	-3.769804	-1.691880	-0.711162	-0.770397	-0.628899	-0.515869	0.561035	0.281494	0.414771	-0.632934	-0.548412	-0.355815
21351		9.105199	-3.968768	-1.547477	-0.645749	-0.742222	-0.614444	-0.508301	0.560791	0.305420	0.406067	-0.634620	-0.552291	-0.356851
21352		8.876471	-4.054278	-1.410597	-0.538671	-0.709377	-0.595956	-0.518555	0.536377	0.325439	0.398249	-0.635865	-0.556139	-0.357468
21353		8.781400	-3.964750	-1.277172	-0.417823	-0.650615	-0.562150	-0.525146	0.540283	0.340088	0.391561	-0.636638	-0.559846	-0.357693
21354		8.686872	-3.928690	-1.157528	-0.317135	-0.574200	-0.517578	-0.524170	0.535156	0.350098	0.386015	-0.637021	-0.563255	-0.357688
