// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
21292		9.620817	1.426732	-1.145595	-0.016285	-0.010850	-0.016581	-0.795410	0.203857	0.384521	0.215068	-0.663998	-0.342872	-0.628722
21293		9.637838	1.418813	-1.145163	-0.013156	-0.008806	-0.015935	-0.799561	0.221924	0.389160	0.214886	-0.664022	-0.342907	-0.628740
21294		9.611790	1.368481	-1.091683	-0.001825	-0.005663	-0.016739	-0.794434	0.216064	0.391113	0.214790	-0.664014	-0.342993	-0.628734
21295		9.609139	1.344001	-1.115876	0.015392	-0.001488	-0.016953	-0.792236	0.216553	0.388428	0.214782	-0.663946	-0.343169	-0.628713
21296		9.623729	1.389900	-1.122156	0.029394	0.001654	-0.018890	-0.795654	0.212646	0.392334	0.214853	-0.663830	-0.343423	-0.628672
21297		9.643645	1.420287	-1.156874	0.028853	-0.000232	-0.018535	-0.795898	0.218994	0.389160	0.214919	-0.663727	-0.343673	-0.628622
21298		9.650878	1.414043	-1.166211	0.022178	0.002184	-0.019012	-0.783691	0.211670	0.388184	0.214952	-0.663622	-0.343887	-0.628604
21299		9.628389	1.393569	-1.211026	0.018608	0.000376	-0.018429	-0.788330	0.211670	0.384766	0.214965	-0.663535	-0.344081	-0.628585
21300		9.620318	1.404753	-1.202592	0.008622	-0.002050	-0.015086	-0.787354	0.215576	0.377197	0.214934	-0.663491	-0.344209	-0.628572
21301		9.617511	1.420349	-1.218753	0.000595	-0.005177	-0.011476	-0.790527	0.210938	0.393799	0.214869	-0.663492	-0.344279	-0.628555
21302		9.627468	1.359043	-1.221392	-0.000669	-0.010893	-0.009513	-0.794678	0.208740	0.385742	0.214792	-0.663534	-0.344343	-0.628502
21303		9.659918	1.332512	-1.239533	0.012510	-0.012863	-0.013920	-0.791260	0.219482	0.392822	0.214762	-0.663556	-0.344502	-0.628402
21304		9.636537	1.320243	-1.223790	0.025767	-0.018983	-0.017033	-0.788818	0.217773	0.393311	0.214777	-0.663584	-0.344754	-0.628229
21305		9.615182	1.335298	-1.185556	0.036632	-0.021025	-0.019399	-0.796875	0.217285	0.394775	0.214841	-0.663604	-0.345074	-0.628011
21306		9.591591	1.323465	-1.171282	0.039740	-0.024418	-0.021535	-0.797119	0.211670	0.391113	0.214908	-0.663633	-0.345423	-0.627765
21307		9.605579	1.349492	-1.186236	0.049890	-0.026327	-0.025704	-0.789062	0.214844	0.388672	0.215012	-0.663645	-0.345845	-0.627484
21308		9.591397	1.377360	-1.154580	0.047294	-0.028813	-0.029679	-0.799805	0.211670	0.390137	0.215077	-0.663665	-0.346275	-0.627204
21309		9.597417	1.413147	-1.161738	0.040066	-0.034569	-0.029360	-0.791016	0.213867	0.390381	0.215097	-0.663730	-0.346669	-0.626910
21310		9.633328	1.443321	-1.137656	0.030351	-0.035231	-0.029384	-0.789551	0.214111	0.381836	0.215057	-0.663812	-0.347016	-0.626646
21311		9.631936	1.447467	-1.144152	0.030885	-0.036498	-0.029514	-0.791260	0.209473	0.395508	0.215013	-0.663889	-0.347362	-0.626387
21312		9.657613	1.500026	-1.127033	0.041673	-0.035232	-0.029971	-0.786621	0.209717	0.391357	0.215035	-0.663940	-0.347774	-0.626096
21313		9.656057	1.524191	-1.129646	0.041955	-0.031994	-0.027153	-0.791260	0.206055	0.390381	0.215071	-0.663969	-0.348167	-0.625835
21314		9.654800	1.527641	-1.135711	0.046509	-0.029392	-0.026109	-0.791504	0.210449	0.399658	0.215145	-0.663969	-0.348572	-0.625584
