// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
18880		9.487100	-0.148148	-2.587789	0.026960	-0.001704	-0.008145	-0.838379	-0.213379	-0.102051	0.583365	0.219032	-0.762168	0.175528
18881		9.499539	-0.138150	-2.539946	0.033289	-0.003035	-0.008070	-0.842773	-0.207764	-0.107910	0.583291	0.219261	-0.762122	0.175689
18882		9.556630	-0.044686	-2.476404	0.034763	0.000588	-0.007269	-0.844971	-0.203613	-0.106445	0.583242	0.219475	-0.762055	0.175876
18883		9.504029	0.007926	-2.527074	0.024801	0.001551	-0.004970	-0.842773	-0.208984	-0.097656	0.583215	0.219626	-0.762001	0.176012
18884		9.498529	-0.090161	-2.496169	0.015577	-0.000405	-0.000146	-0.843262	-0.209961	-0.110840	0.583187	0.219706	-0.761977	0.176105
18885		9.511926	-0.110353	-2.513909	0.016798	-0.005726	0.001507	-0.843262	-0.207520	-0.111084	0.583122	0.219790	-0.761980	0.176204
18886		9.454017	-0.170783	-2.567464	0.029192	-0.005293	-0.002895	-0.841064	-0.210449	-0.098877	0.583044	0.219962	-0.761953	0.176361
18887		9.486614	-0.219844	-2.513464	0.038194	-0.009868	-0.003809	-0.838135	-0.210449	-0.108887	0.582920	0.220188	-0.761936	0.176564
18888		9.511227	-0.180698	-2.440608	0.037201	-0.009876	-0.008183	-0.844971	-0.210938	-0.109131	0.582802	0.220433	-0.761913	0.176745
18889		9.511315	-0.185342	-2.485701	0.026214	-0.009617	-0.014082	-0.841064	-0.207520	-0.093994	0.582721	0.220658	-0.761890	0.176834
18890		9.497762	-0.140472	-2.546458	0.012819	-0.009203	-0.014436	-0.835938	-0.210693	-0.100586	0.582668	0.220815	-0.761883	0.176841
18891		9.473139	-0.231863	-2.610633	0.008175	-0.006148	-0.017979	-0.840820	-0.212158	-0.101318	0.582649	0.220967	-0.761861	0.176809
18892		9.488292	-0.351408	-2.660784	0.035164	-0.005255	-0.027304	-0.848877	-0.206543	-0.103516	0.582590	0.221303	-0.761785	0.176910
18893		9.442988	-0.359499	-2.709497	0.077019	-0.003542	-0.038544	-0.840088	-0.208740	-0.106201	0.582468	0.221898	-0.761628	0.177241
18894		9.472374	-0.208513	-2.579687	0.103801	-0.005546	-0.049727	-0.849365	-0.211670	-0.103516	0.582281	0.222689	-0.761435	0.177696
18895		9.533018	0.012300	-2.428819	0.094356	-0.001991	-0.046412	-0.845459	-0.208008	-0.107910	0.582121	0.223399	-0.761250	0.178123
18896		9.511922	0.122620	-2.491619	0.037123	-0.001136	-0.036989	-0.843018	-0.205811	-0.102295	0.582078	0.223777	-0.761149	0.178218
18897		9.464827	-0.133711	-2.583108	0.016663	-0.001845	-0.033392	-0.838867	-0.214111	-0.099609	0.582075	0.224055	-0.761078	0.178182
18898		9.512319	-0.188293	-2.654392	0.053976	-0.003348	-0.037042	-0.840576	-0.218750	-0.105957	0.581992	0.224550	-0.760953	0.178361
18899		9.494027	0.050167	-2.586208	0.066429	-0.006307	-0.039904	-0.836426	-0.214600	-0.111084	0.581864	0.225121	-0.760827	0.178600
18900		9.506928	0.039469	-2.560652	0.034769	-0.005239	-0.029502	-0.840820	-0.217529	-0.100830	0.581799	0.225478	-0.760754	0.178668
18901		9.544580	-0.177714	-2.656568	0.038928	-0.009837	-0.031573	-0.839844	-0.220703	-0.104248	0.581688	0.225891	-0.760700	0.178742
18902		9.494836	-0.028333	-2.588380	0.055784	-0.007037	-0.029757	-0.834961	-0.211182	-0.103516	0.581556	0.226368	-0.760612	0.178939
18903		9.555939	0.147053	-2.537394	0.045808	-0.008683	-0.026274	-0.844971	-0.214111	-0.106445	0.581435	0.226768	-0.760553	0.179080
18904		9.493062	-0.026481	-2.438223	0.027306	-0.010926	-0.017348	-0.844482	-0.221680	-0.109619	0.581323	0.227031	-0.760548	0.179128
18905		9.473232	-0.049285	-2.402572	0.033182	-0.011524	-0.015636	-0.843506	-0.225098	-0.106689	0.581214	0.227328	-0.760522	0.179215
18906		9.510142	0.050521	-2.436363	-0.013211	-0.010571	-0.012925	-0.840820	-0.216309	-0.103516	0.581206	0.227394	-0.760554	0.179024
18907		9.451597	-0.224491	-2.619355	-0.043718	-0.011990	-0.010422	-0.843018	-0.217529	-0.103027	0.581253	0.227284	-0.760639	0.178647
18908		9.445021	-0.268361	-2.546975	-0.016141	-0.020109	-0.021734	-0.847412	-0.213379	-0.101562	0.581198	0.227384	-0.760712	0.178387
18909		9.471392	-0.051817	-2.444681	-0.015632	-0.024226	-0.021807	-0.840820	-0.219238	-0.102051	0.581102	0.227466	-0.760818	0.178147
18910		9.520641	0.018854	-2.333575	-0.039767	-0.024520	-0.016182	-0.846680	-0.221436	-0.099365	0.581061	0.227415	-0.760952	0.177772
18911		9.508367	-0.036994	-2.428724	-0.075588	-0.029615	-0.011230	-0.841064	-0.224609	-0.104004	0.581055	0.227176	-0.761165	0.177181
18912		9.448489	-0.029392	-2.508017	-0.081188	-0.029345	-0.013764	-0.839111	-0.218262	-0.103516	0.581098	0.226933	-0.761355	0.176537
18913		9.468097	0.206552	-2.505947	-0.111421	-0.020263	-0.008706	-0.839600	-0.216553	-0.102295	0.581244	0.226474	-0.761561	0.175753
18914		9.493843	0.198989	-2.521491	-0.173718	-0.020170	0.000868	-0.835938	-0.217529	-0.098633	0.581493	0.225661	-0.761876	0.174608
18915		9.480306	0.175395	-2.551699	-0.197497	-0.040317	0.019624	-0.842285	-0.216553	-0.108887	0.581618	0.224667	-0.762363	0.173342
18916		9.533283	0.102288	-2.725614	-0.222014	-0.045862	0.038831	-0.839111	-0.220459	-0.102051	0.581774	0.223427	-0.762912	0.172001
18917		9.476100	-0.052724	-2.773749	-0.186053	-0.040381	0.046109	-0.843262	-0.214600	-0.106201	0.581846	0.222347	-0.763420	0.170901
18918		9.484915	0.044971	-2.732465	-0.156403	-0.047236	0.055276	-0.846191	-0.211426	-0.100586	0.581806	0.221330	-0.763936	0.170050
18919		9.571863	0.186150	-2.729046	-0.175681	-0.033002	0.069023	-0.835693	-0.207520	-0.093994	0.581830	0.220109	-0.764466	0.169169
18920		9.487372	-0.238566	-2.679893	-0.175392	-0.022933	0.063587	-0.836670	-0.208984	-0.099609	0.581871	0.218909	-0.764977	0.168269
18921		9.468295	-0.337785	-2.811869	-0.120287	-0.023200	0.053273	-0.836914	-0.212646	-0.103516	0.581853	0.218037	-0.765370	0.167681
18922		9.491006	-0.219783	-2.685641	-0.082970	-0.022287	0.043313	-0.848145	-0.207031	-0.101807	0.581801	0.217418	-0.765671	0.167287
18923		9.494449	-0.101860	-2.597880	-0.061931	-0.018272	0.035287	-0.846191	-0.207520	-0.101074	0.581723	0.216910	-0.765930	0.167031
18924		9.518355	-0.017018	-2.579885	-0.052934	-0.017866	0.036234	-0.842529	-0.210693	-0.103516	0.581628	0.216443	-0.766177	0.166836
18925		9.517085	0.008574	-2.614942	-0.047749	-0.016871	0.044232	-0.841553	-0.203613	-0.106689	0.581548	0.215971	-0.766400	0.166701
18926		9.444561	-0.020698	-2.718230	-0.044046	-0.015176	0.049511	-0.845703	-0.201172	-0.099609	0.581482	0.215421	-0.766617	0.166646
18927		9.485944	-0.199041	-2.600978	-0.008745	-0.010603	0.041565	-0.840820	-0.197266	-0.110596	0.581330	0.215091	-0.766794	0.166787
18928		9.589586	-0.160237	-2.621414	0.018175	-0.006875	0.043279	-0.845459	-0.206055	-0.091064	0.581241	0.214801	-0.766866	0.167140
