// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
18880		9.682688	0.371647	-1.651849	0.021061	0.001794	-0.043111	-0.756836	-0.351562	-0.108398	0.583294	0.351912	-0.678373	0.275200
18881		9.683143	0.346963	-1.749095	0.016244	-0.004910	-0.041157	-0.762207	-0.349365	-0.119141	0.583313	0.352235	-0.678239	0.275078
18882		9.693671	0.343915	-1.754858	0.022383	-0.007863	-0.034412	-0.762207	-0.342285	-0.109619	0.583291	0.352545	-0.678122	0.275017
18883		9.678592	0.392041	-1.778682	0.031673	-0.011950	-0.035092	-0.760742	-0.351807	-0.103516	0.583209	0.352925	-0.678005	0.274990
18884		9.652400	0.440438	-1.736366	0.026088	-0.008134	-0.035082	-0.760742	-0.348633	-0.115234	0.583164	0.353270	-0.677885	0.274942
18885		9.684584	0.411284	-1.690556	0.014865	-0.014160	-0.031952	-0.764160	-0.350098	-0.116211	0.583108	0.353558	-0.677829	0.274825
18886		9.686758	0.308270	-1.672511	-0.000362	-0.014929	-0.028150	-0.757080	-0.353027	-0.106689	0.583085	0.353754	-0.677824	0.274637
18887		9.682909	0.220875	-1.698040	0.003603	-0.019220	-0.030783	-0.755615	-0.353027	-0.113525	0.583029	0.353991	-0.677824	0.274450
18888		9.721542	0.152774	-1.752080	0.009680	-0.012364	-0.026114	-0.760986	-0.353516	-0.113281	0.582978	0.354210	-0.677795	0.274346
18889		9.704166	0.172134	-1.730440	0.031424	-0.003885	-0.024364	-0.758301	-0.345703	-0.100098	0.582898	0.354497	-0.677688	0.274410
18890		9.713780	0.180744	-1.764688	0.032008	0.002798	-0.022598	-0.754395	-0.350342	-0.106934	0.582841	0.354752	-0.677561	0.274516
18891		9.671168	0.211295	-1.778296	0.038205	-0.000213	-0.020759	-0.761230	-0.350342	-0.104004	0.582734	0.355025	-0.677448	0.274667
18892		9.676187	0.173059	-1.783835	0.041263	-0.000312	-0.025233	-0.762451	-0.348145	-0.107178	0.582615	0.355333	-0.677327	0.274822
18893		9.653346	0.128051	-1.842988	0.044995	-0.006456	-0.025826	-0.758545	-0.348877	-0.110107	0.582439	0.355667	-0.677236	0.274987
18894		9.665100	0.147358	-1.799989	0.064441	-0.004080	-0.025518	-0.765137	-0.350342	-0.109131	0.582200	0.356079	-0.677105	0.275282
18895		9.692191	0.243593	-1.770644	0.086709	0.004205	-0.025812	-0.761475	-0.349609	-0.111084	0.581922	0.356569	-0.676899	0.275740
18896		9.643762	0.393191	-1.740889	0.088408	0.006562	-0.026140	-0.759521	-0.344727	-0.106201	0.581650	0.357060	-0.676680	0.276215
18897		9.666417	0.564351	-1.719961	0.052609	-0.004213	-0.031117	-0.757568	-0.351074	-0.106201	0.581439	0.357440	-0.676575	0.276426
18898		9.704938	0.543182	-1.815415	-0.008351	-0.015356	-0.028544	-0.758545	-0.358643	-0.111816	0.581346	0.357553	-0.676664	0.276258
18899		9.657771	0.443272	-1.779395	-0.052668	-0.024249	-0.030035	-0.758057	-0.352539	-0.115479	0.581330	0.357490	-0.676902	0.275790
18900		9.640239	0.387552	-1.798914	-0.084530	-0.038385	-0.039574	-0.760742	-0.354492	-0.100342	0.581363	0.357358	-0.677253	0.275030
18901		9.701116	0.228309	-1.903116	-0.098065	-0.040884	-0.044834	-0.757324	-0.359131	-0.110352	0.581407	0.357220	-0.677627	0.274191
18902		9.691820	0.210117	-1.783342	-0.078309	-0.030695	-0.040792	-0.754639	-0.348877	-0.107178	0.581436	0.357120	-0.677933	0.273503
18903		9.683120	0.345346	-1.713297	-0.047817	-0.042815	-0.050154	-0.761719	-0.351318	-0.113770	0.581348	0.357233	-0.678193	0.272897
18904		9.639706	0.385615	-1.827015	-0.040561	-0.039546	-0.064254	-0.762207	-0.356445	-0.115479	0.581261	0.357421	-0.678416	0.272283
18905		9.630010	0.304526	-1.775045	-0.021510	-0.030263	-0.072816	-0.760742	-0.359863	-0.109863	0.581177	0.357729	-0.678532	0.271768
18906		9.690966	0.395408	-1.685882	-0.013966	-0.029525	-0.054657	-0.759766	-0.355713	-0.105225	0.581026	0.357989	-0.678666	0.271412
18907		9.659576	0.482288	-1.672553	-0.037447	-0.024706	-0.047396	-0.761963	-0.354980	-0.110596	0.580978	0.358089	-0.678830	0.270972
18908		9.630943	0.443831	-1.749312	-0.069556	-0.036597	-0.036303	-0.764404	-0.354492	-0.106201	0.580945	0.357965	-0.679173	0.270348
18909		9.631237	0.478445	-1.800322	-0.068290	-0.043740	-0.027615	-0.758301	-0.361328	-0.107666	0.580831	0.357823	-0.679574	0.269771
18910		9.709196	0.590643	-1.809616	-0.080327	-0.034829	-0.018609	-0.764160	-0.359375	-0.104004	0.580816	0.357594	-0.679938	0.269191
18911		9.706629	0.568485	-1.767808	-0.122943	-0.017011	-0.010777	-0.757568	-0.363525	-0.107910	0.580972	0.357074	-0.680362	0.268473
18912		9.652768	0.497323	-1.803306	-0.151285	-0.009711	-0.002522	-0.756104	-0.356689	-0.108643	0.581292	0.356387	-0.680782	0.267627
18913		9.622077	0.621635	-1.859238	-0.188521	-0.010235	0.013427	-0.755371	-0.352539	-0.109863	0.581720	0.355410	-0.681327	0.266607
18914		9.603041	0.771361	-1.931386	-0.237059	-0.011195	0.016928	-0.755371	-0.353271	-0.107666	0.582296	0.354173	-0.681991	0.265294
18915		9.592780	0.809697	-1.876988	-0.277708	-0.024571	0.016175	-0.759766	-0.353271	-0.115723	0.582895	0.352818	-0.682797	0.263706
18916		9.647036	0.746215	-1.983671	-0.338097	-0.035569	0.010485	-0.759033	-0.356201	-0.111328	0.583620	0.351187	-0.683800	0.261675
18917		9.613063	0.606312	-2.067116	-0.378899	-0.019667	0.015738	-0.761963	-0.347168	-0.117920	0.584507	0.349369	-0.684802	0.259498
18918		9.606969	0.438904	-2.085837	-0.366461	-0.018031	0.016630	-0.767334	-0.346680	-0.111084	0.585371	0.347514	-0.685817	0.257350
18919		9.651711	0.438743	-2.056880	-0.325030	-0.018832	0.014719	-0.758789	-0.343994	-0.108643	0.586017	0.345920	-0.686774	0.255472
18920		9.625828	0.377192	-2.041718	-0.284986	-0.016171	0.010050	-0.753906	-0.343994	-0.111328	0.586602	0.344569	-0.687575	0.253795
18921		9.678943	0.268056	-1.952514	-0.222237	-0.017859	0.013474	-0.754150	-0.349365	-0.116699	0.587014	0.343500	-0.688241	0.252483
18922		9.730500	0.289356	-1.954224	-0.177914	-0.004848	0.023522	-0.765381	-0.343018	-0.117920	0.587347	0.342573	-0.688765	0.251535
18923		9.697674	0.452434	-1.823604	-0.165186	0.004610	0.032927	-0.766602	-0.343750	-0.115479	0.587604	0.341545	-0.689345	0.250742
18924		9.657741	0.571122	-1.804261	-0.160843	0.014911	0.033250	-0.760742	-0.348145	-0.119629	0.587879	0.340551	-0.689861	0.250031
18925		9.624804	0.606732	-1.845957	-0.135665	0.011706	0.032158	-0.761230	-0.338379	-0.123535	0.588129	0.339738	-0.690258	0.249452
18926		9.648421	0.584678	-1.886215	-0.132818	0.005721	0.041335	-0.761719	-0.337646	-0.118652	0.588366	0.338752	-0.690755	0.248857
18927		9.654744	0.567191	-1.809107	-0.145191	0.009479	0.051764	-0.761475	-0.331299	-0.131592	0.588596	0.337695	-0.691286	0.248276
18928		9.735702	0.409313	-1.890742	-0.129670	0.015137	0.056649	-0.764648	-0.338379	-0.115723	0.588917	0.336479	-0.691795	0.247747
18929		9.757926	0.350972	-1.887092	-0.069398	0.021754	0.078019	-0.763672	-0.337158	-0.130371	0.588882	0.335715	-0.692167	0.247826
18930		9.706422	0.473348	-1.794055	-0.042427	0.033241	0.096377	-0.760986	-0.336182	-0.123291	0.588927	0.334788	-0.692474	0.248117
18931		9.688397	0.606758	-1.692614	-0.035505	0.050433	0.103222	-0.757080	-0.335205	-0.129639	0.589001	0.333917	-0.692670	0.248566
18932		9.685629	0.507925	-1.647867	-0.034429	0.056813	0.108084	-0.763428	-0.343750	-0.129883	0.589194	0.332956	-0.692805	0.249023
18933		9.691671	0.330858	-1.586134	-0.016955	0.068540	0.117638	-0.761963	-0.341553	-0.125000	0.589319	0.332158	-0.692828	0.249727
18934		9.645014	0.185410	-1.560939	0.017319	0.085626	0.123992	-0.755859	-0.325928	-0.130859	0.589403	0.331512	-0.692702	0.250736
18935		9.714307	0.276984	-1.583050	0.076067	0.100049	0.109780	-0.760254	-0.329590	-0.119873	0.589575	0.330901	-0.692405	0.251955
18936		9.747685	0.443705	-1.674841	0.163166	0.087817	0.079635	-0.763916	-0.327637	-0.125488	0.589331	0.331147	-0.691894	0.253601
18937		9.652417	0.577686	-1.778815	0.220523	0.056801	0.049189	-0.767578	-0.320068	-0.124756	0.588851	0.331813	-0.691354	0.255313
18938		9.559116	0.435576	-1.935567	0.189865	0.001187	0.046334	-0.763916	-0.322021	-0.126221	0.588130	0.332327	-0.691225	0.256651
18939		9.621300	0.255092	-1.908861	0.102821	-0.034773	0.043077	-0.763184	-0.321045	-0.120117	0.587494	0.332539	-0.691402	0.257355
18940		9.703708	0.271473	-1.611266	-0.037427	-0.043402	0.047720	-0.766602	-0.323730	-0.127197	0.587123	0.332127	-0.691942	0.257285
18941		9.716527	0.341039	-1.500465	-0.163116	-0.035069	0.043044	-0.760254	-0.329102	-0.124268	0.587228	0.331048	-0.692674	0.256464
18942		9.678833	0.197887	-1.560723	-0.213248	-0.023221	0.032608	-0.774414	-0.324219	-0.130371	0.587560	0.329956	-0.693317	0.255370
18943		9.683823	-0.309247	-1.726308	-0.213224	-0.009283	0.019288	-0.762207	-0.325195	-0.125244	0.587987	0.328694	-0.693971	0.254237
18944		9.683350	-0.876722	-2.011896	-0.120971	-0.005505	0.017913	-0.765137	-0.323486	-0.125977	0.588174	0.328047	-0.694322	0.253679
18945		9.787421	-1.026149	-2.216185	0.041078	0.002731	0.014510	-0.769043	-0.321533	-0.134033	0.587938	0.328133	-0.694330	0.254093
18946		9.756744	-0.840808	-2.168115	0.208207	0.039312	-0.015666	-0.768555	-0.316650	-0.130859	0.587591	0.328921	-0.693774	0.255391
18947		9.783473	-0.430396	-1.986972	0.331068	0.075553	-0.040804	-0.771973	-0.324463	-0.124512	0.587123	0.330295	-0.692776	0.257400
18948		9.714402	-0.039278	-1.806079	0.362193	0.092693	-0.051098	-0.765137	-0.320312	-0.122314	0.586559	0.332058	-0.691558	0.259680
18949		9.555433	0.195720	-1.683572	0.325506	0.092920	-0.053443	-0.771484	-0.328613	-0.125732	0.586125	0.333603	-0.690412	0.261720
18950		9.590830	0.220702	-1.725436	0.289036	0.084347	-0.060004	-0.769287	-0.327393	-0.128906	0.585774	0.335045	-0.689341	0.263481
18951		9.678243	0.224294	-1.790003	0.271666	0.073239	-0.054626	-0.766113	-0.334229	-0.121826	0.585475	0.336275	-0.688385	0.265072
18952		9.672358	0.312682	-1.859300	0.230598	0.065186	-0.055571	-0.769043	-0.331787	-0.120361	0.585145	0.337612	-0.687465	0.266488
18953		9.533518	0.481589	-1.923891	0.165954	0.028872	-0.074944	-0.766357	-0.329590	-0.128418	0.584802	0.338752	-0.686867	0.267335
18954		9.536500	0.277317	-2.030382	0.092456	-0.019143	-0.105514	-0.761719	-0.337158	-0.125732	0.584633	0.339568	-0.686610	0.267329
18955		9.592808	-0.211948	-2.134673	0.037019	-0.051697	-0.124657	-0.775879	-0.334473	-0.112549	0.584452	0.340509	-0.686484	0.266850
18956		9.705543	-0.533459	-1.911972	0.041160	-0.050073	-0.142004	-0.762451	-0.334961	-0.114258	0.584003	0.341648	-0.686433	0.266510
18957		9.809793	-0.681865	-1.693950	0.075620	-0.029979	-0.170800	-0.763428	-0.336914	-0.116211	0.583750	0.343081	-0.686044	0.266223
18958		9.723221	-0.761764	-1.755667	0.184164	-0.008607	-0.213397	-0.766357	-0.337646	-0.123535	0.583445	0.345124	-0.685217	0.266381
18959		9.810251	-0.691154	-1.810517	0.347059	-0.017638	-0.241516	-0.758789	-0.343018	-0.117676	0.582820	0.347820	-0.684070	0.267187
18960		9.806779	-0.388030	-1.668082	0.381637	0.000194	-0.249412	-0.764160	-0.340576	-0.114746	0.582161	0.350875	-0.682646	0.268272
18961		9.693906	-0.039232	-1.860855	0.486542	-0.011544	-0.268999	-0.756104	-0.343262	-0.114014	0.581127	0.354384	-0.681096	0.269835
18962		9.592277	0.458687	-1.927416	0.538136	-0.014031	-0.281431	-0.761719	-0.356934	-0.106445	0.580022	0.358197	-0.679352	0.271569
18963		9.449688	0.837411	-2.014949	0.495714	-0.021024	-0.309722	-0.762451	-0.358887	-0.104980	0.578922	0.362214	-0.677582	0.273006
18964		9.350276	0.955290	-2.222814	0.498401	-0.050519	-0.351552	-0.750732	-0.371582	-0.106934	0.577767	0.366411	-0.675864	0.274109
18965		9.487867	0.985176	-2.340898	0.515849	-0.094923	-0.367172	-0.750000	-0.370117	-0.101318	0.576493	0.370963	-0.674125	0.274951
18966		9.668539	0.951517	-2.372869	0.456861	-0.099429	-0.363297	-0.749023	-0.378906	-0.100098	0.575320	0.375132	-0.672605	0.275473
18967		9.573886	0.819716	-2.294490	0.440271	-0.104648	-0.366085	-0.749512	-0.377686	-0.095947	0.574223	0.379202	-0.671129	0.275791
18968		9.613848	0.857540	-2.180906	0.451885	-0.121321	-0.365651	-0.754639	-0.387451	-0.083008	0.572963	0.383243	-0.669769	0.276130
18969		9.560483	0.969076	-2.004021	0.489379	-0.126411	-0.365316	-0.745605	-0.390625	-0.080322	0.571322	0.387738	-0.668287	0.276845
18970		9.663870	1.144723	-1.823103	0.477627	-0.121699	-0.369297	-0.739258	-0.393799	-0.075195	0.569818	0.392182	-0.666736	0.277425
