// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
20797		9.689293	-0.626743	-1.661144	0.003489	-0.005353	-0.006542	-0.885010	0.255615	-0.389160	0.637060	-0.166256	-0.746093	-0.099288
20798		9.671638	-0.650339	-1.681464	0.000109	-0.004457	-0.004317	-0.884766	0.256348	-0.385254	0.637029	-0.166232	-0.746123	-0.099305
20799		9.660681	-0.656444	-1.675007	0.001386	-0.004530	-0.003350	-0.884277	0.245361	-0.382080	0.636991	-0.166239	-0.746154	-0.099299
20800		9.660930	-0.679970	-1.667822	0.003376	-0.004466	-0.004777	-0.885010	0.246826	-0.395508	0.636982	-0.166101	-0.746190	-0.099323
20801		9.673253	-0.684280	-1.684225	0.010510	-0.003460	-0.006324	-0.887939	0.255127	-0.382568	0.636994	-0.165876	-0.746230	-0.099320
20802		9.678446	-0.654215	-1.649155	0.010030	-0.001802	-0.004914	-0.884766	0.249268	-0.385498	0.636987	-0.165824	-0.746254	-0.099270
20803		9.676898	-0.642180	-1.640895	0.008176	-0.004432	-0.002149	-0.880127	0.254639	-0.380859	0.636978	-0.165727	-0.746289	-0.099233
20804		9.667080	-0.636085	-1.651085	0.004170	-0.006452	-0.004949	-0.891113	0.243896	-0.387939	0.636932	-0.165724	-0.746331	-0.099209
20805		9.678134	-0.652861	-1.651519	-0.001630	-0.007975	-0.003317	-0.878662	0.256348	-0.381836	0.636902	-0.165600	-0.746379	-0.099253
20806		9.679445	-0.664030	-1.661504	0.002973	-0.008501	-0.003696	-0.881104	0.248291	-0.388184	0.636841	-0.165632	-0.746429	-0.099220
20807		9.667677	-0.622272	-1.671442	0.004505	-0.008456	-0.000608	-0.884521	0.239990	-0.385742	0.636807	-0.165562	-0.746477	-0.099188
20808		9.667457	-0.622344	-1.672687	0.003114	-0.007496	0.000192	-0.886963	0.246582	-0.380371	0.636790	-0.165427	-0.746522	-0.099181
20809		9.666904	-0.598478	-1.681683	0.000700	-0.006345	0.002148	-0.889160	0.251709	-0.385010	0.636762	-0.165404	-0.746554	-0.099158
20810		9.676757	-0.628877	-1.665395	-0.002370	-0.005775	0.005614	-0.881348	0.246582	-0.384033	0.636737	-0.165450	-0.746570	-0.099127
20811		9.676525	-0.629971	-1.666331	-0.003138	-0.005468	0.008891	-0.887939	0.251221	-0.378906	0.636710	-0.165483	-0.746590	-0.099094
20812		9.665748	-0.662072	-1.652243	-0.005013	-0.006420	0.008552	-0.889404	0.244873	-0.386719	0.636660	-0.165577	-0.746616	-0.099062
20813		9.676666	-0.680733	-1.652699	-0.010213	-0.006918	0.009559	-0.879150	0.247314	-0.383789	0.636644	-0.165621	-0.746619	-0.099067
20814		9.649091	-0.700491	-1.682636	-0.003703	-0.005259	0.005530	-0.886475	0.245850	-0.394043	0.636617	-0.165654	-0.746638	-0.099041
20815		9.651839	-0.724828	-1.700847	0.003143	-0.005605	0.005843	-0.882812	0.249268	-0.379639	0.636661	-0.165598	-0.746623	-0.098965
20816		9.647873	-0.738627	-1.659833	0.005475	-0.004634	0.001666	-0.889404	0.246338	-0.387939	0.636613	-0.165594	-0.746675	-0.098889
20817		9.685985	-0.713529	-1.638486	0.006846	-0.000347	0.000312	-0.888184	0.254395	-0.386719	0.636654	-0.165510	-0.746669	-0.098813
20818		9.670977	-0.737324	-1.683318	0.006049	-0.001932	-0.002065	-0.878418	0.252197	-0.386475	0.636680	-0.165497	-0.746661	-0.098725
20819		9.647783	-0.738571	-1.660382	0.002756	-0.000244	-0.004705	-0.878662	0.247070	-0.381348	0.636695	-0.165482	-0.746659	-0.098670
20820		9.636637	-0.720031	-1.661269	0.001758	-0.002391	-0.010087	-0.872803	0.238281	-0.379395	0.636654	-0.165414	-0.746710	-0.098657
20821		9.674882	-0.692911	-1.639991	-0.002787	-0.002309	-0.010589	-0.885254	0.252686	-0.385254	0.636591	-0.165302	-0.746785	-0.098687
20822		9.674940	-0.691033	-1.640441	-0.008298	-0.002480	-0.010819	-0.884521	0.251709	-0.386230	0.636586	-0.165323	-0.746781	-0.098715
20823		9.674671	-0.664805	-1.648721	-0.008011	-0.001129	-0.012685	-0.879395	0.245361	-0.380127	0.636594	-0.165319	-0.746770	-0.098753
20824		9.686763	-0.643542	-1.672729	-0.003465	-0.001211	-0.012184	-0.877441	0.241699	-0.381836	0.636560	-0.165258	-0.746810	-0.098775
20825		9.680870	-0.594948	-1.638275	-0.008522	-0.000706	-0.007287	-0.884521	0.253662	-0.385986	0.636536	-0.165216	-0.746835	-0.098810
20826		9.691403	-0.562607	-1.653625	-0.020566	-0.000864	-0.006592	-0.885010	0.253418	-0.390137	0.636542	-0.165336	-0.746792	-0.098897
20827		9.667458	-0.627681	-1.692317	-0.025309	-0.000689	-0.000459	-0.878662	0.254883	-0.387451	0.636573	-0.165498	-0.746717	-0.098989
20828		9.677216	-0.632692	-1.683024	-0.025615	0.003207	0.000854	-0.881348	0.245850	-0.376465	0.636610	-0.165688	-0.746632	-0.099079
20829		9.651816	-0.686756	-1.712637	-0.020276	0.001141	0.001181	-0.884766	0.238525	-0.391113	0.636544	-0.165797	-0.746653	-0.099154
20830		9.652256	-0.710367	-1.704580	-0.018481	0.004217	-0.000699	-0.884766	0.247314	-0.380615	0.636593	-0.165762	-0.746607	-0.099249
20831		9.665124	-0.738646	-1.712091	-0.013538	0.004604	-0.003828	-0.891113	0.254150	-0.392578	0.636584	-0.165808	-0.746598	-0.099303
20832		9.662719	-0.738230	-1.686108	-0.008054	0.006460	-0.006698	-0.890625	0.245117	-0.387207	0.636686	-0.165826	-0.746505	-0.099315
20833		9.653639	-0.755215	-1.686689	-0.000444	0.005816	-0.009661	-0.877686	0.254883	-0.382080	0.636735	-0.165721	-0.746486	-0.099315
20834		9.670083	-0.717386	-1.657025	0.000188	0.011648	-0.011718	-0.884521	0.253174	-0.390625	0.636803	-0.165720	-0.746432	-0.099293
20835		9.679908	-0.696649	-1.653701	-0.003527	0.010980	-0.016387	-0.879395	0.251221	-0.385498	0.636916	-0.165662	-0.746344	-0.099322
20836		9.660953	-0.682524	-1.670693	-0.001226	0.010719	-0.016577	-0.882568	0.255615	-0.389893	0.636989	-0.165591	-0.746295	-0.099341
20837		9.677052	-0.619635	-1.648636	0.000478	0.009433	-0.016141	-0.885498	0.257324	-0.384521	0.637097	-0.165550	-0.746213	-0.099334
20838		9.670389	-0.610776	-1.681724	-0.003499	0.009297	-0.013288	-0.877441	0.251465	-0.384766	0.637156	-0.165588	-0.746154	-0.099332
20839		9.681623	-0.602045	-1.687405	-0.004269	0.009599	-0.010011	-0.883057	0.249512	-0.387695	0.637213	-0.165579	-0.746106	-0.099342
20840		9.678905	-0.577095	-1.668629	-0.002255	0.007986	-0.008335	-0.886475	0.257080	-0.389648	0.637277	-0.165544	-0.746059	-0.099344
20841		9.688256	-0.618327	-1.633163	-0.001833	0.013907	-0.003753	-0.885010	0.252197	-0.390137	0.637406	-0.165615	-0.745938	-0.099310
20842		9.671867	-0.605634	-1.675070	-0.000728	0.011596	-0.002689	-0.885254	0.246338	-0.382812	0.637516	-0.165628	-0.745844	-0.099283
20843		9.667951	-0.594775	-1.639443	-0.000144	0.009701	0.003776	-0.889160	0.254150	-0.387695	0.637542	-0.165629	-0.745830	-0.099225
20844		9.649138	-0.608037	-1.648859	-0.006616	0.009265	0.003808	-0.883301	0.253906	-0.386230	0.637605	-0.165748	-0.745753	-0.099195
20845		9.654315	-0.667936	-1.665825	-0.001029	0.007321	0.006266	-0.888428	0.254639	-0.380615	0.637660	-0.165849	-0.745694	-0.099116
20846		9.662214	-0.638781	-1.654547	0.000731	0.005593	0.005821	-0.879639	0.244385	-0.383545	0.637644	-0.165965	-0.745695	-0.099015
20847		9.658092	-0.628821	-1.619680	-0.009491	0.006818	0.007722	-0.882812	0.250244	-0.382324	0.637650	-0.165995	-0.745685	-0.099004
20848		9.658588	-0.653994	-1.610774	-0.007617	0.007771	0.008064	-0.881592	0.253662	-0.387451	0.637657	-0.166100	-0.745661	-0.098968
20849		9.668234	-0.664842	-1.694298	-0.007458	0.003521	0.012502	-0.883789	0.248291	-0.385742	0.637698	-0.166267	-0.745596	-0.098905
20850		9.653150	-0.662263	-1.652572	0.004617	0.004930	0.007842	-0.878418	0.254639	-0.393311	0.637728	-0.166263	-0.745585	-0.098803
20851		9.651982	-0.676156	-1.635502	0.002880	0.001410	0.008834	-0.880127	0.248047	-0.385986	0.637833	-0.166346	-0.745491	-0.098698
20852		9.660126	-0.671654	-1.616982	0.000754	0.003909	0.008923	-0.890381	0.254639	-0.384766	0.637861	-0.166362	-0.745475	-0.098612
20853		9.660098	-0.673109	-1.616543	-0.002684	0.001675	0.009476	-0.883789	0.253906	-0.384521	0.637836	-0.166500	-0.745476	-0.098531
20854		9.663088	-0.697928	-1.633720	-0.005949	0.001681	0.009932	-0.883301	0.240967	-0.385742	0.637825	-0.166647	-0.745461	-0.098469
20855		9.654875	-0.705444	-1.651372	0.002031	0.003835	0.009891	-0.881348	0.250244	-0.385010	0.637837	-0.166536	-0.745487	-0.098385
20856		9.673187	-0.646129	-1.655600	0.005123	0.001590	0.009531	-0.890137	0.250488	-0.387939	0.637848	-0.166562	-0.745488	-0.098261
20857		9.670761	-0.672787	-1.622267	0.003133	0.001522	0.010955	-0.885010	0.252441	-0.390137	0.637856	-0.166591	-0.745488	-0.098152
20858		9.660969	-0.668877	-1.631477	0.000293	0.000315	0.010882	-0.881592	0.250732	-0.389648	0.637898	-0.166660	-0.745450	-0.098053
20859		9.672440	-0.712171	-1.622695	0.004700	0.002802	0.010058	-0.883545	0.252197	-0.382812	0.637965	-0.166671	-0.745406	-0.097936
20860		9.665438	-0.707301	-1.656671	0.004990	0.004155	0.008194	-0.884033	0.254150	-0.391846	0.637957	-0.166718	-0.745416	-0.097826
20861		9.654583	-0.715411	-1.648791	0.009280	0.003960	0.006584	-0.874268	0.250732	-0.385986	0.638053	-0.166724	-0.745350	-0.097696
20862		9.665812	-0.734074	-1.647417	0.008372	0.003263	0.005970	-0.887451	0.259521	-0.383789	0.638110	-0.166710	-0.745321	-0.097569
20863		9.651945	-0.718380	-1.622188	0.008720	0.004174	0.003222	-0.886719	0.248779	-0.385010	0.638099	-0.166820	-0.745322	-0.097451
20864		9.661407	-0.700593	-1.619808	0.007078	0.005018	0.001899	-0.875488	0.251221	-0.392578	0.638097	-0.166736	-0.745352	-0.097371
20865		9.675420	-0.717817	-1.643503	0.009744	0.003985	0.002068	-0.880371	0.250244	-0.385498	0.638230	-0.166666	-0.745269	-0.097256
20866		9.682171	-0.700702	-1.615926	0.009378	0.004756	0.001712	-0.880859	0.251953	-0.393555	0.638260	-0.166604	-0.745271	-0.097154
20867		9.664109	-0.677440	-1.650340	0.006055	0.005207	0.003051	-0.881836	0.258057	-0.389404	0.638383	-0.166562	-0.745187	-0.097061
20868		9.664196	-0.678244	-1.649500	0.009998	0.004099	0.004189	-0.875732	0.259766	-0.385498	0.638453	-0.166633	-0.745129	-0.096927
20869		9.684789	-0.678534	-1.646587	0.012259	0.002599	0.007990	-0.883545	0.258545	-0.391357	0.638498	-0.166774	-0.745082	-0.096749
20870		9.673918	-0.686695	-1.638739	0.011218	0.004468	0.006039	-0.881104	0.257324	-0.385010	0.638585	-0.166844	-0.745010	-0.096606
20871		9.681780	-0.658301	-1.627818	0.013789	0.002640	0.011078	-0.881348	0.259521	-0.382568	0.638598	-0.166937	-0.745003	-0.096414
20872		9.679303	-0.685417	-1.594102	0.010409	0.003536	0.013299	-0.888428	0.252686	-0.390381	0.638584	-0.167105	-0.745001	-0.096230
20873		9.664418	-0.711380	-1.638302	0.004957	0.002923	0.012173	-0.882080	0.255615	-0.381836	0.638615	-0.167127	-0.744984	-0.096116
20874		9.653731	-0.744179	-1.622881	0.005438	0.001265	0.010763	-0.875977	0.259033	-0.394287	0.638562	-0.167227	-0.745024	-0.095983
20875		9.650909	-0.746765	-1.597355	0.011973	0.001243	0.009851	-0.879639	0.249756	-0.389893	0.638700	-0.167321	-0.744906	-0.095820
