// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
20797		9.747380	0.425842	-1.003236	0.008765	-0.003627	-0.004200	-0.917236	-0.180664	0.623779	-0.108171	-0.737170	0.087789	-0.661190
20798		9.759007	0.403189	-0.983759	0.012503	-0.000920	-0.004968	-0.915283	-0.177979	0.630615	-0.108121	-0.737190	0.087691	-0.661189
20799		9.752978	0.445469	-0.996754	0.014370	-0.003618	-0.004924	-0.916260	-0.189697	0.630859	-0.108052	-0.737232	0.087585	-0.661167
20800		9.743148	0.455431	-1.013334	0.013685	-0.005320	-0.005947	-0.916260	-0.189941	0.617432	-0.107997	-0.737278	0.087478	-0.661139
20801		9.734106	0.427895	-1.052708	0.014570	-0.004495	-0.006434	-0.919189	-0.180420	0.629395	-0.107941	-0.737321	0.087362	-0.661116
20802		9.725638	0.401959	-1.037441	0.014095	-0.007371	-0.011668	-0.916016	-0.184082	0.628418	-0.107913	-0.737384	0.087218	-0.661069
20803		9.755061	0.277002	-1.063600	0.021821	-0.005151	-0.015554	-0.914062	-0.176758	0.635010	-0.107861	-0.737445	0.087008	-0.661037
20804		9.737056	0.504235	-0.975335	0.018767	-0.006153	-0.013757	-0.925293	-0.190918	0.625488	-0.107810	-0.737510	0.086832	-0.660997
20805		9.741943	0.523700	-1.023754	0.003733	-0.004836	-0.015260	-0.911377	-0.177979	0.629150	-0.107864	-0.737553	0.086725	-0.660954
20806		9.757429	0.353567	-1.040727	0.015528	-0.006859	-0.015844	-0.913330	-0.189453	0.626221	-0.107852	-0.737620	0.086547	-0.660905
20807		9.732651	0.478625	-0.981912	0.016115	-0.008910	-0.014980	-0.917480	-0.193359	0.630127	-0.107825	-0.737698	0.086377	-0.660843
