// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
24233		3.177966	-4.540464	8.147434	0.009731	-0.008726	-0.011034	-0.110352	0.974365	-0.464111	0.731790	-0.293113	0.025937	-0.614732
24234		3.175770	-4.555321	8.095772	0.010767	-0.008458	-0.011779	-0.114502	0.970703	-0.457520	0.731758	-0.293093	0.025801	-0.614785
24235		3.193520	-4.529554	8.074488	0.006621	-0.009527	-0.008803	-0.116943	0.964844	-0.460693	0.731726	-0.293110	0.025688	-0.614820
24236		3.208978	-4.506173	8.099368	0.005877	-0.003819	-0.011502	-0.116455	0.971436	-0.465332	0.731682	-0.293097	0.025606	-0.614882
24237		3.194576	-4.528705	8.121157	0.007639	-0.003450	-0.011149	-0.113037	0.971436	-0.463135	0.731644	-0.293072	0.025518	-0.614943
24238		3.183635	-4.532848	8.116020	0.006125	-0.005721	-0.010603	-0.107178	0.969482	-0.464111	0.731605	-0.293068	0.025424	-0.614995
24239		3.192816	-4.528364	8.135198	0.006125	-0.005721	-0.010603	-0.116211	0.968262	-0.458496	0.731566	-0.293064	0.025330	-0.615047
24240		3.188361	-4.513695	8.135615	0.005804	-0.007640	-0.011721	-0.114990	0.968506	-0.463867	0.731521	-0.293073	0.025224	-0.615101
24241		3.190082	-4.512417	8.135649	0.004162	-0.005179	-0.010946	-0.114746	0.965576	-0.463135	0.731475	-0.293079	0.025142	-0.615156
24242		3.196305	-4.541161	8.115924	0.000032	-0.003189	-0.011619	-0.115234	0.968018	-0.462891	0.731415	-0.293100	0.025091	-0.615219
24243		3.185279	-4.513875	8.116444	0.002198	-0.004638	-0.011288	-0.120850	0.967529	-0.458252	0.731362	-0.293117	0.025021	-0.615277
24244		3.163285	-4.507944	8.124940	0.002721	-0.003628	-0.010181	-0.115479	0.964355	-0.458984	0.731315	-0.293126	0.024957	-0.615331
24245		3.175686	-4.517582	8.111041	0.004317	-0.005094	-0.011868	-0.111572	0.977051	-0.457520	0.731265	-0.293131	0.024874	-0.615391
24246		3.175929	-4.532636	8.091796	0.006328	-0.006626	-0.010616	-0.111572	0.971436	-0.467285	0.731227	-0.293132	0.024775	-0.615441
24247		3.175734	-4.565676	8.132002	0.002400	-0.005547	-0.011299	-0.119385	0.969971	-0.462891	0.731175	-0.293153	0.024703	-0.615495
24248		3.179160	-4.530491	8.091729	0.003281	-0.005362	-0.011124	-0.115234	0.965332	-0.458984	0.731126	-0.293171	0.024631	-0.615548
24249		3.194475	-4.539646	8.110391	0.002923	-0.004536	-0.010193	-0.118164	0.958008	-0.463135	0.731081	-0.293188	0.024572	-0.615596
24250		3.192669	-4.556864	8.137370	0.006125	-0.005715	-0.010607	-0.126465	0.976562	-0.456543	0.731041	-0.293190	0.024485	-0.615645
24251		3.185227	-4.542671	8.105256	0.007364	-0.006355	-0.011363	-0.117432	0.969727	-0.467285	0.730995	-0.293205	0.024395	-0.615696
24252		3.191802	-4.538661	8.091733	0.005699	-0.008711	-0.009894	-0.109375	0.965820	-0.457275	0.730960	-0.293230	0.024304	-0.615729
24253		3.174983	-4.529691	8.086748	0.007208	-0.006438	-0.010443	-0.116943	0.968994	-0.458740	0.730929	-0.293236	0.024228	-0.615767
24254		3.196601	-4.519494	8.111270	0.004315	-0.005093	-0.011871	-0.117432	0.977295	-0.461914	0.730877	-0.293262	0.024170	-0.615818
24255		3.177778	-4.544947	8.146470	0.004160	-0.005176	-0.010950	-0.110596	0.975098	-0.463867	0.730830	-0.293297	0.024124	-0.615859
24256		3.181209	-4.541604	8.100375	0.007160	-0.005444	-0.011355	-0.108398	0.974365	-0.458984	0.730796	-0.293302	0.024071	-0.615899
24257		3.167156	-4.531772	8.128227	0.009328	-0.006890	-0.011026	-0.115234	0.966553	-0.460205	0.730770	-0.293306	0.024007	-0.615931
24258		3.180083	-4.540605	8.114570	0.009009	-0.008810	-0.012143	-0.104248	0.969727	-0.462158	0.730733	-0.293311	0.023905	-0.615976
24259		3.188290	-4.519643	8.120564	0.011699	-0.009244	-0.010707	-0.120361	0.968994	-0.461914	0.730726	-0.293290	0.023826	-0.615998
24260		3.182604	-4.520910	8.101853	0.007566	-0.007261	-0.011378	-0.113037	0.970459	-0.465088	0.730685	-0.293306	0.023739	-0.616042
24261		3.180907	-4.505535	8.134986	0.006850	-0.005610	-0.009515	-0.119141	0.977539	-0.453369	0.730664	-0.293303	0.023695	-0.616069
24262		3.185801	-4.518027	8.102205	0.005243	-0.005899	-0.010787	-0.116455	0.971191	-0.459473	0.730618	-0.293369	0.023661	-0.616095
24263		3.173168	-4.524391	8.143194	0.005969	-0.005795	-0.009691	-0.119385	0.975586	-0.462402	0.730587	-0.293388	0.023616	-0.616124
24264		3.192110	-4.546750	8.129162	0.008600	-0.006990	-0.012126	-0.116699	0.968018	-0.467773	0.730549	-0.293408	0.023551	-0.616161
