// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
24233		4.982809	-8.263122	1.597436	0.009883	-0.000148	-0.009227	-0.650146	0.849854	0.511963	0.309731	-0.530149	0.370557	-0.696919
24234		4.971952	-8.245325	1.583803	0.005143	-0.001390	-0.007815	-0.654541	0.847412	0.520508	0.309713	-0.530168	0.370489	-0.696949
24235		5.002077	-8.214669	1.609761	0.006102	-0.000918	-0.009774	-0.654297	0.841309	0.519287	0.309678	-0.530195	0.370411	-0.696985
24236		4.984585	-8.240406	1.595059	0.005113	-0.002989	-0.006339	-0.656494	0.845459	0.511230	0.309673	-0.530219	0.370345	-0.697004
24237		4.995700	-8.236547	1.605541	0.004316	-0.000282	-0.005856	-0.650146	0.846191	0.512451	0.309658	-0.530228	0.370293	-0.697032
24238		4.983021	-8.254621	1.669078	0.005114	-0.002989	-0.006339	-0.647705	0.845947	0.518555	0.309653	-0.530252	0.370226	-0.697051
24239		5.001317	-8.275347	1.615974	0.007644	-0.002635	-0.008278	-0.653320	0.845215	0.520508	0.309646	-0.530271	0.370136	-0.697087
24240		4.994442	-8.228995	1.631858	0.007003	-0.003644	-0.008780	-0.653809	0.844482	0.515137	0.309638	-0.530300	0.370044	-0.697119
24241		4.985365	-8.265686	1.612459	0.006749	0.000090	-0.009277	-0.653809	0.843262	0.515869	0.309614	-0.530308	0.369959	-0.697168
24242		4.971903	-8.228493	1.637792	0.003163	-0.000718	-0.006861	-0.652344	0.847656	0.516602	0.309590	-0.530321	0.369904	-0.697197
24243		4.972893	-8.262180	1.627749	0.000852	-0.001591	-0.008864	-0.660156	0.844727	0.523193	0.309549	-0.530350	0.369851	-0.697222
24244		4.977777	-8.267337	1.647292	0.002490	-0.003325	-0.005884	-0.654297	0.841797	0.518555	0.309539	-0.530374	0.369796	-0.697237
24245		4.971253	-8.254995	1.608594	0.005565	-0.001945	-0.008803	-0.652100	0.851074	0.522949	0.309524	-0.530387	0.369714	-0.697277
24246		4.982009	-8.251465	1.663198	0.006722	-0.001508	-0.007802	-0.647949	0.846680	0.512939	0.309520	-0.530391	0.369632	-0.697320
24247		4.979956	-8.244294	1.600451	0.005665	-0.001963	-0.007324	-0.658691	0.845459	0.517334	0.309517	-0.530395	0.369556	-0.697358
24248		4.989321	-8.254587	1.596052	0.003581	-0.001273	-0.007845	-0.654785	0.841797	0.518066	0.309497	-0.530402	0.369492	-0.697396
24249		4.965489	-8.255098	1.600971	0.005538	-0.003543	-0.007326	-0.656982	0.834473	0.518311	0.309497	-0.530418	0.369415	-0.697425
24250		4.978690	-8.271213	1.615915	0.002011	-0.001156	-0.007866	-0.663330	0.852051	0.520508	0.309467	-0.530432	0.369366	-0.697453
24251		4.971545	-8.259383	1.621334	0.008168	-0.003206	-0.007787	-0.655762	0.844482	0.510986	0.309482	-0.530432	0.369274	-0.697495
24252		4.985596	-8.240359	1.603155	0.008713	-0.002180	-0.008768	-0.648438	0.842773	0.524170	0.309491	-0.530429	0.369180	-0.697543
24253		5.003563	-8.227072	1.604445	0.006115	-0.000919	-0.009789	-0.654053	0.848145	0.517822	0.309482	-0.530443	0.369104	-0.697577
24254		4.988050	-8.238627	1.604419	0.000539	-0.001057	-0.006407	-0.656494	0.851318	0.515625	0.309470	-0.530451	0.369070	-0.697594
24255		4.994778	-8.263872	1.628677	0.001500	-0.000586	-0.008369	-0.650146	0.850098	0.516357	0.309453	-0.530452	0.369024	-0.697625
24256		4.975632	-8.269517	1.609238	0.007048	-0.002045	-0.010273	-0.646973	0.852539	0.516602	0.309460	-0.530461	0.368934	-0.697663
24257		4.987185	-8.265236	1.620297	0.010931	-0.001286	-0.008251	-0.655762	0.840576	0.517334	0.309508	-0.530449	0.368835	-0.697703
24258		4.986468	-8.244177	1.616960	0.011319	-0.003438	-0.007753	-0.644287	0.846680	0.514404	0.309521	-0.530454	0.368735	-0.697746
24259		4.974755	-8.261403	1.637181	0.009205	-0.004348	-0.006793	-0.659912	0.844482	0.512695	0.309573	-0.530465	0.368650	-0.697760
24260		4.988682	-8.242419	1.619092	0.009363	-0.001170	-0.008275	-0.650146	0.847168	0.513428	0.309571	-0.530440	0.368563	-0.697826
24261		4.981601	-8.230468	1.624877	0.005579	-0.001947	-0.008815	-0.659668	0.854492	0.522705	0.309584	-0.530442	0.368495	-0.697854
24262		4.970055	-8.247712	1.644520	0.004007	-0.001831	-0.008835	-0.659424	0.847168	0.522949	0.309603	-0.530445	0.368434	-0.697876
24263		4.975661	-8.252215	1.620524	0.004619	-0.002418	-0.006854	-0.658691	0.850830	0.517822	0.309609	-0.530459	0.368379	-0.697892
24264		4.974889	-8.265714	1.606338	0.008599	-0.003760	-0.008780	-0.654297	0.846924	0.510010	0.309642	-0.530454	0.368289	-0.697928
24265		4.994658	-8.238142	1.622430	0.008697	-0.003776	-0.007299	-0.645020	0.849609	0.512207	0.309671	-0.530433	0.368210	-0.697972
24266		4.981700	-8.234822	1.593895	0.008310	-0.001624	-0.007800	-0.657227	0.850586	0.502686	0.309739	-0.530425	0.368137	-0.697987
24267		5.003225	-8.227426	1.614618	0.006195	-0.002535	-0.006837	-0.658447	0.841309	0.523193	0.309760	-0.530354	0.368076	-0.698064
24268		4.975094	-8.256935	1.634245	0.009565	-0.003289	-0.010748	-0.658447	0.843750	0.516113	0.309722	-0.530407	0.367984	-0.698089
24269		4.976486	-8.255910	1.635185	0.007673	-0.002634	-0.008303	-0.641846	0.841309	0.512939	0.309703	-0.530415	0.367913	-0.698129
24270		4.967516	-8.258286	1.626093	0.008607	-0.003760	-0.008786	-0.660156	0.847412	0.517578	0.309752	-0.530457	0.367841	-0.698113
24271		4.977067	-8.268409	1.622041	0.006227	-0.000939	-0.008324	-0.654541	0.845703	0.515869	0.309742	-0.530452	0.367781	-0.698153
24272		4.974470	-8.261746	1.603400	0.008220	-0.001609	-0.009289	-0.656494	0.850342	0.517090	0.309754	-0.530457	0.367709	-0.698182
24273		4.987814	-8.243210	1.628975	0.005685	-0.001965	-0.007342	-0.652588	0.851562	0.523438	0.309796	-0.530458	0.367657	-0.698190
24274		4.999006	-8.239209	1.639439	0.004209	-0.001865	-0.005878	-0.651123	0.846924	0.519043	0.309879	-0.530504	0.367626	-0.698134
24275		4.987941	-8.256111	1.615220	0.007039	-0.003645	-0.008809	-0.653076	0.844727	0.514160	0.309927	-0.530551	0.367563	-0.698111
24276		5.001426	-8.237441	1.640943	0.011246	-0.003419	-0.009257	-0.659180	0.845703	0.516357	0.309951	-0.530553	0.367473	-0.698146
24277		5.005316	-8.221610	1.612973	0.009674	-0.003305	-0.009276	-0.656250	0.842773	0.517822	0.309945	-0.530564	0.367383	-0.698187
24278		5.000149	-8.229717	1.623606	0.008837	-0.002194	-0.007312	-0.661133	0.849121	0.516846	0.309933	-0.530594	0.367316	-0.698205
24279		4.986744	-8.226794	1.638870	0.004983	-0.001366	-0.010815	-0.656494	0.849365	0.516113	0.309912	-0.530604	0.367245	-0.698244
24280		4.984129	-8.220212	1.619911	0.004757	-0.000840	-0.006865	-0.647705	0.847656	0.526611	0.309945	-0.530602	0.367201	-0.698255
24281		4.965999	-8.246664	1.649168	0.002668	-0.000156	-0.007384	-0.658936	0.847412	0.511475	0.310022	-0.530714	0.367194	-0.698138
24282		4.993948	-8.264640	1.649846	0.005177	-0.001395	-0.007849	-0.652588	0.849609	0.518311	0.310006	-0.530674	0.367137	-0.698206
24283		4.981160	-8.261311	1.621238	0.008259	-0.000014	-0.010785	-0.642822	0.842041	0.512939	0.310068	-0.530693	0.367067	-0.698201
24284		4.986249	-8.266087	1.641739	0.006334	-0.000954	-0.006851	-0.652100	0.852539	0.513916	0.310121	-0.530700	0.367051	-0.698181
24285		4.973309	-8.262864	1.613121	0.006267	0.000655	-0.009820	-0.651611	0.842773	0.508301	0.310212	-0.530663	0.366998	-0.698196
24286		4.984813	-8.258618	1.623729	0.004542	-0.002407	-0.008352	-0.652100	0.843018	0.512207	0.310178	-0.530621	0.366965	-0.698260
24287		4.969413	-8.270218	1.623790	0.003091	-0.000713	-0.008370	-0.654785	0.839355	0.521240	0.310151	-0.530619	0.366942	-0.698286
24288		4.987103	-8.257025	1.624796	0.007396	-0.000497	-0.007337	-0.653076	0.846924	0.509766	0.310101	-0.530714	0.366903	-0.698257
24289		4.990719	-8.241388	1.596767	0.010843	-0.002861	-0.008287	-0.654785	0.841064	0.519531	0.310161	-0.530655	0.366822	-0.698317
24290		4.970518	-8.213250	1.631896	0.005498	0.000158	-0.004888	-0.652588	0.844238	0.509766	0.310133	-0.530723	0.366807	-0.698286
24291		4.979691	-8.223625	1.627740	0.006216	-0.002535	-0.006854	-0.652832	0.845215	0.517334	0.310151	-0.530682	0.366765	-0.698331
24292		4.997431	-8.244859	1.618850	0.008335	-0.001623	-0.007823	-0.657959	0.839844	0.515625	0.310199	-0.530725	0.366713	-0.698304
24293		5.006341	-8.255334	1.658857	0.007697	-0.002635	-0.008323	-0.650391	0.849121	0.514648	0.310106	-0.530767	0.366656	-0.698343
24294		5.003436	-8.214411	1.650070	0.005282	-0.001410	-0.006373	-0.657959	0.841553	0.517334	0.310232	-0.530768	0.366626	-0.698303
24295		4.971333	-8.238490	1.649946	0.004549	-0.002409	-0.008357	-0.656250	0.851807	0.516846	0.310153	-0.530834	0.366584	-0.698310
24296		4.995538	-8.250695	1.631032	0.003612	-0.001284	-0.007875	-0.656738	0.845215	0.509766	0.310240	-0.530846	0.366540	-0.698285
24297		4.969711	-8.231314	1.631108	0.002554	-0.001741	-0.007390	-0.649170	0.846436	0.513672	0.310207	-0.530799	0.366506	-0.698354
24298		4.962568	-8.254055	1.626133	0.002038	-0.001172	-0.007892	-0.653809	0.846191	0.510986	0.310287	-0.530814	0.366494	-0.698312
24299		4.973817	-8.249953	1.636625	0.006466	0.000628	-0.006863	-0.649170	0.838623	0.522949	0.310320	-0.530759	0.366453	-0.698361
24300		4.983190	-8.260178	1.632646	0.006766	-0.001509	-0.007845	-0.654053	0.843994	0.511963	0.310329	-0.530925	0.366438	-0.698239
24301		4.961874	-8.246065	1.608653	0.005069	-0.002978	-0.007860	-0.651611	0.847656	0.510498	0.310327	-0.530915	0.366397	-0.698268
24302		4.981687	-8.252843	1.614289	0.007067	-0.003646	-0.008829	-0.651855	0.843750	0.514648	0.310418	-0.530879	0.366336	-0.698288
24303		4.974524	-8.240965	1.619888	0.007285	-0.002078	-0.007347	-0.657227	0.841553	0.508057	0.310460	-0.530906	0.366295	-0.698271
24304		5.004423	-8.244403	1.635604	0.005193	-0.001397	-0.007864	-0.654053	0.848145	0.513184	0.310355	-0.530836	0.366259	-0.698389
24305		4.978523	-8.225096	1.635593	0.000439	-0.002656	-0.006423	-0.652344	0.850830	0.507324	0.310420	-0.530843	0.366241	-0.698364
24306		4.998289	-8.266465	1.631096	0.008346	-0.001621	-0.007835	-0.652344	0.843506	0.518555	0.310559	-0.530740	0.366163	-0.698422
24307		4.991033	-8.254614	1.636824	0.005316	0.000184	-0.007869	-0.662109	0.851074	0.518799	0.310588	-0.530827	0.366137	-0.698356
24308		5.006749	-8.221256	1.633087	0.005223	0.000196	-0.009355	-0.654541	0.841553	0.516846	0.310609	-0.530867	0.366061	-0.698356
24309		4.989603	-8.247185	1.618752	0.005224	0.000196	-0.009356	-0.654297	0.848389	0.525391	0.310562	-0.530934	0.366030	-0.698342
24310		5.001006	-8.242926	1.629415	0.005319	0.000184	-0.007871	-0.654785	0.843750	0.514160	0.310680	-0.531092	0.365986	-0.698193
24311		4.997659	-8.236748	1.654467	0.004682	-0.000829	-0.008370	-0.654053	0.839355	0.508789	0.310662	-0.531110	0.365953	-0.698205
24312		5.003330	-8.241233	1.630845	0.007319	-0.000483	-0.008842	-0.653320	0.843506	0.519775	0.310560	-0.531057	0.365922	-0.698307
24313		4.984105	-8.247129	1.611904	0.007716	-0.002633	-0.008339	-0.655273	0.854980	0.517822	0.310606	-0.531166	0.365871	-0.698230
24314		4.983418	-8.260698	1.597864	0.005201	-0.001398	-0.007871	-0.651855	0.846191	0.520264	0.310792	-0.531194	0.365804	-0.698161
24315		4.990345	-8.251051	1.632958	0.007322	-0.000484	-0.008845	-0.654541	0.849854	0.518311	0.310891	-0.531292	0.365752	-0.698069
24316		4.972899	-8.242631	1.628567	0.004142	-0.001855	-0.007385	-0.654297	0.843018	0.515625	0.311006	-0.531354	0.365704	-0.697996
24317		4.969718	-8.270987	1.643397	0.003626	-0.001287	-0.007887	-0.646484	0.850830	0.517334	0.310988	-0.531400	0.365680	-0.697982
24318		4.991905	-8.263092	1.619810	0.006144	-0.002522	-0.008357	-0.650146	0.840088	0.519287	0.311196	-0.531445	0.365650	-0.697871
24319		4.999547	-8.253084	1.611013	0.009206	-0.002731	-0.009816	-0.657959	0.847900	0.514648	0.311219	-0.531563	0.365593	-0.697800
24320		4.981680	-8.244780	1.650783	0.006266	-0.000941	-0.008362	-0.654297	0.847412	0.515869	0.311241	-0.531563	0.365527	-0.697825
24321		4.989009	-8.235014	1.641689	0.004637	-0.004016	-0.005396	-0.656738	0.847168	0.510986	0.311319	-0.531598	0.365491	-0.697783
24322		4.978101	-8.252054	1.617620	0.009090	-0.004313	-0.009816	-0.660156	0.854492	0.514404	0.311321	-0.531558	0.365414	-0.697853
24323		5.010345	-8.206116	1.614338	0.009397	-0.002753	-0.006847	-0.659180	0.847656	0.508789	0.311453	-0.531530	0.365306	-0.697871
