// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
52889		8.184509	-2.437467	4.820193	-0.002851	0.002448	-0.013178	-0.664551	0.525879	-0.417969	0.663684	-0.418422	-0.279916	-0.553258
52890		8.188414	-2.416567	4.812949	-0.000930	0.000782	-0.016224	-0.669678	0.518555	-0.408936	0.663636	-0.418353	-0.279943	-0.553353
52891		8.193801	-2.399626	4.826105	-0.004769	0.004113	-0.010134	-0.671387	0.522217	-0.417725	0.663529	-0.418403	-0.279969	-0.553430
52892		8.190231	-2.388928	4.849487	-0.004880	0.001927	-0.010847	-0.662109	0.524414	-0.412109	0.663466	-0.418397	-0.279974	-0.553508
52893		8.203316	-2.420747	4.800348	-0.003131	0.000807	-0.005846	-0.672119	0.527832	-0.417480	0.663427	-0.418401	-0.279978	-0.553550
52894		8.208519	-2.404894	4.813262	-0.004776	0.001142	-0.005840	-0.670166	0.524902	-0.414307	0.663379	-0.418417	-0.279975	-0.553597
52895		8.173602	-2.401130	4.806125	-0.002396	0.000912	-0.001825	-0.671631	0.522217	-0.419434	0.663346	-0.418445	-0.279978	-0.553613
52896		8.194706	-2.425493	4.810747	-0.001635	0.003306	-0.004290	-0.663818	0.523438	-0.410645	0.663338	-0.418418	-0.279963	-0.553652
52897		8.180080	-2.388989	4.839922	-0.001778	0.002485	-0.000622	-0.666504	0.517090	-0.419678	0.663317	-0.418439	-0.279955	-0.553665
52898		8.189044	-2.412036	4.814152	-0.001272	0.001873	-0.000132	-0.659912	0.520508	-0.413818	0.663344	-0.418401	-0.279924	-0.553676
52899		8.190398	-2.415914	4.834819	-0.002806	0.004393	0.000586	-0.665283	0.521973	-0.419434	0.663362	-0.418385	-0.279876	-0.553692
52900		8.165632	-2.410395	4.838079	-0.001256	0.001190	-0.002322	-0.669434	0.519775	-0.423584	0.663375	-0.418350	-0.279857	-0.553711
52901		8.174327	-2.404738	4.827997	-0.004561	0.002541	-0.000120	-0.670898	0.525391	-0.418457	0.663397	-0.418315	-0.279808	-0.553736
52902		8.188296	-2.412771	4.815056	-0.005700	0.002263	0.000376	-0.664062	0.525146	-0.416016	0.663393	-0.418350	-0.279754	-0.553743
52903		8.183002	-2.428513	4.802354	-0.006583	0.004991	-0.002084	-0.668457	0.517822	-0.406006	0.663386	-0.418365	-0.279687	-0.553774
52904		8.175641	-2.437823	4.833242	-0.003017	0.002993	-0.005135	-0.661621	0.519043	-0.410889	0.663295	-0.418410	-0.279734	-0.553825
52905		8.189453	-2.416178	4.836288	-0.003766	0.003571	-0.006967	-0.660400	0.522949	-0.426758	0.663252	-0.418408	-0.279727	-0.553881
52906		8.177500	-2.413597	4.806220	0.000923	0.002533	-0.008324	-0.664062	0.524414	-0.417969	0.663301	-0.418298	-0.279692	-0.553923
52907		8.182552	-2.397639	4.819431	-0.005049	0.002471	-0.002803	-0.666992	0.522949	-0.413574	0.663301	-0.418309	-0.279640	-0.553940
52908		8.198447	-2.408511	4.826705	-0.003109	0.000125	-0.008039	-0.661621	0.516846	-0.420654	0.663243	-0.418336	-0.279659	-0.553980
52909		8.207398	-2.402136	4.816550	-0.002510	0.002380	-0.004645	-0.666260	0.515381	-0.415527	0.663245	-0.418271	-0.279656	-0.554029
