// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
52889		8.635466	3.962802	-2.772377	-0.046448	-0.026307	-0.019193	-0.443848	-0.681152	0.108398	0.536117	0.620769	-0.509091	0.260865
52890		8.701514	3.983940	-2.642630	-0.070246	-0.022828	-0.014645	-0.448975	-0.686035	0.115479	0.536417	0.620566	-0.509269	0.260383
52891		8.783528	3.896543	-2.543819	-0.103235	-0.022895	-0.017388	-0.452637	-0.681396	0.104492	0.536894	0.620226	-0.509504	0.259750
52892		8.826097	3.739519	-2.567433	-0.099972	-0.021027	-0.018732	-0.443604	-0.679688	0.113770	0.537369	0.619897	-0.509715	0.259140
52893		8.842434	3.588633	-2.549814	-0.042864	-0.013544	-0.026437	-0.448975	-0.678711	0.102539	0.537601	0.619830	-0.509730	0.258788
52894		8.831198	3.518563	-2.574156	0.017109	0.001562	-0.025979	-0.449219	-0.683105	0.109131	0.537589	0.619984	-0.509554	0.258790
52895		8.757997	3.640651	-2.597845	0.060486	0.017099	-0.022651	-0.451660	-0.685547	0.105469	0.537412	0.620267	-0.509240	0.259097
52896		8.686056	3.882568	-2.661116	0.082665	0.017658	-0.020401	-0.443359	-0.685059	0.112793	0.537120	0.620623	-0.508892	0.259533
52897		8.638805	4.086514	-2.654161	0.075133	0.020085	-0.023591	-0.445068	-0.686523	0.104004	0.536891	0.620945	-0.508532	0.259944
52898		8.525886	4.133891	-2.721963	0.057496	0.019051	-0.027565	-0.437012	-0.686523	0.110107	0.536771	0.621203	-0.508183	0.260256
52899		8.456339	4.142275	-2.725854	0.037832	0.013711	-0.029193	-0.444092	-0.684570	0.107910	0.536745	0.621395	-0.507882	0.260441
52900		8.477888	4.090442	-2.733052	0.007150	0.004704	-0.034210	-0.447998	-0.688232	0.100830	0.536863	0.621494	-0.507650	0.260415
52901		8.517345	4.035081	-2.667183	-0.016631	-0.000711	-0.034948	-0.447021	-0.681641	0.105957	0.537093	0.621503	-0.507481	0.260246
52902		8.570991	4.004639	-2.656110	-0.019938	-0.000680	-0.030043	-0.441650	-0.684814	0.109863	0.537339	0.621478	-0.507334	0.260085
52903		8.587685	3.946485	-2.643193	-0.016776	0.004030	-0.032614	-0.448486	-0.688965	0.119385	0.537603	0.621463	-0.507142	0.259952
52904		8.544669	3.943897	-2.656015	-0.013370	-0.002535	-0.031543	-0.441650	-0.686279	0.113037	0.537835	0.621453	-0.506975	0.259819
52905		8.621250	3.951489	-2.657922	-0.010118	-0.006361	-0.030316	-0.437256	-0.688477	0.097168	0.538027	0.621469	-0.506821	0.259682
52906		8.650342	3.947772	-2.607974	-0.006462	-0.012710	-0.032089	-0.445068	-0.682617	0.106445	0.538186	0.621523	-0.506676	0.259507
52907		8.712654	3.930484	-2.555930	-0.013871	-0.012755	-0.026303	-0.445068	-0.685059	0.107910	0.538383	0.621499	-0.506569	0.259367
52908		8.688760	3.923542	-2.578868	-0.004531	-0.009918	-0.016980	-0.438721	-0.690186	0.102783	0.538540	0.621449	-0.506477	0.259341
52909		8.703594	3.996652	-2.590742	-0.010284	-0.009977	-0.013646	-0.444336	-0.691650	0.108887	0.538724	0.621353	-0.506424	0.259291
52910		8.697391	3.965703	-2.618688	-0.020075	-0.004305	-0.013387	-0.433594	-0.694824	0.105957	0.539013	0.621161	-0.506366	0.259264
52911		8.681547	3.893285	-2.655690	-0.009339	-0.003126	-0.018445	-0.435547	-0.687744	0.106689	0.539234	0.621062	-0.506270	0.259228
52912		8.623175	3.878156	-2.678316	0.008185	-0.001291	-0.016527	-0.445801	-0.690918	0.109131	0.539345	0.621049	-0.506120	0.259321
52913		8.541045	3.974977	-2.633849	0.023924	0.000447	-0.010730	-0.438965	-0.681152	0.104492	0.539431	0.620998	-0.505967	0.259563
52914		8.515020	4.134706	-2.745493	0.009194	-0.009636	-0.010118	-0.441650	-0.680176	0.113037	0.539467	0.621013	-0.505857	0.259669
52915		8.479798	4.182346	-2.734808	-0.003901	-0.007093	-0.012789	-0.445312	-0.687988	0.107910	0.539587	0.620965	-0.505743	0.259755
52916		8.506145	4.135532	-2.680526	-0.020127	-0.010411	-0.018553	-0.438721	-0.681396	0.105957	0.539867	0.620810	-0.505676	0.259674
52917		8.549770	4.008827	-2.692170	-0.033477	-0.007233	-0.021842	-0.444580	-0.689697	0.104004	0.540160	0.620715	-0.505565	0.259506
52918		8.531630	3.943340	-2.680188	-0.047702	-0.014893	-0.024739	-0.442383	-0.686768	0.106934	0.540592	0.620475	-0.505549	0.259213
