// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
52889		5.113537	1.888216	8.112411	-0.014202	-0.004529	0.009168	-0.479492	-0.012939	-1.196533	0.865682	-0.024678	-0.291852	-0.405965
52890		5.116827	1.831983	8.101958	-0.011920	-0.002860	0.008217	-0.489990	-0.019531	-1.190186	0.865705	-0.024790	-0.291817	-0.405935
52891		5.128711	1.841748	8.145374	-0.009924	-0.002298	0.009268	-0.492188	-0.014160	-1.197510	0.865729	-0.024893	-0.291798	-0.405892
52892		5.141554	1.846340	8.115648	-0.007483	-0.004051	0.005694	-0.480469	-0.010498	-1.191162	0.865737	-0.024976	-0.291799	-0.405867
52893		5.124842	1.868448	8.113597	-0.007597	-0.002402	0.004322	-0.489990	-0.009521	-1.199463	0.865746	-0.025052	-0.291787	-0.405854
52894		5.136468	1.855695	8.094087	-0.004917	-0.001279	0.002740	-0.488770	-0.013916	-1.191406	0.865752	-0.025103	-0.291775	-0.405845
52895		5.134851	1.819106	8.114422	-0.001439	-0.001245	-0.000102	-0.491699	-0.015869	-1.197510	0.865750	-0.025122	-0.291775	-0.405848
52896		5.143597	1.861346	8.105447	0.000529	0.000702	-0.004212	-0.483643	-0.014893	-1.189209	0.865741	-0.025115	-0.291767	-0.405875
52897		5.109593	1.872708	8.101330	-0.001952	0.000948	-0.000844	-0.484619	-0.021240	-1.199707	0.865743	-0.025135	-0.291746	-0.405884
52898		5.105947	1.854325	8.132166	-0.002550	0.000124	-0.002000	-0.479736	-0.017334	-1.196289	0.865740	-0.025159	-0.291728	-0.405902
52899		5.090622	1.913456	8.109839	-0.005115	-0.002647	0.000954	-0.485840	-0.014404	-1.197998	0.865740	-0.025219	-0.291717	-0.405905
52900		5.083340	1.888726	8.108416	-0.001054	-0.004684	0.004221	-0.489746	-0.019531	-1.204102	0.865748	-0.025261	-0.291731	-0.405875
52901		5.115257	1.876505	8.132904	-0.005243	-0.003893	0.004536	-0.487793	-0.011963	-1.197021	0.865759	-0.025328	-0.291721	-0.405855
52902		5.109030	1.869450	8.121298	-0.004444	-0.004980	0.003276	-0.485352	-0.013672	-1.192627	0.865764	-0.025391	-0.291720	-0.405842
52903		5.091762	1.873996	8.129110	-0.004173	-0.006769	0.006227	-0.487793	-0.017578	-1.184082	0.865775	-0.025463	-0.291729	-0.405807
52904		5.104111	1.861460	8.109083	-0.002933	-0.006892	0.004543	-0.481934	-0.015137	-1.189453	0.865780	-0.025521	-0.291746	-0.405782
52905		5.123598	1.854788	8.100356	-0.005895	-0.009118	0.008127	-0.480225	-0.013428	-1.204834	0.865793	-0.025616	-0.291756	-0.405739
52906		5.115162	1.847037	8.109162	-0.006323	-0.003907	0.007800	-0.482422	-0.012695	-1.198975	0.865825	-0.025698	-0.291708	-0.405701
52907		5.123031	1.851988	8.120218	-0.001934	-0.006611	0.005068	-0.486328	-0.013428	-1.193115	0.865840	-0.025755	-0.291701	-0.405670
52908		5.115235	1.862923	8.118892	-0.004243	-0.003610	0.005062	-0.480957	-0.020996	-1.200195	0.865859	-0.025820	-0.291677	-0.405643
52909		5.125380	1.868165	8.109579	-0.004798	-0.002925	0.004114	-0.485107	-0.021484	-1.194092	0.865877	-0.025869	-0.291628	-0.405638
52910		5.125072	1.849439	8.119511	-0.001209	-0.004541	0.002642	-0.475830	-0.020508	-1.197998	0.865880	-0.025895	-0.291623	-0.405631
52911		5.108501	1.872723	8.117164	0.000188	-0.004805	0.002536	-0.477295	-0.016846	-1.195801	0.865889	-0.025906	-0.291601	-0.405628
52912		5.127420	1.867034	8.108550	0.001185	-0.004526	0.003061	-0.489990	-0.021240	-1.193359	0.865903	-0.025918	-0.291584	-0.405610
52913		5.094439	1.878128	8.103911	-0.000852	-0.006592	0.001804	-0.479736	-0.009521	-1.199219	0.865896	-0.025947	-0.291608	-0.405606
52914		5.077328	1.883245	8.111526	-0.000977	-0.007837	0.005386	-0.481689	-0.010986	-1.188965	0.865922	-0.026011	-0.291587	-0.405560
52915		5.103922	1.883173	8.113938	-0.001061	-0.010852	0.004971	-0.488037	-0.015381	-1.195068	0.865924	-0.026080	-0.291636	-0.405517
52916		5.104751	1.864316	8.123188	-0.002580	-0.011831	0.008659	-0.479492	-0.010742	-1.198975	0.865936	-0.026161	-0.291673	-0.405459
52917		5.090929	1.869130	8.109929	-0.001898	-0.011270	0.006026	-0.488770	-0.018066	-1.200439	0.865958	-0.026230	-0.291658	-0.405419
52918		5.136902	1.881239	8.093854	-0.003293	-0.011004	0.006132	-0.484863	-0.015137	-1.197998	0.865967	-0.026290	-0.291662	-0.405393
52919		5.129016	1.873821	8.102255	-0.004927	-0.010334	0.008449	-0.486572	-0.011963	-1.198730	0.865986	-0.026369	-0.291658	-0.405350
52920		5.122505	1.848456	8.100454	-0.005159	-0.007038	0.005706	-0.486816	-0.022217	-1.193604	0.866011	-0.026448	-0.291626	-0.405314
52921		5.121998	1.865145	8.110400	-0.003004	-0.006620	0.008333	-0.481934	-0.015137	-1.182861	0.866010	-0.026469	-0.291653	-0.405295
52922		5.129968	1.870032	8.121414	-0.005673	-0.004845	0.004965	-0.486816	-0.015137	-1.200928	0.865999	-0.026534	-0.291698	-0.405283
52923		5.123997	1.863100	8.109607	-0.000971	-0.007832	0.005385	-0.481689	-0.018311	-1.199463	0.866019	-0.026562	-0.291679	-0.405251
52924		5.117006	1.838526	8.107922	-0.000604	-0.003714	0.003798	-0.482910	-0.007324	-1.188232	0.866039	-0.026538	-0.291624	-0.405250
52925		5.122228	1.844175	8.139392	0.001545	-0.006574	0.002221	-0.484375	-0.013428	-1.193848	0.866048	-0.026601	-0.291655	-0.405204
52926		5.124793	1.826812	8.128293	0.006411	-0.006811	-0.000734	-0.481934	-0.013428	-1.199219	0.866044	-0.026573	-0.291681	-0.405195
52927		5.092075	1.892981	8.113533	0.005253	-0.006948	-0.002836	-0.488525	-0.009277	-1.195557	0.866050	-0.026535	-0.291652	-0.405206
52928		5.094771	1.929634	8.092547	0.002384	-0.006154	0.001167	-0.480469	-0.018555	-1.196289	0.866066	-0.026579	-0.291658	-0.405166
52929		5.105362	1.881603	8.092556	-0.004443	-0.011134	0.004032	-0.487305	-0.014404	-1.196533	0.866059	-0.026589	-0.291651	-0.405184
52930		5.129333	1.880560	8.115696	-0.007184	-0.005819	0.008658	-0.479736	-0.016846	-1.196777	0.866085	-0.026665	-0.291625	-0.405143
52931		5.088567	1.919752	8.100507	-0.010845	-0.001046	0.008971	-0.483398	-0.019531	-1.187256	0.866127	-0.026703	-0.291508	-0.405135
52932		5.114506	1.864001	8.113433	-0.010735	-0.008857	0.011092	-0.486816	-0.016602	-1.198486	0.866109	-0.026775	-0.291561	-0.405130
52933		5.096928	1.849080	8.131433	-0.011131	-0.008311	0.011723	-0.484863	-0.016602	-1.193604	0.866135	-0.026856	-0.291531	-0.405091
52934		5.117453	1.859192	8.112678	-0.009294	-0.007613	0.011192	-0.493164	-0.018066	-1.189209	0.866150	-0.026923	-0.291524	-0.405059
52935		5.129052	1.827595	8.102780	-0.006663	-0.008004	0.009398	-0.480957	-0.023438	-1.196289	0.866113	-0.026998	-0.291640	-0.405050
52936		5.100861	1.843345	8.130268	-0.002348	-0.004284	0.009697	-0.487793	-0.022217	-1.193359	0.866136	-0.026896	-0.291600	-0.405036
52937		5.095133	1.836224	8.118347	-0.004279	-0.011267	0.005609	-0.490234	-0.020020	-1.197998	0.866096	-0.026876	-0.291684	-0.405063
52938		5.122933	1.853842	8.110443	-0.000887	-0.010978	0.006547	-0.486328	-0.015625	-1.194092	0.866079	-0.026846	-0.291751	-0.405053
52939		5.108983	1.859210	8.097182	0.001742	-0.011370	0.004752	-0.482422	-0.022217	-1.191406	0.866074	-0.026845	-0.291805	-0.405024
52940		5.113244	1.882509	8.138756	0.000080	-0.006041	0.006116	-0.484375	-0.008057	-1.193848	0.866072	-0.026755	-0.291822	-0.405022
52941		5.115994	1.864026	8.127749	-0.001797	-0.008241	0.006441	-0.486572	-0.017578	-1.203369	0.866121	-0.026853	-0.291786	-0.404937
52942		5.119709	1.863340	8.106637	-0.003148	-0.006467	0.006757	-0.486328	-0.016357	-1.198975	0.866167	-0.026805	-0.291723	-0.404888
52943		5.122370	1.844761	8.095699	-0.000520	-0.006861	0.004961	-0.485840	-0.016113	-1.200439	0.866193	-0.026767	-0.291701	-0.404851
52944		5.113384	1.873830	8.104572	-0.002560	-0.008920	0.003707	-0.490479	-0.009766	-1.189209	0.866219	-0.026742	-0.291671	-0.404817
52945		5.112925	1.890779	8.114501	-0.004102	-0.005237	0.006443	-0.484619	-0.017578	-1.189941	0.866217	-0.026878	-0.291715	-0.404781
52946		5.110314	1.901621	8.072157	-0.007167	-0.005803	0.008664	-0.483154	-0.008789	-1.194824	0.866218	-0.026908	-0.291723	-0.404772
52947		5.105250	1.881336	8.123281	-0.009077	-0.003345	0.008034	-0.486572	-0.015137	-1.199463	0.866294	-0.027012	-0.291606	-0.404686
