Format Version,1.23,Take Name,static_pose_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-20 05.44.41.337 PM,Capture Start Frame,385474,Total Frames in Take,1546,Total Exported Frames,1546,Rotation Type,ZXY,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,LeftFootNew:LCAL,LeftFootNew:LCAL,LeftFootNew:LCAL,LeftFootNew:LDP1,LeftFootNew:LDP1,LeftFootNew:LDP1,LeftFootNew:LMT1,LeftFootNew:LMT1,LeftFootNew:LMT1,LeftFootNew:LMT2,LeftFootNew:LMT2,LeftFootNew:LMT2,LeftFootNew:LMT5,LeftFootNew:LMT5,LeftFootNew:LMT5,LeftShank:LFBH,LeftShank:LFBH,LeftShank:LFBH,LeftShank:LLML,LeftShank:LLML,LeftShank:LLML,LeftShank:LMML,LeftShank:LMML,LeftShank:LMML,LeftShank:LSH1,LeftShank:LSH1,LeftShank:LSH1,LeftShank:LSH2,LeftShank:LSH2,LeftShank:LSH2,LeftShank:LSH3,LeftShank:LSH3,LeftShank:LSH3,LeftShank:LSH4,LeftShank:LSH4,LeftShank:LSH4,LeftShank:LTTB,LeftShank:LTTB,LeftShank:LTTB,LeftThigh:LGTR,LeftThigh:LGTR,LeftThigh:LGTR,LeftThigh:LLEP,LeftThigh:LLEP,LeftThigh:LLEP,LeftThigh:LMEP,LeftThigh:LMEP,LeftThigh:LMEP,LeftThigh:LTH1,LeftThigh:LTH1,LeftThigh:LTH1,LeftThigh:LTH2,LeftThigh:LTH2,LeftThigh:LTH2,LeftThigh:LTH3,LeftThigh:LTH3,LeftThigh:LTH3,LeftThigh:LTH4,LeftThigh:LTH4,LeftThigh:LTH4,Pelvis:LASI,Pelvis:LASI,Pelvis:LASI,Pelvis:LPS1,Pelvis:LPS1,Pelvis:LPS1,Pelvis:LPS2,Pelvis:LPS2,Pelvis:LPS2,Pelvis:RASI,Pelvis:RASI,Pelvis:RASI,Pelvis:RPS1,Pelvis:RPS1,Pelvis:RPS1,Pelvis:RPS2,Pelvis:RPS2,Pelvis:RPS2,RightFootNew:RCAL,RightFootNew:RCAL,RightFootNew:RCAL,RightFootNew:RDP1,RightFootNew:RDP1,RightFootNew:RDP1,RightFootNew:RMT1,RightFootNew:RMT1,RightFootNew:RMT1,RightFootNew:RMT2,RightFootNew:RMT2,RightFootNew:RMT2,RightFootNew:RMT5,RightFootNew:RMT5,RightFootNew:RMT5,RightShank:RFBH,RightShank:RFBH,RightShank:RFBH,RightShank:RLML,RightShank:RLML,RightShank:RLML,RightShank:RMML,RightShank:RMML,RightShank:RMML,RightShank:RSH1,RightShank:RSH1,RightShank:RSH1,RightShank:RSH2,RightShank:RSH2,RightShank:RSH2,RightShank:RSH3,RightShank:RSH3,RightShank:RSH3,RightShank:RSH4,RightShank:RSH4,RightShank:RSH4,RightShank:RTTB,RightShank:RTTB,RightShank:RTTB,RightThigh:RGTR,RightThigh:RGTR,RightThigh:RGTR,RightThigh:RLEP,RightThigh:RLEP,RightThigh:RLEP,RightThigh:RMEP,RightThigh:RMEP,RightThigh:RMEP,RightThigh:RTH1,RightThigh:RTH1,RightThigh:RTH1,RightThigh:RTH2,RightThigh:RTH2,RightThigh:RTH2,RightThigh:RTH3,RightThigh:RTH3,RightThigh:RTH3,RightThigh:RTH4,RightThigh:RTH4,RightThigh:RTH4,Trunk:APEX,Trunk:APEX,Trunk:APEX
,ID,"4B216A51DC9411EE82562BF10474AFA2","4B216A51DC9411EE82562BF10474AFA2","4B216A51DC9411EE82562BF10474AFA2","4B216AE1DC9411EE82562BF10474AFA2","4B216AE1DC9411EE82562BF10474AFA2","4B216AE1DC9411EE82562BF10474AFA2","4B216B71DC9411EE82562BF10474AFA2","4B216B71DC9411EE82562BF10474AFA2","4B216B71DC9411EE82562BF10474AFA2","4B216C01DC9411EE82562BF10474AFA2","4B216C01DC9411EE82562BF10474AFA2","4B216C01DC9411EE82562BF10474AFA2","4B216C91DC9411EE82562BF10474AFA2","4B216C91DC9411EE82562BF10474AFA2","4B216C91DC9411EE82562BF10474AFA2","3A61FDB1DC9411EE82562BF10474AFA2","3A61FDB1DC9411EE82562BF10474AFA2","3A61FDB1DC9411EE82562BF10474AFA2","3A61FE53DC9411EE82562BF10474AFA2","3A61FE53DC9411EE82562BF10474AFA2","3A61FE53DC9411EE82562BF10474AFA2","41184FCCDC9411EE82562BF10474AFA2","41184FCCDC9411EE82562BF10474AFA2","41184FCCDC9411EE82562BF10474AFA2","4118506EDC9411EE82562BF10474AFA2","4118506EDC9411EE82562BF10474AFA2","4118506EDC9411EE82562BF10474AFA2","41185110DC9411EE82562BF10474AFA2","41185110DC9411EE82562BF10474AFA2","41185110DC9411EE82562BF10474AFA2","411851B2DC9411EE82562BF10474AFA2","411851B2DC9411EE82562BF10474AFA2","411851B2DC9411EE82562BF10474AFA2","41185254DC9411EE82562BF10474AFA2","41185254DC9411EE82562BF10474AFA2","41185254DC9411EE82562BF10474AFA2","411852F6DC9411EE82562BF10474AFA2","411852F6DC9411EE82562BF10474AFA2","411852F6DC9411EE82562BF10474AFA2","33D9CA17DC9411EE82562BF10474AFA2","33D9CA17DC9411EE82562BF10474AFA2","33D9CA17DC9411EE82562BF10474AFA2","33D9CAB2DC9411EE82562BF10474AFA2","33D9CAB2DC9411EE82562BF10474AFA2","33D9CAB2DC9411EE82562BF10474AFA2","33D9CB4DDC9411EE82562BF10474AFA2","33D9CB4DDC9411EE82562BF10474AFA2","33D9CB4DDC9411EE82562BF10474AFA2","33D9CBE8DC9411EE82562BF10474AFA2","33D9CBE8DC9411EE82562BF10474AFA2","33D9CBE8DC9411EE82562BF10474AFA2","33D9CC83DC9411EE82562BF10474AFA2","33D9CC83DC9411EE82562BF10474AFA2","33D9CC83DC9411EE82562BF10474AFA2","3A61FC7BDC9411EE82562BF10474AFA2","3A61FC7BDC9411EE82562BF10474AFA2","3A61FC7BDC9411EE82562BF10474AFA2","3A61FD16DC9411EE82562BF10474AFA2","3A61FD16DC9411EE82562BF10474AFA2","3A61FD16DC9411EE82562BF10474AFA2","292FBDC8DC9411EE82562BF10474AFA2","292FBDC8DC9411EE82562BF10474AFA2","292FBDC8DC9411EE82562BF10474AFA2","292FBE5DDC9411EE82562BF10474AFA2","292FBE5DDC9411EE82562BF10474AFA2","292FBE5DDC9411EE82562BF10474AFA2","292FBEF2DC9411EE82562BF10474AFA2","292FBEF2DC9411EE82562BF10474AFA2","292FBEF2DC9411EE82562BF10474AFA2","292FBF87DC9411EE82562BF10474AFA2","292FBF87DC9411EE82562BF10474AFA2","292FBF87DC9411EE82562BF10474AFA2","292FC01CDC9411EE82562BF10474AFA2","292FC01CDC9411EE82562BF10474AFA2","292FC01CDC9411EE82562BF10474AFA2","292FC0B1DC9411EE82562BF10474AFA2","292FC0B1DC9411EE82562BF10474AFA2","292FC0B1DC9411EE82562BF10474AFA2","18A4ED30DC9411EE82562BF10474AFA2","18A4ED30DC9411EE82562BF10474AFA2","18A4ED30DC9411EE82562BF10474AFA2","18A4EDC0DC9411EE82562BF10474AFA2","18A4EDC0DC9411EE82562BF10474AFA2","18A4EDC0DC9411EE82562BF10474AFA2","18A4EE50DC9411EE82562BF10474AFA2","18A4EE50DC9411EE82562BF10474AFA2","18A4EE50DC9411EE82562BF10474AFA2","18A4EEE0DC9411EE82562BF10474AFA2","18A4EEE0DC9411EE82562BF10474AFA2","18A4EEE0DC9411EE82562BF10474AFA2","1FC5A6ECDC9411EE82562BF10474AFA2","1FC5A6ECDC9411EE82562BF10474AFA2","1FC5A6ECDC9411EE82562BF10474AFA2","8ECFD72DC9411EE82562BF10474AFA2","8ECFD72DC9411EE82562BF10474AFA2","8ECFD72DC9411EE82562BF10474AFA2","8ECFE14DC9411EE82562BF10474AFA2","8ECFE14DC9411EE82562BF10474AFA2","8ECFE14DC9411EE82562BF10474AFA2","8ECFEB6DC9411EE82562BF10474AFA2","8ECFEB6DC9411EE82562BF10474AFA2","8ECFEB6DC9411EE82562BF10474AFA2","8ECFF58DC9411EE82562BF10474AFA2","8ECFF58DC9411EE82562BF10474AFA2","8ECFF58DC9411EE82562BF10474AFA2","F314C24DC9411EE82562BF10474AFA2","F314C24DC9411EE82562BF10474AFA2","F314C24DC9411EE82562BF10474AFA2","F314CC6DC9411EE82562BF10474AFA2","F314CC6DC9411EE82562BF10474AFA2","F314CC6DC9411EE82562BF10474AFA2","F314D68DC9411EE82562BF10474AFA2","F314D68DC9411EE82562BF10474AFA2","F314D68DC9411EE82562BF10474AFA2","F314E0ADC9411EE82562BF10474AFA2","F314E0ADC9411EE82562BF10474AFA2","F314E0ADC9411EE82562BF10474AFA2","F76CDF88DC9311EE82562BF10474AFA2","F76CDF88DC9311EE82562BF10474AFA2","F76CDF88DC9311EE82562BF10474AFA2","F76CE023DC9311EE82562BF10474AFA2","F76CE023DC9311EE82562BF10474AFA2","F76CE023DC9311EE82562BF10474AFA2","F76CE0BEDC9311EE82562BF10474AFA2","F76CE0BEDC9311EE82562BF10474AFA2","F76CE0BEDC9311EE82562BF10474AFA2","F76CE159DC9311EE82562BF10474AFA2","F76CE159DC9311EE82562BF10474AFA2","F76CE159DC9311EE82562BF10474AFA2","FE4CCE6DDC9311EE82562BF10474AFA2","FE4CCE6DDC9311EE82562BF10474AFA2","FE4CCE6DDC9311EE82562BF10474AFA2","FE4CCF08DC9311EE82562BF10474AFA2","FE4CCF08DC9311EE82562BF10474AFA2","FE4CCF08DC9311EE82562BF10474AFA2","FE4CCFA3DC9311EE82562BF10474AFA2","FE4CCFA3DC9311EE82562BF10474AFA2","FE4CCFA3DC9311EE82562BF10474AFA2","52BDC8EEDC9411EE82562BF10474AFA2","52BDC8EEDC9411EE82562BF10474AFA2","52BDC8EEDC9411EE82562BF10474AFA2"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-1.594622,0.034645,-4.384897,-1.283258,0.052604,-4.383266,-1.334704,0.051495,-4.373534,-1.328748,0.053050,-4.400958,-1.343995,0.039106,-4.444604,-1.445453,0.458549,-4.473514,-1.507780,0.097347,-4.438600,-1.496220,0.110597,-4.354274,-1.524496,0.358229,-4.523425,-1.533109,0.259552,-4.493321,-1.474336,0.254638,-4.488414,-1.466776,0.334449,-4.513103,-1.420885,0.447375,-4.435108,-1.505152,0.964543,-4.523516,-1.436185,0.527062,-4.470746,-1.463238,0.516341,-4.363064,-1.508799,0.799978,-4.523256,-1.503573,0.697428,-4.505878,-1.445611,0.697983,-4.517599,-1.449589,0.781805,-4.531427,-1.403801,1.041688,-4.479920,-1.583251,1.125508,-4.374718,-1.613168,1.045787,-4.379046,-1.396780,1.033494,-4.208160,-1.577896,1.140136,-4.313860,-1.613229,1.042477,-4.318630,-1.597999,0.035356,-4.285426,-1.287734,0.052405,-4.262564,-1.337421,0.048749,-4.276707,-1.330448,0.051502,-4.255816,-1.342758,0.041621,-4.216721,-1.453131,0.459535,-4.191730,-1.515657,0.100660,-4.229985,-1.494631,0.104945,-4.315948,-1.474730,0.360796,-4.146860,-1.472404,0.262358,-4.181622,-1.531852,0.260612,-4.184985,-1.533112,0.340126,-4.153114,-1.417917,0.446316,-4.239072,-1.501373,0.957941,-4.156051,-1.455775,0.521220,-4.186344,-1.443092,0.518283,-4.300149,-1.455149,0.818599,-4.136392,-1.445776,0.715558,-4.152681,-1.504243,0.712595,-4.165104,-1.512137,0.795469,-4.152202,-1.525108,1.871096,-4.335723
1,0.010000,-1.594621,0.034629,-4.384911,-1.283246,0.052612,-4.383293,-1.334695,0.051501,-4.373528,-1.328760,0.053062,-4.400962,-1.344001,0.039108,-4.444622,-1.445482,0.458550,-4.473515,-1.507797,0.097358,-4.438593,-1.496225,0.110607,-4.354276,-1.524507,0.358236,-4.523431,-1.533134,0.259552,-4.493334,-1.474347,0.254641,-4.488400,-1.466798,0.334451,-4.513093,-1.420910,0.447376,-4.435131,-1.505057,0.964556,-4.523457,-1.436205,0.527054,-4.470741,-1.463282,0.516329,-4.363060,-1.508774,0.800009,-4.523238,-1.503562,0.697451,-4.505853,-1.445425,0.698114,-4.517639,-1.449547,0.781793,-4.531394,-1.403724,1.041676,-4.479888,-1.583160,1.125524,-4.374682,-1.612917,1.045638,-4.378996,-1.396708,1.033479,-4.208124,-1.577798,1.140158,-4.313813,-1.613144,1.042498,-4.318575,-1.598011,0.035323,-4.285398,-1.287769,0.052339,-4.262509,-1.337417,0.048750,-4.276721,-1.330459,0.051523,-4.255782,-1.342753,0.041622,-4.216733,-1.453146,0.459537,-4.191696,-1.515643,0.100665,-4.229985,-1.494650,0.104954,-4.315969,-1.474733,0.360793,-4.146823,-1.472431,0.262357,-4.181589,-1.531847,0.260598,-4.184984,-1.533125,0.340121,-4.153091,-1.417947,0.446281,-4.239020,-1.501298,0.957955,-4.156004,-1.455793,0.521224,-4.186300,-1.443102,0.518275,-4.300110,-1.455087,0.818603,-4.136367,-1.445720,0.715550,-4.152652,-1.504218,0.712609,-4.165053,-1.512091,0.795468,-4.152150,-1.524982,1.871104,-4.335777
2,0.020000,-1.594613,0.034630,-4.384904,-1.283157,0.052734,-4.383360,-1.334704,0.051519,-4.373537,-1.328718,0.053074,-4.400959,-1.343987,0.039094,-4.444610,-1.445487,0.458584,-4.473504,-1.507799,0.097356,-4.438595,-1.496226,0.110613,-4.354285,-1.524513,0.358256,-4.523447,-1.533328,0.259575,-4.493295,-1.474354,0.254651,-4.488423,-1.466826,0.334459,-4.513082,-1.420933,0.447388,-4.435116,-1.504946,0.964569,-4.523396,-1.436229,0.527063,-4.470730,-1.463308,0.516340,-4.363036,-1.508724,0.800016,-4.523225,-1.503541,0.697465,-4.505855,-1.445563,0.698019,-4.517568,-1.449476,0.781811,-4.531368,-1.403627,1.041675,-4.479838,-1.583070,1.125538,-4.374649,-1.612983,1.045762,-4.379001,-1.396646,1.033458,-4.208089,-1.577654,1.140167,-4.313689,-1.613067,1.042529,-4.318566,-1.597992,0.035322,-4.285410,-1.287723,0.052386,-4.262559,-1.337432,0.048747,-4.276725,-1.330437,0.051504,-4.255795,-1.342760,0.041617,-4.216734,-1.453150,0.459537,-4.191669,-1.515626,0.100668,-4.229987,-1.494625,0.104943,-4.315943,-1.474732,0.360769,-4.146811,-1.472432,0.262366,-4.181585,-1.531854,0.260605,-4.184958,-1.533127,0.340111,-4.153079,-1.417952,0.446286,-4.239009,-1.501256,0.957964,-4.155948,-1.455789,0.521216,-4.186279,-1.443140,0.518276,-4.300070,-1.455106,0.818685,-4.136213,-1.445678,0.715518,-4.152608,-1.504174,0.712614,-4.165038,-1.512058,0.795475,-4.152096,-1.524659,1.871202,-4.335905
3,0.030000,-1.594615,0.034625,-4.384903,-1.283255,0.052633,-4.383318,-1.334690,0.051497,-4.373545,-1.328605,0.052978,-4.401011,-1.343883,0.039252,-4.444640,-1.445507,0.458582,-4.473488,-1.507811,0.097362,-4.438589,-1.496241,0.110620,-4.354272,-1.524517,0.358254,-4.523430,-1.533190,0.259590,-4.493357,-1.474340,0.254668,-4.488396,-1.466830,0.334471,-4.513052,-1.420945,0.447415,-4.435104,-1.504887,0.964582,-4.523365,-1.436233,0.527042,-4.470697,-1.463345,0.516369,-4.363006,-1.508677,0.800036,-4.523184,-1.503531,0.697485,-4.505827,-1.445393,0.698101,-4.517601,-1.449467,0.781803,-4.531346,-1.403554,1.041667,-4.479794,-1.582996,1.125557,-4.374620,-1.612915,1.045862,-4.378951,-1.396590,1.033455,-4.208030,-1.577612,1.140148,-4.313650,-1.613012,1.042522,-4.318534,-1.597935,0.035271,-4.285488,-1.287747,0.052336,-4.262562,-1.337424,0.048737,-4.276721,-1.330440,0.051507,-4.255812,-1.342751,0.041618,-4.216739,-1.453142,0.459541,-4.191655,-1.515640,0.100661,-4.230000,-1.494644,0.104948,-4.315937,-1.474738,0.360781,-4.146792,-1.472422,0.262349,-4.181579,-1.531856,0.260596,-4.184949,-1.533123,0.340094,-4.153066,-1.417953,0.446286,-4.238981,-1.501182,0.957935,-4.155924,-1.455786,0.521208,-4.186262,-1.443172,0.518284,-4.300046,-1.455068,0.818689,-4.136174,-1.445656,0.715474,-4.152575,-1.504165,0.712621,-4.164998,-1.511984,0.795468,-4.152048,-1.524476,1.871280,-4.335997
4,0.040000,-1.594626,0.034644,-4.384898,-1.283267,0.052594,-4.383265,-1.334696,0.051471,-4.373557,-1.328729,0.053026,-4.400959,-1.343876,0.039251,-4.444612,-1.445526,0.458579,-4.473452,-1.507790,0.097365,-4.438589,-1.496229,0.110614,-4.354267,-1.524539,0.358275,-4.523411,-1.533155,0.259566,-4.493330,-1.474362,0.254678,-4.488394,-1.466819,0.334478,-4.513056,-1.420964,0.447408,-4.435070,-1.504826,0.964587,-4.523334,-1.436248,0.527052,-4.470683,-1.463333,0.516343,-4.362978,-1.508655,0.800036,-4.523141,-1.503538,0.697498,-4.505787,-1.445526,0.698006,-4.517506,-1.449446,0.781781,-4.531318,-1.403467,1.041651,-4.479757,-1.582896,1.125564,-4.374570,-1.612679,1.045709,-4.378904,-1.396537,1.033457,-4.207991,-1.577568,1.140133,-4.313617,-1.612949,1.042555,-4.318498,-1.598013,0.035318,-4.285431,-1.287747,0.052320,-4.262560,-1.337433,0.048742,-4.276718,-1.330451,0.051504,-4.255795,-1.342760,0.041600,-4.216733,-1.453142,0.459539,-4.191633,-1.515650,0.100644,-4.229987,-1.494631,0.104959,-4.315937,-1.474725,0.360769,-4.146762,-1.472405,0.262327,-4.181579,-1.531828,0.260568,-4.184955,-1.533121,0.340086,-4.153038,-1.417951,0.446280,-4.238955,-1.501142,0.957931,-4.155879,-1.455786,0.521201,-4.186238,-1.443188,0.518279,-4.300004,-1.455045,0.818676,-4.136125,-1.445627,0.715450,-4.152536,-1.504179,0.712621,-4.164910,-1.511937,0.795460,-4.152013,-1.524344,1.871320,-4.336035
5,0.050000,-1.594623,0.034642,-4.384895,-1.283242,0.052600,-4.383253,-1.334674,0.051483,-4.373560,-1.328774,0.053066,-4.400943,-1.343983,0.039128,-4.444608,-1.445521,0.458597,-4.473453,-1.507784,0.097360,-4.438569,-1.496225,0.110608,-4.354267,-1.524553,0.358284,-4.523403,-1.533159,0.259561,-4.493308,-1.474357,0.254687,-4.488390,-1.466817,0.334487,-4.513067,-1.420946,0.447415,-4.435071,-1.504758,0.964613,-4.523304,-1.436250,0.527054,-4.470645,-1.463360,0.516347,-4.362960,-1.508620,0.800068,-4.523118,-1.503515,0.697518,-4.505771,-1.445521,0.697997,-4.517470,-1.449401,0.781817,-4.531278,-1.403407,1.041651,-4.479723,-1.582825,1.125589,-4.374546,-1.612549,1.045587,-4.378872,-1.396471,1.033448,-4.207948,-1.577507,1.140171,-4.313572,-1.612898,1.042563,-4.318466,-1.598020,0.035355,-4.285414,-1.287776,0.052308,-4.262515,-1.337431,0.048745,-4.276713,-1.330437,0.051502,-4.255801,-1.342756,0.041618,-4.216745,-1.453154,0.459545,-4.191607,-1.515662,0.100655,-4.229981,-1.494633,0.104956,-4.315943,-1.474717,0.360776,-4.146728,-1.472381,0.262334,-4.181552,-1.531825,0.260585,-4.184903,-1.533110,0.340089,-4.153008,-1.417933,0.446301,-4.238957,-1.501094,0.957933,-4.155833,-1.455778,0.521203,-4.186209,-1.443174,0.518285,-4.299980,-1.455011,0.818670,-4.136090,-1.445593,0.715436,-4.152495,-1.504153,0.712611,-4.164880,-1.511920,0.795478,-4.151967,-1.524241,1.871335,-4.336068
