// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07338		9.775132	-0.009983	2.220491	-0.015897	-0.001609	0.001350	-0.830811	0.577881	0.105713	0.405210	-0.533783	-0.322968	-0.668260
07339		9.773441	-0.029534	2.199836	0.000086	-0.002420	0.001251	-0.833008	0.577881	0.101318	0.405212	-0.533808	-0.322973	-0.668237
07340		9.760944	0.008055	2.193570	0.006328	-0.001952	0.001963	-0.834961	0.575928	0.096924	0.405307	-0.533768	-0.323015	-0.668191
07341		9.776226	-0.013824	2.250075	0.002924	0.000732	0.002168	-0.826416	0.575928	0.101318	0.405417	-0.533712	-0.323007	-0.668173
07342		9.769635	-0.014109	2.232094	0.000802	0.002866	0.001699	-0.830811	0.580078	0.098877	0.405488	-0.533664	-0.322979	-0.668181
07343		9.771032	-0.021198	2.200987	-0.000525	0.001387	0.000565	-0.830811	0.577881	0.101318	0.405567	-0.533610	-0.322949	-0.668191
07344		9.765718	-0.064066	2.213460	0.003775	0.002505	0.000741	-0.833008	0.575928	0.096924	0.405642	-0.533553	-0.322956	-0.668188
07345		9.770106	-0.016707	2.264386	0.012579	0.001873	0.000106	-0.833008	0.580078	0.101074	0.405795	-0.533442	-0.323035	-0.668145
07346		9.766799	-0.016644	2.255449	-0.000964	0.000355	0.002381	-0.826660	0.582275	0.096680	0.405852	-0.533439	-0.322993	-0.668134
07347		9.777151	-0.021296	2.221038	0.002426	0.002412	0.000527	-0.830811	0.577881	0.099121	0.405982	-0.533349	-0.322971	-0.668137
07348		9.765815	-0.014266	2.225404	0.009442	0.000654	0.001495	-0.833008	0.577881	0.101318	0.406098	-0.533269	-0.323027	-0.668104
07349		9.758681	0.002034	2.248800	0.007907	0.000368	0.002633	-0.828613	0.575928	0.101318	0.406190	-0.533229	-0.323065	-0.668061
07350		9.765708	-0.026637	2.246191	0.005960	-0.000660	0.003382	-0.833008	0.575928	0.101318	0.406259	-0.533200	-0.323095	-0.668027
07351		9.776178	-0.031545	2.211264	0.003765	-0.000848	0.003311	-0.824463	0.575928	0.099121	0.406308	-0.533191	-0.323105	-0.668001
07352		9.757061	-0.006356	2.207520	0.002072	-0.001038	0.003595	-0.826660	0.580078	0.094482	0.406376	-0.533176	-0.323100	-0.667973
07353		9.760715	-0.047338	2.216558	0.001553	0.002027	0.002874	-0.828857	0.582275	0.096680	0.406504	-0.533114	-0.323074	-0.667958
07354		9.773836	-0.023972	2.212116	0.008246	-0.001212	0.003420	-0.835205	0.584229	0.100830	0.406664	-0.533076	-0.323110	-0.667873
07355		9.758426	-0.026846	2.196881	0.007038	0.001661	0.003694	-0.831055	0.582275	0.101074	0.406804	-0.533060	-0.323115	-0.667798
07356		9.770416	-0.025133	2.203677	0.002445	0.004154	0.004537	-0.828613	0.578125	0.099121	0.406909	-0.533053	-0.323078	-0.667757
07357		9.771586	-0.044744	2.193894	0.001536	0.005092	0.002507	-0.824707	0.584473	0.101074	0.406970	-0.533013	-0.323060	-0.667760
07358		9.769764	-0.038555	2.226808	-0.000591	0.005548	0.003322	-0.826416	0.575928	0.105713	0.407073	-0.533021	-0.322997	-0.667723
07359		9.777480	-0.046355	2.214885	0.000001	0.004806	0.003644	-0.826416	0.575928	0.103516	0.407064	-0.533056	-0.322965	-0.667716
07360		9.782843	-0.056438	2.224146	0.006789	0.002500	0.002875	-0.828857	0.580078	0.103271	0.407103	-0.533055	-0.323004	-0.667674
07361		9.772358	-0.040339	2.238811	0.007636	0.002595	0.002733	-0.830811	0.580078	0.103271	0.407180	-0.533060	-0.323032	-0.667609
07362		9.768504	-0.012773	2.250982	-0.000581	0.000810	0.004974	-0.828857	0.582275	0.103271	0.407207	-0.533129	-0.322985	-0.667560
07363		9.760985	-0.035474	2.243308	0.001517	0.000064	0.006364	-0.828857	0.582275	0.105469	0.407277	-0.533200	-0.322940	-0.667483
07364		9.776514	-0.022448	2.237764	0.003390	-0.001231	0.006015	-0.826660	0.582275	0.103271	0.407330	-0.533289	-0.322916	-0.667390
07365		9.756057	-0.057072	2.213361	0.006081	-0.002719	0.007729	-0.833008	0.580078	0.101074	0.407432	-0.533359	-0.322913	-0.667274
07366		9.773002	-0.086585	2.237308	0.015174	-0.006966	0.006080	-0.826660	0.580078	0.098877	0.407539	-0.533379	-0.323045	-0.667129
07367		9.758491	-0.040459	2.230761	0.006095	-0.005779	0.008097	-0.826660	0.582275	0.101074	0.407650	-0.533423	-0.323069	-0.667014
07368		9.772864	-0.086529	2.203515	0.012199	-0.006600	0.007036	-0.826660	0.582275	0.101074	0.407788	-0.533469	-0.323141	-0.666858
07369		9.765279	-0.068468	2.194631	0.016252	-0.004642	0.006389	-0.826660	0.582275	0.103271	0.407954	-0.533479	-0.323240	-0.666700
07370		9.772965	-0.059731	2.221863	0.011793	-0.005662	0.005361	-0.824463	0.582275	0.103271	0.408052	-0.533547	-0.323312	-0.666552
07371		9.768011	-0.091263	2.212144	0.015818	-0.003990	0.006918	-0.822510	0.584473	0.103271	0.408203	-0.533588	-0.323392	-0.666387
07372		9.771619	-0.079837	2.199484	0.020159	-0.005644	0.005255	-0.826904	0.586426	0.096436	0.408391	-0.533628	-0.323508	-0.666183
07373		9.767734	-0.089473	2.178919	0.022009	-0.005546	0.005823	-0.833008	0.582275	0.096680	0.408669	-0.533572	-0.323653	-0.665988
07374		9.761497	-0.089212	2.159345	0.032164	-0.004404	0.004109	-0.828857	0.582275	0.101074	0.408922	-0.533428	-0.323932	-0.665812
07375		9.760198	-0.081270	2.190155	0.034866	-0.002532	0.003243	-0.824463	0.578125	0.101318	0.409158	-0.533326	-0.324211	-0.665612
07376		9.774848	-0.087661	2.194653	0.017466	-0.004140	0.003541	-0.830811	0.577881	0.101318	0.409237	-0.533333	-0.324359	-0.665486
07377		9.777354	-0.084958	2.172689	0.017460	0.000595	0.001875	-0.831055	0.586426	0.103027	0.409282	-0.533279	-0.324517	-0.665425
07378		9.770852	-0.084478	2.154299	0.020335	-0.000694	0.002238	-0.828857	0.584229	0.103271	0.409419	-0.533285	-0.324643	-0.665274
07379		9.756192	-0.088390	2.170212	0.021952	0.003583	-0.000601	-0.826660	0.582275	0.103271	0.409539	-0.533241	-0.324788	-0.665165
07380		9.780254	-0.094068	2.203872	0.025989	0.002207	0.001326	-0.830811	0.580078	0.103271	0.409680	-0.533198	-0.324964	-0.665026
07381		9.762291	-0.097822	2.210818	0.019502	0.002564	-0.000203	-0.824707	0.586426	0.098633	0.409712	-0.533162	-0.325127	-0.664956
07382		9.774450	-0.082730	2.196615	0.009534	0.001607	0.000162	-0.828857	0.582275	0.101074	0.409846	-0.533164	-0.325143	-0.664864
07383		9.749558	-0.070842	2.226160	0.001093	-0.000738	0.000681	-0.833252	0.584229	0.098633	0.409809	-0.533238	-0.325143	-0.664828
07384		9.774498	-0.082597	2.196408	-0.005717	-0.001873	-0.001263	-0.824463	0.582275	0.103271	0.409736	-0.533300	-0.325116	-0.664836
07385		9.784491	-0.125703	2.130449	-0.005930	-0.002338	0.002295	-0.831055	0.584229	0.094238	0.409658	-0.533476	-0.325025	-0.664788
07386		9.763015	-0.102305	2.148140	0.011817	0.001058	0.000201	-0.828857	0.586426	0.105225	0.409808	-0.533357	-0.325126	-0.664741
07387		9.754425	-0.077656	2.203210	0.019934	0.001921	-0.000733	-0.828857	0.584229	0.103271	0.409890	-0.533395	-0.325231	-0.664609
07388		9.755670	-0.095747	2.193041	0.001611	0.002602	-0.001550	-0.826904	0.586426	0.103027	0.409842	-0.533474	-0.325211	-0.664584
07389		9.762508	-0.112048	2.170841	-0.006676	0.004892	-0.001851	-0.826660	0.582275	0.103271	0.409789	-0.533589	-0.325081	-0.664588
07390		9.758592	-0.095040	2.203725	-0.007373	-0.000118	-0.004476	-0.826660	0.578125	0.096924	0.409640	-0.533719	-0.325026	-0.664603
07391		9.770843	-0.092050	2.209413	-0.009988	-0.002723	-0.003638	-0.826660	0.582275	0.098877	0.409519	-0.533748	-0.325016	-0.664659
07392		9.758793	-0.106113	2.223190	-0.009060	-0.005038	-0.002518	-0.828857	0.584473	0.098877	0.409430	-0.533852	-0.324968	-0.664654
07393		9.737717	-0.070939	2.218766	-0.019441	-0.006739	-0.002537	-0.822510	0.584473	0.098877	0.409282	-0.534021	-0.324833	-0.664675
07394		9.782168	-0.109043	2.190863	-0.021534	-0.010729	-0.002258	-0.822510	0.584473	0.103271	0.409156	-0.534252	-0.324664	-0.664650
07395		9.758581	-0.102735	2.155030	-0.010735	-0.013013	-0.000186	-0.824707	0.584473	0.098877	0.409052	-0.534525	-0.324571	-0.664540
07396		9.785896	-0.107735	2.163289	-0.004083	-0.011787	0.000903	-0.824707	0.584473	0.103271	0.409065	-0.534657	-0.324550	-0.664435
07397		9.771102	-0.110804	2.145136	-0.003422	-0.011878	0.002112	-0.824707	0.586426	0.103027	0.409030	-0.534866	-0.324517	-0.664305
07398		9.770156	-0.158282	2.101858	0.011787	-0.008773	0.000441	-0.822510	0.588623	0.103027	0.409127	-0.534963	-0.324592	-0.664131
07399		9.770778	-0.079323	2.130774	0.017531	-0.006621	-0.000505	-0.828857	0.584229	0.103271	0.409307	-0.535029	-0.324681	-0.663923
07400		9.771423	-0.118471	2.129423	0.017696	-0.005041	-0.000944	-0.822510	0.588623	0.103027	0.409383	-0.535029	-0.324847	-0.663794
07401		9.759340	-0.131380	2.143542	0.022325	-0.000759	-0.001657	-0.822510	0.584473	0.105469	0.409603	-0.535018	-0.324960	-0.663613
07402		9.770164	-0.096386	2.139891	0.023412	0.003235	-0.002650	-0.824707	0.586426	0.100830	0.409743	-0.534987	-0.325100	-0.663483
07403		9.767581	-0.108764	2.182991	0.020117	0.002115	-0.002104	-0.828857	0.584229	0.103271	0.409932	-0.534905	-0.325223	-0.663372
07404		9.761925	-0.097848	2.174978	0.015817	0.000989	-0.002268	-0.826904	0.588623	0.100830	0.409991	-0.534869	-0.325356	-0.663299
07405		9.761912	-0.096642	2.175090	0.010328	-0.000329	-0.001788	-0.824707	0.584473	0.101074	0.410113	-0.534866	-0.325401	-0.663204
07406		9.763365	-0.103190	2.143464	0.002124	-0.000455	-0.000816	-0.820312	0.586426	0.105225	0.410142	-0.534903	-0.325396	-0.663159
07407		9.763428	-0.102855	2.143192	0.003651	-0.001839	-0.000664	-0.824707	0.584473	0.105469	0.410173	-0.535046	-0.325361	-0.663041
07408		9.775290	-0.083712	2.189985	-0.013310	-0.004134	-0.000871	-0.824707	0.584473	0.105469	0.410022	-0.535263	-0.325243	-0.663018
