// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07338		9.755358	0.198006	-0.878447	-0.016418	-0.002563	0.001073	-0.830566	-0.132080	0.528564	-0.097380	-0.732401	0.091698	-0.667606
07339		9.763243	0.207569	-0.885447	-0.003902	-0.003368	-0.000957	-0.830322	-0.133057	0.533691	-0.097420	-0.732425	0.091726	-0.667570
07340		9.771954	0.221134	-0.902072	0.004408	-0.005854	-0.007047	-0.831299	-0.133057	0.531494	-0.097426	-0.732492	0.091632	-0.667508
07341		9.758770	0.249895	-0.895386	0.003610	-0.006397	-0.009882	-0.825439	-0.135010	0.524414	-0.097471	-0.732562	0.091518	-0.667441
07342		9.778553	0.253973	-0.883361	-0.004462	-0.002128	-0.006152	-0.826416	-0.138672	0.528809	-0.097611	-0.732577	0.091487	-0.667408
07343		9.762727	0.213700	-0.889670	-0.014666	-0.002733	-0.002078	-0.827637	-0.129395	0.529541	-0.097841	-0.732577	0.091568	-0.667363
07344		9.753986	0.179634	-0.892946	-0.012392	-0.000559	-0.006146	-0.825684	-0.133057	0.518066	-0.097965	-0.732581	0.091621	-0.667333
07345		9.739816	0.169726	-0.898739	0.004229	-0.000469	-0.012234	-0.825439	-0.127686	0.534180	-0.098060	-0.732602	0.091464	-0.667318
07346		9.778474	0.216741	-0.922028	0.018946	-0.005817	-0.018043	-0.829102	-0.130127	0.540771	-0.097947	-0.732719	0.091168	-0.667246
07347		9.756799	0.247098	-0.895004	0.010231	-0.004333	-0.010819	-0.828369	-0.123047	0.523193	-0.097867	-0.732814	0.091004	-0.667176
07348		9.778000	0.244351	-0.905779	-0.002634	-0.002512	-0.003343	-0.830566	-0.120605	0.536621	-0.097824	-0.732795	0.091027	-0.667200
07349		9.770506	0.225641	-0.914024	0.000193	-0.003930	0.000086	-0.822754	-0.131348	0.526611	-0.097668	-0.732875	0.091050	-0.667132
07350		9.747505	0.200623	-0.905235	0.005690	-0.004528	0.000614	-0.833496	-0.133301	0.530762	-0.097624	-0.732914	0.091002	-0.667102
07351		9.756029	0.236201	-0.903530	0.013026	-0.004959	-0.003948	-0.822266	-0.142334	0.529053	-0.097539	-0.732992	0.090856	-0.667048
07352		9.764167	0.259656	-0.906497	0.012600	-0.004616	-0.007272	-0.825195	-0.136963	0.532715	-0.097601	-0.733071	0.090652	-0.666981
07353		9.748528	0.254991	-0.890530	0.014627	-0.005674	-0.003880	-0.830566	-0.124023	0.539551	-0.097546	-0.733174	0.090475	-0.666900
07354		9.783445	0.250476	-0.900896	0.014627	-0.005673	-0.003881	-0.823975	-0.133789	0.523682	-0.097350	-0.733306	0.090323	-0.666803
07355		9.769903	0.264771	-0.898739	0.011018	-0.005237	-0.002890	-0.830322	-0.121094	0.534912	-0.097319	-0.733328	0.090180	-0.666803
07356		9.750326	0.253557	-0.926895	0.011937	-0.005156	-0.005436	-0.823242	-0.130371	0.529297	-0.097146	-0.733421	0.090026	-0.666747
07357		9.755842	0.267476	-0.902536	0.009674	-0.005882	-0.006467	-0.819092	-0.135986	0.534424	-0.097123	-0.733494	0.089858	-0.666692
07358		9.760820	0.232887	-0.905628	0.001201	-0.004424	-0.007192	-0.830322	-0.133789	0.534424	-0.097237	-0.733589	0.089734	-0.666588
