// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07338		9.789374	0.280273	0.634431	-0.005801	-0.001964	-0.016002	-0.904785	-0.203369	0.468262	-0.135510	-0.675301	0.107862	-0.716918
07339		9.799710	0.307231	0.668251	-0.007553	-0.000434	-0.014777	-0.903564	-0.206299	0.474365	-0.135706	-0.675312	0.107806	-0.716879
07340		9.802446	0.308479	0.677785	-0.017246	0.003553	-0.015487	-0.904541	-0.205566	0.470947	-0.136003	-0.675276	0.107820	-0.716854
07341		9.788365	0.224268	0.660826	-0.009392	-0.001788	-0.011164	-0.902100	-0.208984	0.461426	-0.136184	-0.675290	0.107811	-0.716808
07342		9.791211	0.224533	0.669537	0.010701	-0.000993	-0.009325	-0.901611	-0.208496	0.470459	-0.136259	-0.675312	0.107619	-0.716803
07343		9.793555	0.272428	0.637209	0.000771	-0.004401	-0.011698	-0.902100	-0.201416	0.474121	-0.136382	-0.675356	0.107519	-0.716753
07344		9.780231	0.297575	0.667420	-0.002667	-0.000640	-0.012128	-0.899170	-0.203857	0.456543	-0.136435	-0.675378	0.107467	-0.716729
07345		9.792284	0.302718	0.695408	-0.010537	-0.002411	-0.011990	-0.901123	-0.199707	0.476807	-0.136652	-0.675380	0.107465	-0.716686
07346		9.797448	0.191543	0.664942	0.000339	-0.001638	-0.011805	-0.904053	-0.200684	0.482910	-0.136649	-0.675423	0.107392	-0.716658
07347		9.798020	0.209727	0.625625	0.006916	-0.004530	-0.012159	-0.904541	-0.196289	0.463623	-0.136565	-0.675500	0.107277	-0.716618
07348		9.793317	0.232634	0.652781	-0.003262	0.002998	-0.016589	-0.904785	-0.194336	0.477051	-0.136638	-0.675419	0.107228	-0.716688
07349		9.790294	0.235248	0.674821	0.007306	0.000838	-0.017815	-0.897461	-0.199951	0.466797	-0.136554	-0.675467	0.107072	-0.716682
07350		9.802828	0.257215	0.665113	0.016491	0.004079	-0.016958	-0.908936	-0.206055	0.470947	-0.136511	-0.675429	0.106833	-0.716761
07351		9.797906	0.339736	0.644278	0.007754	0.000256	-0.017224	-0.897217	-0.214111	0.468750	-0.136551	-0.675434	0.106677	-0.716772
07352		9.797394	0.281614	0.638698	-0.000096	-0.006909	-0.016787	-0.899658	-0.208740	0.470947	-0.136777	-0.675482	0.106573	-0.716700
07353		9.795714	0.251381	0.661450	0.011950	-0.000906	-0.012459	-0.903809	-0.200195	0.477295	-0.136788	-0.675503	0.106401	-0.716704
07354		9.809435	0.291108	0.664999	0.014300	-0.006531	-0.013904	-0.898926	-0.206787	0.464844	-0.136657	-0.675613	0.106215	-0.716652
07355		9.798414	0.310859	0.649863	0.010262	-0.006015	-0.011984	-0.905273	-0.195068	0.477539	-0.136677	-0.675624	0.106091	-0.716656
07356		9.792652	0.314409	0.660794	-0.001351	-0.006757	-0.011338	-0.898193	-0.206299	0.467773	-0.136594	-0.675704	0.106058	-0.716602
07357		9.780289	0.248267	0.656350	0.007499	-0.010347	-0.008210	-0.894043	-0.206055	0.473633	-0.136599	-0.675765	0.105984	-0.716554
07358		9.797575	0.295603	0.658998	0.014418	-0.013487	-0.006369	-0.901123	-0.205566	0.471191	-0.136502	-0.675911	0.105856	-0.716454
07359		9.797647	0.301154	0.625771	0.005244	-0.006993	-0.006530	-0.901611	-0.196045	0.468506	-0.136479	-0.675944	0.105816	-0.716433
07360		9.813514	0.263247	0.640650	0.000453	-0.008842	-0.006610	-0.902344	-0.200195	0.464844	-0.136389	-0.675974	0.105823	-0.716421
07361		9.797593	0.238221	0.647502	-0.004677	-0.010198	-0.006553	-0.895508	-0.202881	0.469971	-0.136412	-0.675976	0.105900	-0.716403
07362		9.795002	0.191756	0.623632	-0.006490	-0.008351	-0.013623	-0.896240	-0.192871	0.475586	-0.136544	-0.676026	0.105909	-0.716329
07363		9.805318	0.222474	0.624950	0.002611	-0.008439	-0.015058	-0.897461	-0.201416	0.474365	-0.136424	-0.676142	0.105799	-0.716259
07364		9.803594	0.243775	0.659353	-0.000516	-0.007596	-0.018455	-0.903564	-0.193359	0.480469	-0.136482	-0.676225	0.105716	-0.716182
07365		9.807759	0.218094	0.638478	0.006098	-0.004387	-0.022014	-0.900146	-0.206787	0.471191	-0.136329	-0.676322	0.105507	-0.716150
07366		9.805744	0.248458	0.612479	0.005129	-0.004164	-0.022661	-0.906738	-0.207275	0.472900	-0.136470	-0.676341	0.105375	-0.716125
07367		9.814446	0.247560	0.638502	0.015309	-0.004553	-0.022728	-0.906250	-0.200928	0.472900	-0.136478	-0.676369	0.105156	-0.716129
07368		9.805201	0.310832	0.623046	0.012537	-0.001556	-0.021089	-0.895996	-0.196777	0.472168	-0.136403	-0.676367	0.104960	-0.716174
07369		9.792508	0.299002	0.633067	0.009067	-0.000228	-0.024353	-0.905029	-0.200684	0.472900	-0.136384	-0.676396	0.104736	-0.716184
07370		9.794121	0.225218	0.591818	-0.001635	-0.002153	-0.022491	-0.895508	-0.197998	0.477051	-0.136438	-0.676382	0.104643	-0.716200
07371		9.814895	0.168654	0.611335	0.021676	-0.003108	-0.025942	-0.904297	-0.206787	0.472900	-0.136282	-0.676513	0.104257	-0.716162
07372		9.787655	0.289930	0.615450	0.023383	-0.001432	-0.027986	-0.899902	-0.205566	0.471191	-0.136270	-0.676539	0.103923	-0.716188
07373		9.807638	0.293369	0.586417	0.010862	-0.001297	-0.030861	-0.899414	-0.203613	0.468262	-0.136414	-0.676551	0.103680	-0.716185
07374		9.805572	0.318189	0.622749	0.011668	0.002003	-0.029418	-0.899170	-0.201904	0.477295	-0.136533	-0.676508	0.103456	-0.716235
07375		9.795537	0.290922	0.680670	0.010798	-0.002231	-0.030322	-0.895020	-0.197021	0.473389	-0.136519	-0.676607	0.103141	-0.716190
