// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07338		9.759546	0.076618	1.091132	-0.015548	0.007766	-0.000446	-0.717041	0.092773	-0.571777	0.740556	-0.070057	-0.663014	-0.084146
07339		9.756636	0.028303	1.124226	0.002198	0.011715	0.002503	-0.716553	0.090820	-0.567627	0.740658	-0.070045	-0.662906	-0.084115
07340		9.765475	0.057044	1.132377	0.005826	0.009383	0.000274	-0.717285	0.091064	-0.571777	0.740738	-0.069982	-0.662828	-0.084072
07341		9.746074	0.078208	1.141530	-0.001866	0.011738	0.000620	-0.712891	0.088867	-0.580811	0.740836	-0.069993	-0.662716	-0.084092
07342		9.753304	0.027362	1.156101	0.001102	0.012338	0.000302	-0.709473	0.086670	-0.573730	0.740943	-0.069972	-0.662598	-0.084091
07343		9.751020	0.057512	1.142835	-0.003164	0.006434	-0.001999	-0.713379	0.097656	-0.571777	0.740999	-0.069982	-0.662528	-0.084138
07344		9.751770	0.043094	1.152761	0.001014	0.011184	-0.002922	-0.709961	0.092773	-0.587158	0.741102	-0.069942	-0.662415	-0.084162
07345		9.738189	0.091548	1.151067	0.010059	0.010042	-0.001103	-0.712891	0.097900	-0.566162	0.741210	-0.069837	-0.662314	-0.084090
07346		9.758297	0.103321	1.147713	-0.001513	0.009241	-0.003113	-0.715820	0.093994	-0.561279	0.741303	-0.069821	-0.662205	-0.084135
07347		9.757695	0.056270	1.157390	0.000203	0.013323	0.000617	-0.713379	0.100342	-0.579102	0.741440	-0.069811	-0.662053	-0.084139
07348		9.744085	0.063484	1.127171	0.005514	0.011650	0.000756	-0.715576	0.102295	-0.568604	0.741576	-0.069758	-0.661911	-0.084093
07349		9.753854	0.077340	1.143517	0.005861	0.012810	0.001637	-0.707764	0.095947	-0.577637	0.741719	-0.069711	-0.661764	-0.084034
07350		9.746444	0.082284	1.182266	0.005421	0.014157	0.002137	-0.718750	0.089600	-0.575928	0.741879	-0.069665	-0.661596	-0.083980
07351		9.753909	0.037889	1.161535	-0.000716	0.014428	0.002548	-0.706543	0.083496	-0.578125	0.742043	-0.069672	-0.661412	-0.083980
07352		9.742470	0.038712	1.143321	0.001197	0.009841	-0.001098	-0.711914	0.089844	-0.575439	0.742169	-0.069634	-0.661273	-0.083995
07353		9.764754	0.043738	1.151780	0.005441	0.006642	0.000321	-0.715088	0.098877	-0.567383	0.742270	-0.069586	-0.661170	-0.083946
07354		9.759900	0.049601	1.165687	0.008813	0.011703	0.000633	-0.706787	0.091064	-0.581299	0.742402	-0.069526	-0.661040	-0.083852
07355		9.752713	0.038059	1.171527	0.005058	0.011292	0.000565	-0.716553	0.103027	-0.568604	0.742555	-0.069484	-0.660879	-0.083802
07356		9.734531	0.027974	1.155552	0.005729	0.006525	-0.003640	-0.708252	0.090088	-0.575928	0.742639	-0.069445	-0.660796	-0.083751
07357		9.749762	0.039365	1.199060	0.002695	0.006479	-0.005865	-0.705322	0.090820	-0.572754	0.742730	-0.069380	-0.660698	-0.083771
07358		9.729714	0.060171	1.166696	0.000625	0.004898	-0.005871	-0.712891	0.090576	-0.573730	0.742802	-0.069337	-0.660617	-0.083802
