// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07338		4.987789	-1.230082	8.290745	0.003048	-0.003976	0.002034	-0.592041	0.468994	-0.353027	0.413660	-0.268196	-0.055135	-0.868284
07339		4.985359	-1.212770	8.299376	0.002544	-0.005674	0.001008	-0.591797	0.462158	-0.351807	0.413675	-0.268245	-0.055188	-0.868258
07340		4.977250	-1.218622	8.286007	0.001820	-0.005011	0.000574	-0.595703	0.464355	-0.354736	0.413680	-0.268289	-0.055237	-0.868239
07341		4.989250	-1.220785	8.293545	0.000758	-0.006165	0.002239	-0.591309	0.462402	-0.361816	0.413702	-0.268353	-0.055270	-0.868206
07342		4.981270	-1.227212	8.280013	-0.000536	-0.006161	0.001671	-0.589355	0.460938	-0.354736	0.413714	-0.268423	-0.055291	-0.868178
07343		4.991340	-1.216954	8.305250	0.001918	-0.005743	0.001021	-0.593018	0.467529	-0.354004	0.413727	-0.268475	-0.055339	-0.868152
07344		4.981751	-1.218681	8.283293	-0.000208	-0.003895	0.000316	-0.588135	0.466553	-0.368164	0.413727	-0.268515	-0.055357	-0.868139
07345		4.985459	-1.227292	8.299968	0.002543	-0.005674	0.001007	-0.587891	0.473389	-0.347412	0.413742	-0.268559	-0.055414	-0.868114
07346		4.972484	-1.211996	8.287181	0.000461	-0.003968	0.000897	-0.594727	0.470215	-0.342773	0.413751	-0.268593	-0.055438	-0.868098
07347		4.974635	-1.216265	8.295347	0.001710	-0.003830	0.000870	-0.592285	0.473633	-0.362061	0.413763	-0.268615	-0.055477	-0.868083
07348		4.954803	-1.211750	8.300294	0.002488	-0.005084	0.001155	-0.592529	0.477539	-0.347656	0.413782	-0.268637	-0.055531	-0.868064
07349		4.984639	-1.209119	8.285276	0.002478	-0.004636	0.001898	-0.584229	0.468750	-0.359619	0.413809	-0.268652	-0.055576	-0.868043
07350		4.999839	-1.227814	8.283819	0.003692	-0.004804	0.000531	-0.594482	0.463379	-0.351562	0.413827	-0.268652	-0.055645	-0.868031
07351		4.978280	-1.214440	8.293428	0.003539	-0.003482	0.000232	-0.585449	0.456787	-0.355957	0.413830	-0.268647	-0.055709	-0.868026
07352		4.982244	-1.227142	8.296950	-0.001260	-0.005498	0.001240	-0.587646	0.465576	-0.354004	0.413830	-0.268680	-0.055728	-0.868015
07353		4.989429	-1.208386	8.304996	-0.000065	-0.004769	0.001359	-0.594971	0.471680	-0.347412	0.413843	-0.268700	-0.055751	-0.868001
07354		4.982273	-1.215406	8.313385	-0.002475	-0.005329	0.002607	-0.586426	0.464600	-0.363281	0.413855	-0.268749	-0.055745	-0.867981
07355		4.991848	-1.213591	8.290370	-0.001206	-0.006088	0.001091	-0.593506	0.476807	-0.349121	0.413868	-0.268756	-0.055770	-0.867971
07356		4.973748	-1.214246	8.303626	-0.001786	-0.006299	0.001701	-0.586670	0.464355	-0.357422	0.413884	-0.268808	-0.055776	-0.867947
07357		4.986229	-1.221429	8.297716	-0.004285	-0.006574	0.001758	-0.582520	0.462891	-0.353516	0.413887	-0.268845	-0.055766	-0.867934
07358		4.965495	-1.213826	8.293598	-0.002937	-0.007169	0.002176	-0.592285	0.465332	-0.354492	0.413901	-0.268894	-0.055765	-0.867913
07359		4.977530	-1.212922	8.313974	-0.003607	-0.007096	0.001596	-0.590576	0.471680	-0.359131	0.413889	-0.268935	-0.055768	-0.867905
07360		4.969251	-1.216105	8.313523	-0.004394	-0.005393	0.002055	-0.592529	0.469727	-0.360107	0.413916	-0.268939	-0.055745	-0.867893
07361		4.967518	-1.204396	8.308531	-0.003419	-0.008113	0.003233	-0.584229	0.466797	-0.354736	0.413947	-0.268958	-0.055749	-0.867872
07362		4.981985	-1.220573	8.297759	-0.007347	-0.007957	0.000939	-0.585449	0.476807	-0.352051	0.413947	-0.269016	-0.055705	-0.867857
07363		4.986526	-1.234929	8.300676	-0.004821	-0.006928	0.002963	-0.587891	0.471924	-0.349854	0.414023	-0.269070	-0.055656	-0.867807
07364		4.980345	-1.206008	8.283040	-0.003662	-0.006506	0.001743	-0.594727	0.475342	-0.351562	0.414049	-0.269126	-0.055628	-0.867779
07365		4.986065	-1.224030	8.294798	-0.001788	-0.006299	0.001699	-0.589844	0.463135	-0.356934	0.414076	-0.269165	-0.055628	-0.867754
07366		4.976387	-1.222178	8.285840	-0.000584	-0.006020	0.001074	-0.594971	0.464600	-0.356689	0.414052	-0.269147	-0.055670	-0.867768
07367		4.977332	-1.218432	8.298257	-0.001923	-0.005873	-0.000087	-0.594727	0.467041	-0.351562	0.413993	-0.269141	-0.055707	-0.867796
07368		4.986557	-1.212301	8.288474	-0.000647	-0.004981	0.001966	-0.586914	0.473633	-0.356934	0.413965	-0.269162	-0.055730	-0.867801
07369		4.978173	-1.214561	8.288229	0.000674	-0.006331	0.000300	-0.594971	0.469482	-0.352783	0.414042	-0.269144	-0.055757	-0.867768
07370		4.992055	-1.225190	8.291023	0.000674	-0.006331	0.000300	-0.584473	0.473877	-0.352539	0.414017	-0.269168	-0.055807	-0.867770
07371		4.986623	-1.235895	8.307956	0.001969	-0.006335	0.000865	-0.595947	0.463623	-0.354248	0.414117	-0.269180	-0.055827	-0.867717
07372		4.981859	-1.213936	8.286106	0.002432	-0.004496	0.001296	-0.591064	0.470459	-0.357422	0.414048	-0.269162	-0.055909	-0.867750
07373		4.985530	-1.222213	8.302874	0.003636	-0.004216	0.000670	-0.589844	0.467773	-0.359863	0.414095	-0.269101	-0.055975	-0.867742
07374		4.972648	-1.210325	8.277130	0.005555	-0.004152	0.001220	-0.588135	0.468750	-0.350586	0.414149	-0.268998	-0.056075	-0.867742
