// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
62344		9.787056	-0.589256	3.849778	0.000292	0.000732	-0.000519	-0.916504	-0.122070	-0.180908	-0.318257	-0.506198	0.248489	-0.762056
62345		9.801235	-0.583250	3.816858	-0.002952	0.000575	0.001519	-0.912354	-0.119873	-0.181152	-0.318262	-0.506180	0.248525	-0.762054
62346		9.799978	-0.597004	3.834223	0.000727	0.001348	-0.000097	-0.918457	-0.124268	-0.178711	-0.318258	-0.506174	0.248517	-0.762062
62347		9.789131	-0.604265	3.816867	0.000772	0.000186	0.000698	-0.916748	-0.117920	-0.178955	-0.318241	-0.506177	0.248518	-0.762067
62348		9.783403	-0.597441	3.839381	-0.004255	0.003533	0.002176	-0.914307	-0.122070	-0.180908	-0.318218	-0.506141	0.248595	-0.762075
62349		9.788665	-0.591844	3.817559	-0.003483	0.001317	0.001910	-0.912109	-0.122070	-0.178711	-0.318230	-0.506108	0.248632	-0.762081
62350		9.787360	-0.605854	3.834993	0.003718	0.001045	0.002547	-0.916504	-0.122070	-0.191895	-0.318180	-0.506110	0.248613	-0.762106
62351		9.800012	-0.591446	3.881146	0.004490	0.001231	0.003245	-0.916748	-0.115723	-0.183350	-0.318182	-0.506064	0.248538	-0.762160
62352		9.782727	-0.599792	3.840738	0.005787	-0.000292	0.005954	-0.912354	-0.117676	-0.185547	-0.318064	-0.506080	0.248541	-0.762198
62353		9.793595	-0.607305	3.858166	0.003897	-0.003603	0.005724	-0.910156	-0.119873	-0.185303	-0.317981	-0.506098	0.248548	-0.762219
62354		9.798222	-0.601281	3.851892	0.006318	-0.003437	0.004597	-0.909912	-0.124023	-0.180908	-0.317912	-0.506126	0.248507	-0.762242
62355		9.783395	-0.602248	3.838650	0.006507	-0.004716	0.006333	-0.916748	-0.113525	-0.187988	-0.317832	-0.506198	0.248469	-0.762240
62356		9.792533	-0.617214	3.827017	0.008486	-0.006132	0.007187	-0.914551	-0.113525	-0.183594	-0.317672	-0.506224	0.248474	-0.762287
62357		9.788652	-0.583257	3.830371	0.010571	-0.005537	0.005784	-0.914551	-0.117676	-0.178955	-0.317500	-0.506290	0.248460	-0.762320
62358		9.793407	-0.605395	3.824201	-0.002634	-0.005152	0.008042	-0.912354	-0.117676	-0.181152	-0.317407	-0.506341	0.248563	-0.762292
62359		9.798191	-0.614501	3.817558	0.001909	-0.006521	0.008710	-0.912354	-0.115479	-0.183350	-0.317288	-0.506395	0.248625	-0.762285
62360		9.795561	-0.609265	3.804188	0.010034	-0.008165	0.007612	-0.914551	-0.115723	-0.178955	-0.317116	-0.506477	0.248619	-0.762304
62361		9.787400	-0.610185	3.813278	0.003994	-0.005926	0.007306	-0.918701	-0.119873	-0.178955	-0.316975	-0.506559	0.248670	-0.762292
62362		9.786762	-0.612523	3.828428	-0.010910	-0.007721	0.012040	-0.916504	-0.119873	-0.181152	-0.316902	-0.506605	0.248874	-0.762224
62363		9.787437	-0.629262	3.826454	0.006741	-0.010528	0.010291	-0.918701	-0.119873	-0.178955	-0.316741	-0.506725	0.248901	-0.762203
62364		9.804627	-0.617472	3.819064	0.005340	-0.011015	0.009838	-0.914307	-0.124268	-0.178711	-0.316580	-0.506864	0.248947	-0.762162
62365		9.794836	-0.640347	3.798803	0.004272	-0.014335	0.008696	-0.914551	-0.115723	-0.183350	-0.316466	-0.507033	0.248973	-0.762089
62366		9.788363	-0.641782	3.789565	0.013905	-0.012051	0.009150	-0.912354	-0.117676	-0.176758	-0.316250	-0.507144	0.248956	-0.762110
62367		9.785058	-0.607968	3.791584	0.007332	-0.010502	0.005879	-0.912354	-0.119873	-0.174561	-0.316103	-0.507282	0.248977	-0.762072
62368		9.791318	-0.643812	3.767644	0.003657	-0.010303	0.005097	-0.912109	-0.122070	-0.174316	-0.315998	-0.507433	0.249011	-0.762004
62369		9.796411	-0.623836	3.759948	0.008070	-0.005789	0.004339	-0.912598	-0.111328	-0.177002	-0.315903	-0.507569	0.248966	-0.761968
62370		9.797851	-0.624413	3.742169	0.002657	-0.002278	0.001397	-0.914551	-0.115723	-0.178955	-0.315809	-0.507595	0.249024	-0.761971
62371		9.802367	-0.618103	3.736192	-0.001260	-0.001568	0.002892	-0.916748	-0.115723	-0.178955	-0.315769	-0.507603	0.249086	-0.761962
62372		9.803274	-0.638148	3.782001	0.001795	0.002263	0.000077	-0.907959	-0.119873	-0.181152	-0.315744	-0.507607	0.249089	-0.761968
62373		9.795507	-0.638259	3.776320	-0.003916	0.001675	-0.000905	-0.912354	-0.115723	-0.176758	-0.315831	-0.507564	0.249089	-0.761961
