// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
62344		9.587805	1.578308	-1.280389	-0.000220	-0.004422	-0.008112	-0.669189	-0.564697	-0.212646	0.608529	0.397945	-0.638532	0.252208
62345		9.576123	1.588272	-1.283392	0.000938	-0.004193	-0.009642	-0.663086	-0.571289	-0.214600	0.608523	0.398039	-0.638514	0.252122
62346		9.580156	1.572163	-1.287983	0.004932	-0.003429	-0.012346	-0.666992	-0.571777	-0.211182	0.608510	0.398185	-0.638463	0.252051
62347		9.583895	1.588960	-1.305001	0.005381	-0.004125	-0.009674	-0.657227	-0.559082	-0.218750	0.608481	0.398315	-0.638429	0.252001
62348		9.585373	1.620627	-1.297057	-0.001739	-0.004693	-0.009322	-0.663574	-0.566650	-0.221436	0.608481	0.398389	-0.638424	0.251895
62349		9.579593	1.596818	-1.274874	-0.006358	-0.003306	-0.009153	-0.663574	-0.564941	-0.216797	0.608516	0.398424	-0.638423	0.251758
62350		9.571787	1.538174	-1.284800	-0.002119	-0.003232	-0.012781	-0.670166	-0.571289	-0.207520	0.608544	0.398519	-0.638388	0.251629
62351		9.589945	1.556016	-1.285418	0.008782	-0.004203	-0.013482	-0.668213	-0.569580	-0.209473	0.608511	0.398697	-0.638326	0.251586
62352		9.594869	1.552031	-1.297654	0.012404	-0.005783	-0.012976	-0.659668	-0.574463	-0.211670	0.608444	0.398897	-0.638268	0.251576
62353		9.587221	1.577044	-1.317221	0.010707	-0.004594	-0.014050	-0.653564	-0.565430	-0.218750	0.608397	0.399084	-0.638204	0.251557
62354		9.583237	1.577371	-1.310077	0.010567	-0.006133	-0.012478	-0.666504	-0.570557	-0.215820	0.608332	0.399259	-0.638162	0.251542
62355		9.567115	1.573581	-1.297630	0.010371	-0.003179	-0.013062	-0.661377	-0.569824	-0.209717	0.608287	0.399418	-0.638104	0.251545
62356		9.577675	1.562678	-1.320306	0.012315	-0.005064	-0.012911	-0.663086	-0.563721	-0.222168	0.608213	0.399601	-0.638054	0.251561
62357		9.566747	1.590695	-1.308016	0.015850	-0.005914	-0.012338	-0.666992	-0.570312	-0.204590	0.608120	0.399788	-0.638009	0.251603
62358		9.583854	1.602247	-1.279343	0.011225	-0.006012	-0.013673	-0.660400	-0.575684	-0.203857	0.608028	0.399967	-0.637978	0.251618
62359		9.576512	1.588451	-1.310010	0.006801	-0.007587	-0.012918	-0.655273	-0.571045	-0.213623	0.607950	0.400127	-0.637963	0.251592
62360		9.584727	1.598526	-1.285015	0.004129	-0.006606	-0.011090	-0.655029	-0.571289	-0.211426	0.607911	0.400238	-0.637950	0.251543
62361		9.581657	1.604903	-1.308100	0.004673	-0.005730	-0.014441	-0.660156	-0.566162	-0.216064	0.607887	0.400379	-0.637907	0.251483
62362		9.585592	1.589348	-1.313271	0.005285	-0.006382	-0.012623	-0.656738	-0.573486	-0.212646	0.607860	0.400478	-0.637889	0.251439
62363		9.601816	1.577212	-1.323497	0.006310	-0.004725	-0.009571	-0.661133	-0.574951	-0.217041	0.607821	0.400583	-0.637861	0.251434
62364		9.573624	1.562863	-1.329179	0.007418	-0.006763	-0.009597	-0.658447	-0.564941	-0.200928	0.607768	0.400672	-0.637858	0.251429
62365		9.582887	1.578077	-1.334380	0.012861	-0.005014	-0.008809	-0.667725	-0.565918	-0.213379	0.607639	0.400841	-0.637837	0.251527
62366		9.575378	1.613387	-1.307807	0.020750	-0.005052	-0.008211	-0.662842	-0.569336	-0.210938	0.607505	0.400969	-0.637825	0.251675
62367		9.562148	1.643831	-1.317184	0.018050	-0.005543	-0.010111	-0.660645	-0.568848	-0.212402	0.607386	0.401135	-0.637795	0.251776
62368		9.576104	1.640239	-1.325993	0.010527	-0.005463	-0.007969	-0.659668	-0.568115	-0.211426	0.607316	0.401230	-0.637786	0.251813
62369		9.582089	1.653066	-1.322198	0.008393	-0.005091	-0.010996	-0.652344	-0.574951	-0.211426	0.607270	0.401343	-0.637762	0.251807
62370		9.566044	1.648979	-1.309738	0.004040	-0.005900	-0.011022	-0.662598	-0.563965	-0.213623	0.607258	0.401491	-0.637712	0.251727
62371		9.570124	1.633123	-1.314355	0.001387	-0.002643	-0.012927	-0.658691	-0.574463	-0.216797	0.607289	0.401507	-0.637699	0.251660
