// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
62344		9.663930	-0.179872	-1.614151	0.008220	0.000602	-0.002317	-0.689209	0.370361	0.527100	0.230294	-0.718748	-0.259255	-0.602622
62345		9.659050	-0.171065	-1.615219	0.001616	-0.000727	-0.002817	-0.683838	0.369141	0.522217	0.230241	-0.718751	-0.259300	-0.602619
62346		9.667219	-0.189348	-1.622769	0.000991	-0.001778	-0.002654	-0.690186	0.364502	0.527100	0.230211	-0.718757	-0.259337	-0.602607
62347		9.670396	-0.222798	-1.636267	0.003561	-0.001053	-0.002103	-0.677979	0.379395	0.520508	0.230137	-0.718779	-0.259393	-0.602586
62348		9.660910	-0.197120	-1.660622	0.009816	0.001490	-0.002124	-0.684570	0.371094	0.514893	0.230306	-0.718698	-0.259471	-0.602583
62349		9.651058	-0.165493	-1.635020	0.013500	0.003308	-0.002696	-0.684082	0.371094	0.518555	0.230482	-0.718604	-0.259578	-0.602583
62350		9.667751	-0.155998	-1.639404	0.008368	-0.000008	-0.004533	-0.689941	0.367676	0.528809	0.230552	-0.718555	-0.259677	-0.602571
62351		9.669446	-0.129693	-1.625033	0.003562	0.001061	-0.003644	-0.686279	0.365967	0.526367	0.230490	-0.718552	-0.259738	-0.602573
62352		9.659423	-0.182701	-1.641553	0.001190	-0.000268	-0.001460	-0.681885	0.361572	0.528076	0.230415	-0.718562	-0.259770	-0.602575
62353		9.659105	-0.214451	-1.623862	0.007867	0.001814	-0.002839	-0.673828	0.374512	0.518066	0.230352	-0.718549	-0.259859	-0.602576
62354		9.662935	-0.169115	-1.644531	0.009678	0.000481	-0.002921	-0.686035	0.364014	0.520996	0.230485	-0.718490	-0.259941	-0.602561
62355		9.679415	-0.144579	-1.621939	0.014002	0.001732	-0.006668	-0.680176	0.371582	0.527588	0.230516	-0.718401	-0.260110	-0.602582
62356		9.672788	-0.146090	-1.609549	0.015104	0.002576	-0.005515	-0.685791	0.372070	0.514648	0.230596	-0.718355	-0.260251	-0.602546
62357		9.684458	-0.174601	-1.624478	0.010798	0.001820	-0.006321	-0.688232	0.370605	0.530762	0.230701	-0.718229	-0.260397	-0.602592
62358		9.664561	-0.172213	-1.611203	0.004539	-0.000971	-0.004021	-0.680176	0.365234	0.532959	0.230660	-0.718242	-0.260457	-0.602566
62359		9.664841	-0.163040	-1.633525	0.001812	0.000781	-0.001624	-0.676514	0.371826	0.522217	0.230557	-0.718278	-0.260462	-0.602561
62360		9.676247	-0.177219	-1.621729	0.002303	0.000823	-0.002583	-0.676758	0.367920	0.523926	0.230575	-0.718248	-0.260487	-0.602580
62361		9.666158	-0.191930	-1.606166	0.001331	0.000985	-0.002941	-0.681885	0.374756	0.519775	0.230539	-0.718226	-0.260507	-0.602611
62362		9.667891	-0.227736	-1.628519	0.003198	-0.000090	-0.000347	-0.682129	0.363281	0.523682	0.230626	-0.718182	-0.260523	-0.602623
62363		9.669286	-0.210964	-1.591777	0.005689	0.001998	0.000538	-0.683350	0.366943	0.516846	0.230625	-0.718140	-0.260537	-0.602668
62364		9.681290	-0.184967	-1.619840	0.006821	-0.000643	-0.002052	-0.680908	0.372314	0.532959	0.230692	-0.718061	-0.260598	-0.602709
62365		9.664938	-0.184930	-1.637507	0.003773	-0.001164	-0.003919	-0.689453	0.375244	0.521973	0.230662	-0.718103	-0.260601	-0.602669
62366		9.656346	-0.197114	-1.613008	0.003292	-0.000960	-0.005236	-0.683594	0.370117	0.527588	0.230721	-0.718045	-0.260655	-0.602693
62367		9.673002	-0.248583	-1.654845	0.003367	-0.002323	-0.005571	-0.680664	0.370850	0.523682	0.230687	-0.718049	-0.260691	-0.602686
62368		9.662655	-0.247808	-1.612633	0.011563	0.000143	-0.007158	-0.678955	0.372803	0.525146	0.230763	-0.717996	-0.260795	-0.602674
