// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48166		9.771576	-0.434273	3.122578	0.014752	0.004303	-0.006946	-1.007324	0.827637	-0.320068	0.573582	-0.433455	-0.400107	-0.568361
48167		9.763466	-0.457531	3.130688	0.006797	0.008172	-0.006380	-1.004883	0.819092	-0.312988	0.573615	-0.433317	-0.400131	-0.568417
48168		9.774970	-0.468707	3.154036	0.006724	0.010351	-0.005681	-1.004639	0.819092	-0.321777	0.573655	-0.433170	-0.400140	-0.568482
48169		9.762076	-0.483236	3.161638	0.012953	0.006498	-0.009775	-1.004883	0.821289	-0.319580	0.573689	-0.432982	-0.400237	-0.568522
48170		9.765532	-0.466085	3.160237	0.031279	0.006433	-0.011035	-1.004883	0.821289	-0.321777	0.573817	-0.432658	-0.400467	-0.568479
48171		9.778377	-0.435104	3.134623	0.017006	0.007635	-0.013041	-1.004639	0.819092	-0.326172	0.573861	-0.432417	-0.400593	-0.568527
48172		9.791891	-0.427285	3.113458	-0.011659	0.009564	-0.010395	-1.002686	0.819092	-0.319580	0.573780	-0.432383	-0.400487	-0.568710
48173		9.757936	-0.449598	3.155847	-0.001373	0.007451	-0.010221	-1.004883	0.821289	-0.321777	0.573743	-0.432295	-0.400471	-0.568826
48174		9.775853	-0.436179	3.162756	0.005314	0.007324	-0.011306	-1.004883	0.821045	-0.315430	0.573739	-0.432154	-0.400502	-0.568915
48175		9.780067	-0.441327	3.165612	0.008759	0.006705	-0.011766	-1.000244	0.814697	-0.314941	0.573749	-0.431992	-0.400562	-0.568986
48176		9.768390	-0.416199	3.124302	-0.005762	0.008759	-0.012385	-1.004639	0.816895	-0.317383	0.573689	-0.431915	-0.400502	-0.569147
48177		9.786157	-0.433509	3.157652	-0.011341	0.006517	-0.012489	-1.004883	0.819092	-0.319580	0.573587	-0.431897	-0.400420	-0.569321
48178		9.780299	-0.401183	3.153765	-0.008167	0.006483	-0.013539	-1.004883	0.819092	-0.315186	0.573500	-0.431852	-0.400361	-0.569484
48179		9.782170	-0.418409	3.169031	-0.017988	0.006894	-0.012962	-1.009033	0.819092	-0.317383	0.573361	-0.431881	-0.400231	-0.569694
48180		9.753586	-0.402574	3.131916	-0.002660	0.008203	-0.013855	-1.013184	0.814697	-0.319580	0.573309	-0.431782	-0.400201	-0.569843
48181		9.793099	-0.389056	3.135408	-0.013174	0.006037	-0.012894	-1.009033	0.816895	-0.315186	0.573189	-0.431770	-0.400117	-0.570032
48182		9.781228	-0.424814	3.146907	0.002398	0.009194	-0.014059	-1.000244	0.814697	-0.314941	0.573152	-0.431632	-0.400134	-0.570161
48183		9.772748	-0.371779	3.130372	0.004458	0.011530	-0.013916	-1.011230	0.816895	-0.319580	0.573141	-0.431467	-0.400144	-0.570289
48184		9.781670	-0.363047	3.140924	-0.024257	0.015841	-0.012154	-1.002441	0.816895	-0.319580	0.573009	-0.431478	-0.399916	-0.570574
48185		9.794676	-0.290458	3.127791	-0.046780	0.019343	-0.007805	-1.009033	0.816895	-0.317383	0.572811	-0.431643	-0.399477	-0.570955
48186		9.796594	-0.513494	3.136158	-0.026410	0.013582	-0.005183	-1.004639	0.816895	-0.321777	0.572682	-0.431714	-0.399242	-0.571195
48187		9.754174	-0.417037	3.168132	0.060520	0.022647	-0.013136	-1.010986	0.814697	-0.312988	0.573046	-0.431056	-0.399580	-0.571090
48188		9.754824	-0.347494	3.220047	0.033753	0.012313	-0.009782	-1.011230	0.821045	-0.317627	0.573177	-0.430733	-0.399807	-0.571044
48189		9.760893	-0.409643	3.205435	-0.004037	0.011729	-0.009264	-1.006836	0.816895	-0.319580	0.573137	-0.430682	-0.399733	-0.571175
48190		9.768571	-0.366110	3.238304	-0.010700	0.009412	-0.007330	-1.006836	0.819092	-0.317383	0.573082	-0.430675	-0.399614	-0.571319
48191		9.771496	-0.345900	3.204981	-0.023716	0.004164	-0.006423	-1.004639	0.814697	-0.319336	0.572935	-0.430820	-0.399421	-0.571491
48192		9.773190	-0.389628	3.213712	-0.036294	-0.000349	-0.005622	-1.013184	0.814697	-0.317383	0.572712	-0.431046	-0.399182	-0.571711
48193		9.782674	-0.377877	3.189207	-0.032266	0.001115	-0.003335	-1.009033	0.819092	-0.319580	0.572491	-0.431252	-0.398979	-0.571919
48194		9.768583	-0.354454	3.185971	-0.040415	0.000947	-0.003205	-1.006592	0.808350	-0.312744	0.572276	-0.431517	-0.398676	-0.572145
48195		9.782623	-0.353051	3.162718	-0.063568	0.002379	-0.001590	-1.006592	0.812500	-0.312744	0.571882	-0.431937	-0.398255	-0.572516
48196		9.774960	-0.360937	3.175515	-0.070861	0.012353	0.002185	-1.004639	0.812500	-0.314941	0.571543	-0.432369	-0.397668	-0.572937
48197		9.768205	-0.389465	3.192480	-0.035826	0.001799	0.000717	-1.008789	0.812500	-0.310547	0.571367	-0.432577	-0.397413	-0.573131
48198		9.775050	-0.352239	3.213897	-0.026244	0.002256	0.001548	-1.006592	0.812500	-0.312744	0.571184	-0.432759	-0.397241	-0.573296
48199		9.775789	-0.347740	3.192185	-0.066056	0.003985	0.006413	-1.011230	0.818848	-0.317383	0.570872	-0.433197	-0.396737	-0.573624
48200		9.777428	-0.368799	3.265185	-0.083384	0.004958	0.011625	-1.006836	0.812500	-0.308350	0.570562	-0.433729	-0.396068	-0.573993
48201		9.761067	-0.399811	3.240821	-0.056716	-0.007908	0.008504	-1.010986	0.814697	-0.312988	0.570218	-0.434203	-0.395716	-0.574219
48202		9.777748	-0.375318	3.230041	-0.040652	-0.009704	0.006506	-1.004639	0.814697	-0.312988	0.569993	-0.434475	-0.395524	-0.574369
48203		9.771577	-0.354645	3.212458	-0.086021	-0.011509	0.013054	-1.013184	0.810303	-0.306152	0.569629	-0.435100	-0.394952	-0.574650
48204		9.783832	-0.406873	3.166065	-0.065607	-0.004094	0.012268	-1.006836	0.812500	-0.308350	0.569212	-0.435557	-0.394555	-0.574991
48205		9.776674	-0.342629	3.152073	-0.065111	-0.002284	0.016608	-1.006836	0.816895	-0.306396	0.568971	-0.435972	-0.394093	-0.575231
48206		9.791807	-0.373722	3.072796	-0.065261	-0.000604	0.013378	-1.004395	0.810547	-0.308350	0.568719	-0.436397	-0.393614	-0.575487
48207		9.795035	-0.355491	3.096761	-0.062135	-0.000624	0.015890	-1.002441	0.814697	-0.302002	0.568524	-0.436709	-0.393207	-0.575721
48208		9.771781	-0.395765	3.115565	-0.028761	-0.001030	0.014850	-1.008789	0.810303	-0.306152	0.568438	-0.436922	-0.392989	-0.575792
48209		9.765888	-0.361941	3.079122	0.006518	-0.000978	0.010651	-1.004639	0.814697	-0.302002	0.568488	-0.436718	-0.393155	-0.575784
48210		9.764654	-0.441184	3.092849	0.011463	-0.004040	0.009955	-1.006836	0.814697	-0.304199	0.568538	-0.436637	-0.393301	-0.575696
48211		9.774989	-0.368087	3.107337	0.017397	-0.002410	0.007097	-1.008789	0.812500	-0.304199	0.568626	-0.436440	-0.393526	-0.575605
48212		9.774873	-0.399556	3.132698	0.005095	-0.001493	0.004161	-1.006836	0.812500	-0.302002	0.568570	-0.436306	-0.393696	-0.575646
48213		9.774020	-0.378943	3.128891	0.000811	0.001180	0.004896	-1.004639	0.812500	-0.299805	0.568484	-0.436251	-0.393776	-0.575718
48214		9.787044	-0.384226	3.127890	-0.004969	0.000356	0.003085	-1.004639	0.814697	-0.304199	0.568326	-0.436295	-0.393796	-0.575827
48215		9.772904	-0.390941	3.150759	-0.009870	-0.001718	0.003452	-1.004639	0.814697	-0.299805	0.568287	-0.436277	-0.393834	-0.575853
48216		9.778494	-0.422101	3.154877	-0.000685	-0.002317	0.002349	-1.004639	0.814697	-0.302002	0.568164	-0.436315	-0.393893	-0.575905
48217		9.790189	-0.383641	3.145452	0.001348	-0.003223	0.000912	-1.004639	0.812500	-0.302002	0.568111	-0.436270	-0.394010	-0.575912
48218		9.775869	-0.417899	3.102760	0.005748	-0.005102	-0.000947	-1.004639	0.812500	-0.304199	0.568046	-0.436181	-0.394200	-0.575914
48219		9.775830	-0.372727	3.104137	0.002884	0.000282	-0.000091	-1.004395	0.810547	-0.306152	0.568069	-0.436017	-0.394352	-0.575910
48220		9.799293	-0.354076	3.057628	-0.007960	0.004688	0.003070	-1.006836	0.814697	-0.297607	0.568121	-0.435850	-0.394415	-0.575943
48221		9.776869	-0.386389	3.088354	-0.005068	0.010377	0.001752	-1.006592	0.810303	-0.301758	0.567917	-0.435927	-0.394312	-0.576156
48222		9.785758	-0.381318	3.098795	-0.006342	0.014386	0.003271	-1.006592	0.810303	-0.303955	0.567847	-0.435822	-0.394267	-0.576335
48223		9.789124	-0.391464	3.103498	-0.010567	0.017590	0.004445	-1.010986	0.810303	-0.303955	0.567848	-0.435669	-0.394193	-0.576501
48224		9.780748	-0.365200	3.093963	-0.014018	0.021198	0.004540	-1.004639	0.812500	-0.304199	0.567751	-0.435541	-0.394074	-0.576774
48225		9.791091	-0.425445	3.118567	-0.004031	0.026928	0.005128	-1.010986	0.812500	-0.302002	0.567882	-0.435310	-0.393942	-0.576910
