// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48166		9.038806	0.709281	3.571751	0.020225	0.019459	-0.016748	-0.755127	0.252686	-0.156982	0.431174	-0.455886	-0.330161	-0.705160
48167		9.074593	0.706846	3.611027	0.013208	0.013079	-0.020178	-0.754639	0.246094	-0.152832	0.431126	-0.455617	-0.330322	-0.705288
48168		9.080754	0.740445	3.569031	0.011464	0.004779	-0.017853	-0.762451	0.251709	-0.143555	0.431046	-0.455440	-0.330504	-0.705365
48169		9.075019	0.768107	3.534180	0.008681	-0.007941	-0.019135	-0.753662	0.247803	-0.153564	0.430894	-0.455385	-0.330733	-0.705387
48170		9.073748	0.752088	3.525809	0.005541	-0.018791	-0.020174	-0.760010	0.251465	-0.155273	0.430666	-0.455438	-0.331003	-0.705365
48171		9.078770	0.772240	3.493689	0.007491	-0.028455	-0.017797	-0.758789	0.253662	-0.153076	0.430427	-0.455579	-0.331334	-0.705265
48172		9.086494	0.753752	3.521620	0.000398	-0.027041	-0.014891	-0.751221	0.253906	-0.154053	0.430174	-0.455762	-0.331586	-0.705182
48173		9.072231	0.791725	3.507176	-0.015070	-0.012241	-0.011232	-0.752441	0.255371	-0.151611	0.429923	-0.455916	-0.331607	-0.705226
48174		9.093892	0.736525	3.539690	-0.026929	-0.012786	-0.010483	-0.751465	0.247803	-0.154297	0.429601	-0.456144	-0.331533	-0.705309
48175		9.140319	0.778762	3.362984	-0.037915	-0.017396	-0.006640	-0.754883	0.249756	-0.155273	0.429232	-0.456490	-0.331365	-0.705389
48176		9.071026	0.785651	3.535488	-0.030194	-0.041989	-0.010462	-0.757324	0.250732	-0.150391	0.428754	-0.457022	-0.331445	-0.705298
48177		9.094185	0.734707	3.490696	-0.016538	-0.049713	-0.016818	-0.752930	0.251953	-0.144531	0.428260	-0.457520	-0.331728	-0.705142
48178		9.130823	0.657822	3.427699	0.014490	-0.036386	-0.014729	-0.749268	0.260010	-0.146240	0.428021	-0.457748	-0.332195	-0.704920
48179		9.119409	0.753010	3.421675	0.021607	-0.049237	-0.009927	-0.761963	0.244873	-0.149658	0.427823	-0.458096	-0.332746	-0.704553
48180		9.057702	0.766188	3.458054	0.028574	-0.042452	-0.015057	-0.752686	0.248779	-0.140381	0.427624	-0.458341	-0.333396	-0.704207
48181		9.066125	0.751207	3.473308	0.023510	-0.037382	-0.010939	-0.751709	0.251953	-0.147705	0.427471	-0.458576	-0.333926	-0.703897
48182		9.122765	0.796627	3.440507	0.022864	-0.037393	-0.007270	-0.757568	0.248047	-0.150146	0.427354	-0.458814	-0.334418	-0.703579
48183		9.147059	0.798553	3.430690	0.019457	-0.026903	-0.007633	-0.757568	0.239014	-0.145508	0.427241	-0.458978	-0.334852	-0.703334
48184		9.117279	0.787234	3.475179	0.002272	-0.014966	-0.004123	-0.756836	0.249756	-0.147217	0.427106	-0.459134	-0.335078	-0.703206
48185		9.092929	0.801617	3.427262	-0.005347	-0.009737	-0.004782	-0.755859	0.248047	-0.139893	0.426950	-0.459285	-0.335171	-0.703158
48186		9.107069	0.805385	3.372523	0.009651	-0.023241	-0.007407	-0.752441	0.251221	-0.144531	0.426797	-0.459469	-0.335481	-0.702983
48187		9.106064	0.763622	3.417230	-0.004188	-0.021328	-0.006174	-0.754395	0.256104	-0.138916	0.426600	-0.459699	-0.335642	-0.702875
48188		9.096577	0.785334	3.405829	0.004979	-0.043277	-0.006615	-0.753662	0.249756	-0.144287	0.426350	-0.460110	-0.335976	-0.702599
48189		9.120618	0.823612	3.443753	-0.003293	-0.043719	-0.012826	-0.762695	0.262695	-0.138672	0.426010	-0.460495	-0.336302	-0.702397
48190		9.115553	0.830833	3.436604	-0.019034	-0.037645	-0.016383	-0.754883	0.252930	-0.139648	0.425531	-0.460977	-0.336428	-0.702311
48191		9.123263	0.810825	3.402271	-0.032739	-0.040545	-0.013410	-0.756348	0.253174	-0.130859	0.425027	-0.461488	-0.336460	-0.702265
48192		9.122542	0.826634	3.387740	-0.035900	-0.041435	-0.015973	-0.758057	0.250244	-0.137451	0.424453	-0.462054	-0.336482	-0.702229
48193		9.124689	0.829997	3.370125	-0.033832	-0.036639	-0.018289	-0.759277	0.242920	-0.135986	0.423902	-0.462506	-0.336530	-0.702241
48194		9.151573	0.790981	3.370792	-0.037288	-0.032287	-0.020231	-0.753662	0.250732	-0.132812	0.423318	-0.462902	-0.336584	-0.702307
48195		9.141714	0.781027	3.342712	-0.031637	-0.025608	-0.018091	-0.767090	0.247803	-0.135498	0.422850	-0.463251	-0.336566	-0.702367
48196		9.173935	0.774426	3.343375	-0.022134	-0.018497	-0.020276	-0.760254	0.245117	-0.127441	0.422380	-0.463488	-0.336653	-0.702452
48197		9.155476	0.768215	3.329487	-0.013741	-0.011901	-0.017464	-0.760986	0.252441	-0.133301	0.422021	-0.463658	-0.336757	-0.702506
48198		9.146002	0.757847	3.365242	-0.004987	-0.009365	-0.012887	-0.760986	0.238281	-0.134277	0.421803	-0.463776	-0.336836	-0.702521
48199		9.144213	0.770917	3.376312	0.001861	-0.008158	-0.010576	-0.757080	0.249756	-0.135986	0.421640	-0.463771	-0.337058	-0.702516
48200		9.162690	0.790758	3.407330	0.007729	-0.010125	-0.009456	-0.761719	0.246582	-0.131104	0.421577	-0.463793	-0.337221	-0.702461
48201		9.184881	0.788577	3.361111	0.009530	-0.011104	-0.006093	-0.759521	0.253418	-0.129883	0.421487	-0.463863	-0.337417	-0.702374
48202		9.150620	0.785526	3.319145	0.010032	-0.016128	-0.004897	-0.760010	0.245605	-0.136475	0.421421	-0.464025	-0.337568	-0.702235
48203		9.157280	0.795138	3.316201	0.010041	-0.022173	-0.000614	-0.762695	0.250488	-0.136230	0.421387	-0.464146	-0.337791	-0.702067
48204		9.164255	0.804351	3.312468	0.011662	-0.022786	-0.000810	-0.753174	0.254150	-0.128906	0.421360	-0.464300	-0.337993	-0.701884
48205		9.175050	0.798112	3.315041	0.007583	-0.017953	-0.000837	-0.758789	0.248535	-0.128418	0.421364	-0.464508	-0.338082	-0.701702
