// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48166		4.979546	-1.125746	8.305845	-0.001428	-0.003194	0.001826	-0.644531	0.428711	-0.325195	0.355582	-0.268755	-0.042323	-0.894171
48167		4.983330	-1.112402	8.329109	-0.000574	-0.003705	0.002190	-0.644775	0.420166	-0.318115	0.355603	-0.268800	-0.042325	-0.894149
48168		4.985834	-1.128277	8.313179	-0.001958	-0.004507	0.001111	-0.650879	0.425049	-0.311279	0.355598	-0.268866	-0.042324	-0.894131
48169		4.980039	-1.119544	8.283917	-0.001745	-0.004006	0.002433	-0.640869	0.424561	-0.319824	0.355617	-0.268920	-0.042315	-0.894107
48170		4.978001	-1.126286	8.295249	-0.002488	-0.005820	0.000396	-0.645264	0.425537	-0.320801	0.355610	-0.268997	-0.042312	-0.894087
48171		4.993282	-1.117048	8.311074	-0.001797	-0.004561	0.001714	-0.645996	0.428223	-0.321777	0.355620	-0.269057	-0.042307	-0.894065
48172		4.992317	-1.109605	8.290186	0.000386	-0.003905	0.000623	-0.639893	0.429932	-0.325195	0.355626	-0.269100	-0.042329	-0.894049
48173		4.974444	-1.124911	8.309015	-0.000786	-0.004206	0.000867	-0.641113	0.428711	-0.319092	0.355629	-0.269153	-0.042342	-0.894031
48174		4.979810	-1.112195	8.308361	-0.000734	-0.003652	0.001587	-0.641846	0.419434	-0.323975	0.355641	-0.269197	-0.042349	-0.894013
48175		4.983734	-1.121096	8.304381	-0.001750	-0.003087	0.000621	-0.641602	0.425537	-0.324463	0.355638	-0.269235	-0.042350	-0.894003
48176		4.987744	-1.129754	8.300380	0.001240	-0.004417	0.000985	-0.644775	0.427490	-0.322754	0.355649	-0.269275	-0.042388	-0.893984
48177		4.977259	-1.111156	8.298585	-0.000040	-0.004110	0.001347	-0.644043	0.426025	-0.317383	0.355660	-0.269318	-0.042408	-0.893966
48178		4.993977	-1.117128	8.299191	-0.002067	-0.003900	0.001229	-0.636475	0.434326	-0.321533	0.355662	-0.269368	-0.042407	-0.893950
48179		4.973030	-1.124117	8.321431	0.000285	-0.005934	0.000995	-0.646729	0.422607	-0.319092	0.355677	-0.269426	-0.042439	-0.893925
48180		4.984972	-1.113747	8.305057	-0.000782	-0.005126	0.002679	-0.639404	0.425049	-0.319092	0.355692	-0.269480	-0.042458	-0.893902
48181		4.986057	-1.114341	8.304326	-0.002006	-0.005982	0.002203	-0.635498	0.426270	-0.321289	0.355706	-0.269544	-0.042466	-0.893877
48182		4.984353	-1.121438	8.315423	-0.004081	-0.007245	0.003177	-0.641846	0.423340	-0.323242	0.355730	-0.269624	-0.042452	-0.893844
48183		4.973076	-1.125563	8.309768	-0.003173	-0.007202	0.004259	-0.645264	0.419189	-0.322510	0.355756	-0.269695	-0.042453	-0.893812
48184		4.979187	-1.113759	8.308548	-0.003543	-0.008569	0.004146	-0.644043	0.427979	-0.324219	0.355765	-0.269781	-0.042461	-0.893782
48185		4.984016	-1.109067	8.295250	-0.004924	-0.010291	0.004880	-0.640625	0.421387	-0.317383	0.355798	-0.269883	-0.042450	-0.893739
48186		4.995991	-1.151234	8.291637	-0.007800	-0.010489	0.006212	-0.640625	0.425293	-0.319336	0.355821	-0.270020	-0.042405	-0.893690
48187		4.980333	-1.132379	8.304494	-0.006635	-0.009268	0.004155	-0.640625	0.432373	-0.315430	0.355841	-0.270133	-0.042366	-0.893650
48188		4.986861	-1.135659	8.311581	-0.004238	-0.008113	0.004384	-0.641357	0.424316	-0.318848	0.355892	-0.270239	-0.042328	-0.893600
48189		4.975684	-1.139938	8.305850	-0.004830	-0.007343	0.002696	-0.647949	0.438965	-0.318115	0.355895	-0.270317	-0.042305	-0.893576
48190		4.978389	-1.119563	8.308293	-0.003180	-0.006284	0.002446	-0.641602	0.428711	-0.317627	0.355939	-0.270389	-0.042270	-0.893538
48191		4.976543	-1.134071	8.283633	-0.000776	-0.007766	0.002927	-0.641846	0.430908	-0.307861	0.355975	-0.270456	-0.042281	-0.893503
48192		4.992133	-1.124522	8.299325	0.000598	-0.005124	0.000382	-0.642578	0.426514	-0.316406	0.355985	-0.270547	-0.042284	-0.893471
48193		4.979087	-1.126834	8.317939	-0.000035	-0.005033	0.003154	-0.645264	0.418213	-0.317871	0.356010	-0.270584	-0.042299	-0.893450
48194		5.000452	-1.141507	8.291121	0.004329	-0.003722	0.000968	-0.637695	0.428223	-0.313965	0.355964	-0.270571	-0.042399	-0.893467
48195		4.982218	-1.141204	8.301759	0.004807	-0.002964	0.000963	-0.651367	0.423096	-0.321045	0.356015	-0.270575	-0.042442	-0.893443
48196		4.992340	-1.128978	8.309643	0.004329	-0.003723	0.000967	-0.644287	0.423584	-0.314209	0.355970	-0.270554	-0.042544	-0.893463
48197		4.988593	-1.141386	8.309361	0.002517	-0.004728	0.000616	-0.643311	0.426025	-0.315186	0.355939	-0.270596	-0.042598	-0.893460
48198		4.985996	-1.117741	8.303975	0.002995	-0.003969	0.000611	-0.645752	0.412109	-0.317871	0.355937	-0.270620	-0.042643	-0.893451
48199		4.981963	-1.137682	8.267984	0.004113	-0.004223	-0.000355	-0.640137	0.425293	-0.324707	0.355806	-0.270603	-0.042785	-0.893502
48200		4.990871	-1.138932	8.308330	0.007198	-0.000889	-0.000621	-0.643799	0.423096	-0.314941	0.355868	-0.270473	-0.042889	-0.893511
48201		4.972167	-1.123115	8.310758	0.008375	-0.003226	-0.000614	-0.643066	0.430664	-0.316650	0.355840	-0.270472	-0.043003	-0.893518
48202		4.989936	-1.127824	8.287889	0.007628	-0.001605	0.000464	-0.642090	0.421143	-0.322266	0.355910	-0.270446	-0.043060	-0.893495
48203		4.979210	-1.121566	8.295232	0.012468	-0.001256	-0.003288	-0.646729	0.427246	-0.322021	0.355894	-0.270314	-0.043251	-0.893532
48204		4.980980	-1.111678	8.307402	0.012893	0.000665	-0.002456	-0.634033	0.428711	-0.314697	0.355912	-0.270188	-0.043411	-0.893555
48205		4.968134	-1.111436	8.303301	0.013633	0.001680	-0.003790	-0.641846	0.427734	-0.315674	0.356029	-0.270097	-0.043508	-0.893531
48206		4.990437	-1.108491	8.325047	0.013424	0.000259	-0.003300	-0.641357	0.421143	-0.323975	0.356065	-0.270038	-0.043638	-0.893528
48207		4.987009	-1.104653	8.293213	0.011343	-0.000085	-0.004135	-0.642334	0.421387	-0.324707	0.356046	-0.269870	-0.043817	-0.893578
48208		4.986149	-1.101402	8.317116	0.007835	-0.003622	-0.003139	-0.640381	0.425537	-0.316650	0.356023	-0.269754	-0.043971	-0.893615
48209		4.977104	-1.096762	8.300265	0.003467	-0.002292	-0.001204	-0.644287	0.416504	-0.327148	0.356048	-0.269758	-0.044001	-0.893602
48210		4.987281	-1.099575	8.316678	0.000061	-0.002082	0.000976	-0.642090	0.425293	-0.324463	0.355962	-0.269622	-0.044097	-0.893672
48211		4.979747	-1.089312	8.311568	0.002141	-0.003457	0.000253	-0.638184	0.424072	-0.323730	0.356029	-0.269541	-0.044149	-0.893668
48212		4.980760	-1.103764	8.319647	0.000707	-0.004014	0.001828	-0.643799	0.425049	-0.316162	0.356133	-0.269463	-0.044175	-0.893648
48213		4.987414	-1.091636	8.295147	0.000438	-0.003352	0.001343	-0.642822	0.423828	-0.315430	0.356126	-0.269526	-0.044176	-0.893632
48214		4.986991	-1.105446	8.327133	0.001023	-0.003202	0.001219	-0.639648	0.418213	-0.325439	0.356104	-0.269589	-0.044185	-0.893621
48215		4.974748	-1.093706	8.313600	0.000383	-0.003908	0.000624	-0.645996	0.424561	-0.323242	0.356082	-0.269468	-0.044268	-0.893663
48216		4.978610	-1.102161	8.309706	0.001663	-0.002497	0.001815	-0.644531	0.428223	-0.322266	0.356095	-0.269410	-0.044319	-0.893672
48217		4.968011	-1.083591	8.307996	-0.000681	-0.004816	0.000754	-0.645752	0.423096	-0.326904	0.356173	-0.269408	-0.044320	-0.893642
48218		4.989953	-1.105700	8.325325	0.000607	-0.004323	0.003757	-0.640381	0.428467	-0.316650	0.356203	-0.269309	-0.044388	-0.893657
48219		4.985931	-1.104207	8.316490	0.001238	-0.004420	0.000984	-0.644287	0.422119	-0.323486	0.356318	-0.269371	-0.044365	-0.893593
48220		4.965726	-1.082426	8.298080	0.000121	-0.004164	0.001951	-0.646973	0.419922	-0.319336	0.356298	-0.269320	-0.044420	-0.893614
48221		4.986179	-1.089220	8.330696	-0.001259	-0.005884	0.002689	-0.640869	0.415527	-0.323975	0.356165	-0.269378	-0.044471	-0.893647
48222		4.979122	-1.102145	8.297956	-0.001952	-0.005426	0.002930	-0.649658	0.422119	-0.323730	0.356074	-0.269300	-0.044550	-0.893702
48223		4.969024	-1.098782	8.304545	-0.000888	-0.004517	0.002800	-0.640625	0.421143	-0.317383	0.355985	-0.269283	-0.044613	-0.893740
48224		4.985554	-1.090357	8.296502	-0.001636	-0.004614	0.002322	-0.640137	0.424561	-0.320068	0.355967	-0.269331	-0.044610	-0.893733
48225		4.972484	-1.093299	8.315111	-0.003231	-0.005117	0.003295	-0.646484	0.421143	-0.322510	0.356063	-0.269347	-0.044576	-0.893692
48226		4.987582	-1.092297	8.295028	-0.002692	-0.006441	0.004264	-0.643555	0.427002	-0.315674	0.356003	-0.269358	-0.044615	-0.893710
48227		4.987510	-1.092534	8.318025	-0.003017	-0.006335	0.003060	-0.645264	0.428467	-0.319824	0.356048	-0.269496	-0.044556	-0.893653
48228		4.968271	-1.100834	8.316274	-0.002486	-0.006740	0.002217	-0.643555	0.424805	-0.323486	0.356124	-0.269568	-0.044527	-0.893603
48229		4.979120	-1.112540	8.296197	-0.002110	-0.008011	0.002583	-0.645996	0.424805	-0.329590	0.356188	-0.269557	-0.044553	-0.893579
48230		4.980690	-1.090994	8.322427	-0.002324	-0.006794	0.002818	-0.653076	0.412598	-0.316162	0.356266	-0.269432	-0.044614	-0.893583
48231		4.986728	-1.115772	8.302646	-0.002594	-0.006132	0.002334	-0.637939	0.421631	-0.317871	0.355823	-0.269573	-0.044725	-0.893711
48232		4.978668	-1.105499	8.320875	-0.001208	-0.007050	0.001850	-0.647949	0.419434	-0.328369	0.355879	-0.269607	-0.044733	-0.893678
48233		4.982749	-1.099900	8.308093	-0.000888	-0.004519	0.002798	-0.638428	0.422607	-0.322021	0.355824	-0.269464	-0.044849	-0.893737
48234		4.982292	-1.099696	8.331399	-0.001743	-0.004007	0.002439	-0.645508	0.428223	-0.321289	0.355948	-0.269394	-0.044853	-0.893709
48235		4.984466	-1.100836	8.306938	0.000920	-0.005234	0.001588	-0.638916	0.425293	-0.323242	0.356051	-0.269405	-0.044864	-0.893664
48236		4.982248	-1.092412	8.309868	0.000227	-0.004775	0.001830	-0.638672	0.419434	-0.322021	0.356227	-0.269322	-0.044879	-0.893619
48237		4.986484	-1.101120	8.305690	-0.000577	-0.005427	0.000634	-0.647461	0.426270	-0.319092	0.356230	-0.269256	-0.044933	-0.893634
48238		4.974659	-1.104148	8.300574	0.000437	-0.003354	0.001340	-0.647705	0.421387	-0.329834	0.356230	-0.269302	-0.044943	-0.893620
48239		4.986926	-1.100650	8.328500	-0.000358	-0.004925	0.001954	-0.642334	0.422363	-0.318848	0.356214	-0.269143	-0.045053	-0.893669
48240		4.983075	-1.099342	8.319540	-0.000252	-0.005534	0.001836	-0.641846	0.421387	-0.321289	0.356212	-0.269179	-0.045074	-0.893658
48241		4.973288	-1.095654	8.326029	-0.000461	-0.006955	0.002327	-0.639648	0.424561	-0.320068	0.356223	-0.269176	-0.045117	-0.893652
48242		4.975737	-1.096565	8.301421	0.001342	-0.005031	0.000861	-0.640625	0.427979	-0.325195	0.356335	-0.269160	-0.045136	-0.893611
48243		4.981623	-1.098247	8.309112	-0.000358	-0.004925	0.001954	-0.645020	0.426758	-0.318115	0.356567	-0.269067	-0.045138	-0.893546
48244		4.982655	-1.098396	8.308474	-0.000318	-0.005170	-0.000694	-0.637939	0.419922	-0.321289	0.356594	-0.269144	-0.045136	-0.893512
48245		4.979044	-1.111401	8.308072	0.000650	-0.004572	0.001103	-0.634766	0.425537	-0.318359	0.356611	-0.269078	-0.045181	-0.893523
48246		4.984619	-1.098615	8.307267	-0.000944	-0.005075	0.002079	-0.641602	0.419678	-0.318115	0.356818	-0.269079	-0.045136	-0.893443
48247		4.993349	-1.094415	8.302939	-0.000205	-0.004060	0.000744	-0.636719	0.418457	-0.314697	0.356722	-0.269100	-0.045168	-0.893473
48248		4.977006	-1.088086	8.325309	0.000706	-0.004017	0.001823	-0.642334	0.423584	-0.321533	0.356666	-0.269146	-0.045178	-0.893481
48249		4.982520	-1.112120	8.305891	-0.000369	-0.004006	0.000143	-0.637695	0.423828	-0.319824	0.356697	-0.269113	-0.045203	-0.893478
48250		4.968838	-1.085130	8.307714	0.000284	-0.004221	0.002549	-0.642334	0.426025	-0.317627	0.356832	-0.269084	-0.045200	-0.893432
48251		4.988926	-1.099198	8.304604	0.001708	-0.005384	-0.000585	-0.650391	0.424316	-0.319336	0.356894	-0.269142	-0.045219	-0.893389
48252		4.983735	-1.081824	8.311011	0.001555	-0.006250	0.000624	-0.644775	0.425293	-0.329102	0.356799	-0.269227	-0.045287	-0.893398
48253		4.991274	-1.098947	8.303226	-0.001107	-0.005022	0.001477	-0.643555	0.426758	-0.323975	0.356909	-0.269082	-0.045340	-0.893395
48254		4.976662	-1.108145	8.310083	0.000919	-0.005236	0.001586	-0.646240	0.417236	-0.321289	0.357043	-0.269030	-0.045373	-0.893356
48255		4.987096	-1.096805	8.317613	0.000870	-0.004072	0.002423	-0.641846	0.420410	-0.322266	0.356858	-0.269011	-0.045461	-0.893431
48256		4.975099	-1.085459	8.303923	-0.003248	-0.005919	-0.000070	-0.641846	0.422607	-0.316650	0.356805	-0.268991	-0.045484	-0.893457
48257		4.979496	-1.094297	8.299615	0.001026	-0.005845	0.001467	-0.645752	0.421387	-0.324951	0.356798	-0.269065	-0.045504	-0.893437
48258		4.972838	-1.098922	8.302657	-0.001328	-0.005524	0.000156	-0.648926	0.427734	-0.323730	0.356745	-0.269008	-0.045568	-0.893471
48259		4.980461	-1.093635	8.322177	0.001821	-0.004274	0.000852	-0.642822	0.414551	-0.314453	0.356819	-0.268987	-0.045617	-0.893446
48260		4.994117	-1.090844	8.326139	-0.000944	-0.005076	0.002078	-0.643311	0.419678	-0.322754	0.356568	-0.269086	-0.045656	-0.893514
48261		4.985280	-1.088050	8.308921	-0.000031	-0.005034	0.003156	-0.638916	0.428955	-0.318604	0.356547	-0.269039	-0.045713	-0.893534
48262		4.978430	-1.092901	8.312052	-0.000358	-0.004927	0.001953	-0.646973	0.426025	-0.323730	0.356781	-0.269069	-0.045664	-0.893434
48263		4.974858	-1.106260	8.311586	-0.001001	-0.005632	0.001359	-0.638916	0.426758	-0.319580	0.356839	-0.269057	-0.045691	-0.893413
48264		4.980598	-1.093577	8.310664	-0.000252	-0.005536	0.001835	-0.648926	0.419434	-0.322266	0.357015	-0.269068	-0.045668	-0.893341
48265		4.995723	-1.106601	8.299183	-0.001742	-0.004008	0.002440	-0.645020	0.424316	-0.309814	0.356873	-0.269063	-0.045723	-0.893396
48266		4.982448	-1.094476	8.309437	0.000497	-0.005440	0.002310	-0.647949	0.423340	-0.320801	0.356817	-0.269280	-0.045695	-0.893354
48267		4.983585	-1.094601	8.308739	0.000275	-0.005942	0.000990	-0.643066	0.421875	-0.315674	0.356774	-0.269312	-0.045748	-0.893359
48268		4.992408	-1.090253	8.304351	0.000121	-0.004169	0.001946	-0.634766	0.418945	-0.322754	0.356737	-0.269382	-0.045753	-0.893352
48269		4.979410	-1.092552	8.323144	-0.000686	-0.004820	0.000750	-0.645264	0.422607	-0.318604	0.356805	-0.269272	-0.045785	-0.893357
48270		4.986540	-1.095338	8.306868	-0.000511	-0.005794	0.003162	-0.638916	0.424072	-0.318359	0.356788	-0.269327	-0.045804	-0.893346
48271		4.981664	-1.093429	8.321679	-0.001318	-0.006445	0.001967	-0.647705	0.419922	-0.323486	0.356886	-0.269360	-0.045787	-0.893298
48272		4.987037	-1.103054	8.293587	0.000706	-0.004020	0.001820	-0.645508	0.416016	-0.322754	0.356802	-0.269308	-0.045869	-0.893343
48273		4.978475	-1.092457	8.312279	-0.001099	-0.003304	0.003034	-0.637695	0.421875	-0.323242	0.356664	-0.269248	-0.045937	-0.893413
48274		4.979349	-1.092908	8.311696	-0.001330	-0.005525	0.000156	-0.641602	0.425537	-0.315918	0.356763	-0.269171	-0.045959	-0.893395
48275		4.988071	-1.088716	8.307342	0.000179	-0.003614	0.002664	-0.654541	0.417969	-0.314209	0.356851	-0.269232	-0.045929	-0.893343
48276		4.977828	-1.084917	8.314187	-0.000044	-0.004116	0.001344	-0.640137	0.432617	-0.317383	0.356534	-0.269385	-0.045988	-0.893420
48277		4.988479	-1.088277	8.330244	0.000706	-0.004020	0.001819	-0.649658	0.419922	-0.319580	0.356800	-0.269427	-0.045919	-0.893305
48278		4.966384	-1.073622	8.300181	-0.002070	-0.003901	0.001238	-0.653076	0.421875	-0.317383	0.356654	-0.269464	-0.045957	-0.893350
48279		4.983399	-1.094368	8.309076	-0.000465	-0.004319	0.002070	-0.646484	0.427734	-0.323242	0.356504	-0.269560	-0.045997	-0.893379
48280		4.973772	-1.105142	8.324233	0.001457	-0.006565	0.002547	-0.645508	0.425537	-0.323486	0.356628	-0.269549	-0.046031	-0.893331
48281		4.969604	-1.089035	8.306820	0.000284	-0.004224	0.002545	-0.645264	0.428223	-0.320068	0.356720	-0.269501	-0.046056	-0.893308
48282		4.994173	-1.090518	8.303439	-0.001543	-0.004307	0.000393	-0.638184	0.425781	-0.313232	0.356805	-0.269525	-0.046030	-0.893268
48283		4.981263	-1.093065	8.322185	-0.001530	-0.005228	0.002203	-0.642090	0.421387	-0.315918	0.356895	-0.269623	-0.045963	-0.893206
48284		4.983463	-1.094371	8.297592	-0.000839	-0.005687	0.001959	-0.645020	0.422363	-0.324707	0.356870	-0.269687	-0.045967	-0.893197
