// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51973		9.765145	-0.175351	2.118352	-0.001317	0.008374	-0.000637	-0.814209	0.590820	0.116211	0.408546	-0.540169	-0.319820	-0.662588
51974		9.757741	-0.175869	2.079039	-0.011518	0.004240	0.001213	-0.814209	0.590820	0.111816	0.408495	-0.540198	-0.319695	-0.662656
51975		9.745193	-0.201513	2.063376	-0.006890	0.002863	0.000243	-0.813965	0.588623	0.116211	0.408514	-0.540175	-0.319613	-0.662703
51976		9.759605	-0.179942	2.089340	-0.000183	0.001342	0.000209	-0.816162	0.588623	0.114014	0.408508	-0.540175	-0.319605	-0.662710
51977		9.762384	-0.173927	2.111985	-0.011306	-0.002992	0.000878	-0.816162	0.590820	0.111816	0.408433	-0.540260	-0.319521	-0.662728
51978		9.739387	-0.210473	2.061538	-0.014306	-0.003048	-0.001238	-0.809814	0.593018	0.111816	0.408355	-0.540331	-0.319420	-0.662767
51979		9.751406	-0.195479	2.063003	-0.011934	-0.005770	-0.001347	-0.812012	0.593018	0.111816	0.408305	-0.540401	-0.319349	-0.662774
51980		9.756365	-0.207403	2.035410	-0.019548	-0.002523	-0.002236	-0.813965	0.588623	0.116211	0.408204	-0.540489	-0.319207	-0.662832
51981		9.747896	-0.221236	2.010448	-0.007911	-0.003234	-0.005629	-0.813965	0.588623	0.114014	0.408084	-0.540558	-0.319205	-0.662851
51982		9.746121	-0.201558	2.058985	0.003076	-0.003665	-0.009531	-0.812012	0.593018	0.120605	0.408026	-0.540557	-0.319323	-0.662832
51983		9.748446	-0.175749	2.055525	-0.005492	-0.002324	-0.008542	-0.816162	0.588623	0.118408	0.407905	-0.540650	-0.319343	-0.662820
51984		9.769542	-0.176173	2.048600	-0.002957	-0.005481	-0.010704	-0.814209	0.594971	0.115967	0.407748	-0.540726	-0.319440	-0.662808
51985		9.762419	-0.195298	2.062710	0.005969	-0.004522	-0.010139	-0.816162	0.590820	0.111816	0.407725	-0.540744	-0.319580	-0.662740
51986		9.779329	-0.173993	2.096384	-0.003273	-0.002000	-0.011497	-0.809814	0.593018	0.118408	0.407636	-0.540744	-0.319661	-0.662756
51987		9.742026	-0.160952	2.054906	-0.008894	-0.008316	-0.009406	-0.816162	0.588623	0.114014	0.407486	-0.540878	-0.319702	-0.662719
51988		9.731144	-0.179804	2.005574	-0.006485	-0.010016	-0.007423	-0.812012	0.590820	0.116211	0.407347	-0.540984	-0.319786	-0.662678
51989		9.763360	-0.169464	2.030282	0.009003	-0.010351	-0.008159	-0.812012	0.590820	0.120605	0.407318	-0.541034	-0.319999	-0.662552
51990		9.753756	-0.195471	2.020298	0.004828	-0.009845	-0.006719	-0.812012	0.593018	0.118408	0.407246	-0.541148	-0.320165	-0.662422
51991		9.746129	-0.197970	2.008108	0.001851	-0.006048	-0.008325	-0.812012	0.588623	0.116211	0.407191	-0.541229	-0.320289	-0.662331
51992		9.763473	-0.182019	1.996902	0.012180	-0.004040	-0.009179	-0.816406	0.593018	0.118408	0.407190	-0.541207	-0.320519	-0.662237
51993		9.753715	-0.165661	2.035022	0.020008	-0.004765	-0.007999	-0.818359	0.588623	0.114014	0.407256	-0.541208	-0.320790	-0.662065
51994		9.752948	-0.140658	2.052759	0.015132	-0.004781	-0.005851	-0.812012	0.590820	0.116211	0.407294	-0.541189	-0.321035	-0.661938
51995		9.752101	-0.157826	2.023646	0.012029	-0.006439	-0.005535	-0.814209	0.593018	0.120605	0.407332	-0.541209	-0.321244	-0.661798
51996		9.758292	-0.148307	2.023525	0.014576	-0.005516	-0.003886	-0.818359	0.588623	0.118408	0.407385	-0.541269	-0.321444	-0.661619
51997		9.762386	-0.162861	2.026342	0.012409	-0.005044	-0.002141	-0.814209	0.593018	0.120605	0.407400	-0.541313	-0.321644	-0.661476
51998		9.748734	-0.173898	2.013522	0.011362	-0.005938	-0.002732	-0.809814	0.586670	0.120850	0.407438	-0.541393	-0.321810	-0.661307
51999		9.748991	-0.172720	2.012379	0.010796	-0.003839	-0.002359	-0.813965	0.588623	0.116211	0.407450	-0.541429	-0.321990	-0.661182
52000		9.770650	-0.164559	2.019235	0.011903	-0.004980	-0.001388	-0.816162	0.588623	0.118408	0.407506	-0.541439	-0.322175	-0.661049
52001		9.775326	-0.148798	1.980402	-0.002080	0.000140	-0.000934	-0.816162	0.586670	0.116455	0.407463	-0.541509	-0.322211	-0.661001
52002		9.740035	-0.194614	1.973182	0.001267	0.003181	-0.002422	-0.816162	0.586670	0.120850	0.407442	-0.541499	-0.322289	-0.660984
52003		9.738831	-0.171446	1.992851	0.002818	0.004010	-0.002581	-0.818359	0.590820	0.114014	0.407397	-0.541532	-0.322362	-0.660949
52004		9.748027	-0.173627	2.043600	0.003396	0.003838	-0.002702	-0.816162	0.590820	0.118408	0.407441	-0.541495	-0.322434	-0.660917
52005		9.753138	-0.174729	2.031923	0.001969	0.003701	-0.003130	-0.814209	0.593018	0.116211	0.407446	-0.541515	-0.322476	-0.660877
52006		9.762104	-0.191823	2.024176	-0.001010	0.002734	-0.003399	-0.818604	0.594971	0.120361	0.407481	-0.541532	-0.322484	-0.660838
52007		9.747898	-0.176162	2.001541	0.003939	0.002642	-0.004916	-0.816162	0.586670	0.116455	0.407489	-0.541583	-0.322525	-0.660771
52008		9.744429	-0.191013	1.965551	0.005636	0.003260	-0.003817	-0.816162	0.590820	0.120605	0.407493	-0.541536	-0.322631	-0.660755
52009		9.749740	-0.176325	2.012514	0.010189	0.006755	-0.006761	-0.810059	0.597168	0.113770	0.407519	-0.541504	-0.322735	-0.660714
52010		9.746834	-0.207506	2.003147	0.008183	0.006788	-0.007067	-0.816162	0.588623	0.118408	0.407705	-0.541414	-0.322780	-0.660652
52011		9.759351	-0.170661	2.035214	0.007800	0.007545	-0.006902	-0.816162	0.590820	0.116211	0.407712	-0.541354	-0.322879	-0.660648
52012		9.741246	-0.165012	2.021485	0.005289	0.007643	-0.006459	-0.809814	0.588623	0.114014	0.407754	-0.541286	-0.322938	-0.660649
52013		9.740367	-0.172621	2.009362	0.011346	0.006413	-0.007000	-0.812012	0.590820	0.118408	0.407872	-0.541159	-0.323061	-0.660620
52014		9.757823	-0.174358	2.026538	0.005622	0.006089	-0.005408	-0.816162	0.588623	0.118408	0.407923	-0.541150	-0.323105	-0.660575
52015		9.742900	-0.167691	1.990936	0.000159	0.006916	-0.008293	-0.816162	0.588623	0.114014	0.407857	-0.541139	-0.323142	-0.660606
52016		9.746940	-0.172035	2.010740	0.002051	0.008121	-0.007151	-0.814209	0.590820	0.116211	0.407872	-0.541045	-0.323190	-0.660650
52017		9.767426	-0.172366	2.006796	0.010433	0.008137	-0.007925	-0.812256	0.594971	0.118164	0.407954	-0.540957	-0.323282	-0.660627
52018		9.771320	-0.176323	2.027308	0.005282	0.012398	-0.007801	-0.812012	0.590820	0.116211	0.408060	-0.540919	-0.323267	-0.660599
52019		9.756867	-0.186230	2.018749	0.008102	0.011649	-0.009033	-0.814209	0.593018	0.111816	0.408144	-0.540822	-0.323320	-0.660602
52020		9.755189	-0.160973	2.040278	0.014428	0.010902	-0.008897	-0.818359	0.588623	0.120605	0.408332	-0.540638	-0.323424	-0.660585
52021		9.756878	-0.161414	2.051835	0.007587	0.009785	-0.008531	-0.814209	0.590820	0.118408	0.408270	-0.540622	-0.323503	-0.660597
52022		9.762306	-0.151546	2.055234	-0.000151	0.007561	-0.007502	-0.814209	0.593018	0.114014	0.408244	-0.540653	-0.323491	-0.660594
52023		9.745909	-0.158752	2.036562	-0.001724	0.007630	-0.009188	-0.816162	0.590820	0.111816	0.408278	-0.540621	-0.323466	-0.660612
52024		9.755256	-0.164893	2.043801	-0.001651	0.007525	-0.008559	-0.809814	0.590820	0.116211	0.408300	-0.540541	-0.323464	-0.660664
52025		9.747507	-0.157492	2.048666	0.005167	0.002861	-0.009665	-0.813965	0.586670	0.116455	0.408337	-0.540555	-0.323519	-0.660603
52026		9.748852	-0.141424	2.032738	-0.006037	0.003585	-0.007670	-0.814209	0.593018	0.116211	0.408225	-0.540600	-0.323509	-0.660640
52027		9.745072	-0.150628	2.041177	-0.004496	0.002488	-0.008073	-0.816406	0.593018	0.116211	0.408207	-0.540670	-0.323469	-0.660614
52028		9.756691	-0.133358	2.044061	-0.001918	0.000359	-0.008131	-0.816162	0.590820	0.118408	0.408180	-0.540735	-0.323470	-0.660577
52029		9.775103	-0.167072	2.027450	0.001106	0.002127	-0.009070	-0.820557	0.588623	0.114014	0.408120	-0.540790	-0.323507	-0.660551
