// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51973		9.745707	-0.107355	1.313873	-0.002873	0.005393	-0.010564	-0.693604	0.116699	-0.583496	0.747894	-0.082596	-0.653002	-0.086144
51974		9.751925	-0.146475	1.296283	-0.010997	0.008689	-0.007117	-0.696777	0.116699	-0.586182	0.747946	-0.082631	-0.652916	-0.086309
51975		9.738003	-0.191184	1.307566	-0.009000	0.008785	-0.005872	-0.692627	0.120361	-0.580322	0.748002	-0.082658	-0.652831	-0.086446
51976		9.729090	-0.131012	1.313555	0.002702	0.006356	-0.001114	-0.691406	0.118896	-0.574951	0.748055	-0.082619	-0.652775	-0.086438
51977		9.728848	-0.130915	1.315358	-0.012773	0.008602	-0.001044	-0.693115	0.124023	-0.576172	0.748111	-0.082725	-0.652682	-0.086558
51978		9.724970	-0.189545	1.340781	-0.018904	0.002832	-0.001431	-0.702637	0.119873	-0.577637	0.748113	-0.082894	-0.652637	-0.086722
51979		9.737725	-0.175370	1.319204	-0.018831	0.000504	0.000228	-0.692871	0.122314	-0.585205	0.748101	-0.083086	-0.652608	-0.086862
51980		9.731801	-0.215901	1.328032	-0.024189	-0.000443	-0.001901	-0.698730	0.109131	-0.577148	0.748074	-0.083320	-0.652583	-0.087056
51981		9.719073	-0.248290	1.302774	-0.011845	-0.003052	-0.001413	-0.698730	0.118408	-0.581299	0.748041	-0.083459	-0.652593	-0.087131
51982		9.734335	-0.187128	1.330451	-0.006852	-0.000601	-0.000911	-0.692627	0.114014	-0.581543	0.748034	-0.083575	-0.652584	-0.087144
51983		9.729470	-0.165757	1.293632	-0.017778	-0.000829	-0.003879	-0.696289	0.114746	-0.582764	0.748013	-0.083774	-0.652566	-0.087268
51984		9.728335	-0.212336	1.273420	-0.010420	-0.006780	-0.002853	-0.699707	0.116455	-0.581543	0.747949	-0.083929	-0.652614	-0.087309
51985		9.733629	-0.185829	1.296660	-0.009064	-0.006903	-0.002167	-0.694092	0.111572	-0.575684	0.747880	-0.084097	-0.652671	-0.087317
51986		9.738921	-0.159145	1.319984	-0.019356	-0.006023	-0.005616	-0.690674	0.119141	-0.576416	0.747798	-0.084317	-0.652720	-0.087437
51987		9.755843	-0.134642	1.244081	-0.015356	-0.005840	-0.003128	-0.692139	0.115479	-0.581787	0.747735	-0.084526	-0.652756	-0.087504
51988		9.718732	-0.214010	1.246197	-0.000499	-0.002214	-0.000378	-0.702637	0.118652	-0.585693	0.747708	-0.084614	-0.652785	-0.087436
51989		9.730782	-0.196088	1.304101	0.008012	-0.003578	0.004316	-0.705322	0.122803	-0.583496	0.747672	-0.084723	-0.652839	-0.087235
51990		9.742397	-0.211880	1.308802	0.003729	-0.003316	0.005641	-0.697021	0.119629	-0.572754	0.747633	-0.084909	-0.652885	-0.087047
51991		9.733922	-0.250156	1.295118	-0.000846	-0.005154	0.003210	-0.696289	0.117676	-0.581543	0.747574	-0.085046	-0.652953	-0.086903
51992		9.750256	-0.272295	1.270981	0.008150	-0.007737	0.001757	-0.694824	0.121582	-0.579834	0.747513	-0.085116	-0.653039	-0.086714
51993		9.745637	-0.186246	1.268426	0.013928	-0.001357	0.001562	-0.691895	0.123047	-0.580322	0.747514	-0.085143	-0.653066	-0.086474
