// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51973		9.529644	0.222850	-2.362580	0.005306	-0.006694	-0.004223	-0.801758	-0.096436	0.739746	-0.058471	-0.785534	0.056405	-0.613463
51974		9.519948	0.248871	-2.359108	0.012490	-0.009029	-0.004752	-0.804443	-0.096924	0.738281	-0.058378	-0.785615	0.056269	-0.613379
51975		9.530778	0.263272	-2.408799	0.014059	-0.009709	-0.004003	-0.798828	-0.091064	0.740479	-0.058265	-0.785700	0.056129	-0.613294
51976		9.526491	0.264633	-2.387423	0.003298	-0.008497	-0.002116	-0.799561	-0.093262	0.750000	-0.058244	-0.785771	0.056088	-0.613210
51977		9.526851	0.241274	-2.383585	-0.001534	-0.003698	0.002031	-0.801025	-0.089111	0.748779	-0.058245	-0.785799	0.056119	-0.613171
51978		9.535309	0.250762	-2.379430	-0.003890	-0.002977	0.000011	-0.810059	-0.093262	0.749512	-0.058286	-0.785822	0.056147	-0.613135
51979		9.513087	0.227581	-2.410208	-0.009233	0.001126	-0.003531	-0.799805	-0.086914	0.741943	-0.058413	-0.785813	0.056176	-0.613131
51980		9.517816	0.221940	-2.404821	-0.001277	0.000941	-0.004182	-0.808105	-0.103027	0.747803	-0.058465	-0.785816	0.056138	-0.613126
51981		9.526640	0.238617	-2.391584	-0.010331	0.002896	-0.003358	-0.806152	-0.094971	0.740967	-0.058601	-0.785801	0.056177	-0.613129
51982		9.515001	0.202287	-2.375035	0.004021	0.000420	-0.005810	-0.802734	-0.097656	0.739258	-0.058613	-0.785818	0.056083	-0.613114
51983		9.526860	0.247091	-2.382956	0.008363	0.003292	-0.008481	-0.803223	-0.103516	0.740479	-0.058601	-0.785819	0.055931	-0.613128
51984		9.532332	0.212953	-2.379695	0.003049	0.002617	-0.010438	-0.807129	-0.100342	0.739746	-0.058661	-0.785825	0.055797	-0.613127
51985		9.514404	0.213926	-2.401737	0.005981	0.005404	-0.014283	-0.801514	-0.105713	0.745605	-0.058718	-0.785812	0.055605	-0.613155
51986		9.520266	0.204818	-2.366817	0.009240	0.004074	-0.018780	-0.797607	-0.096924	0.747070	-0.058776	-0.785826	0.055347	-0.613155
51987		9.520304	0.191802	-2.388866	0.015584	0.007952	-0.025952	-0.800537	-0.100098	0.740479	-0.058810	-0.785821	0.054979	-0.613192
