// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51973		9.684608	0.211033	-1.565991	0.016272	0.003620	-0.011038	-0.831543	0.124268	-0.280762	0.636807	-0.125989	-0.750960	-0.121087
51974		9.679225	0.214779	-1.537854	0.022396	0.006548	-0.011932	-0.832764	0.125244	-0.282715	0.636886	-0.125689	-0.750961	-0.120982
51975		9.670690	0.282636	-1.571010	0.016230	0.003515	-0.008241	-0.828125	0.128906	-0.278564	0.636933	-0.125478	-0.750969	-0.120901
51976		9.685982	0.268279	-1.573198	-0.004521	0.003226	-0.002279	-0.828613	0.127930	-0.268066	0.636952	-0.125485	-0.750940	-0.120969
51977		9.680454	0.250545	-1.537822	-0.012089	-0.003602	-0.000876	-0.830322	0.130615	-0.268311	0.636897	-0.125574	-0.750954	-0.121089
51978		9.682107	0.218004	-1.550032	-0.009704	-0.001608	-0.000956	-0.838379	0.124512	-0.270020	0.636865	-0.125638	-0.750953	-0.121194
51979		9.681099	0.186023	-1.548158	-0.011765	0.001335	0.001591	-0.829590	0.129395	-0.276611	0.636862	-0.125737	-0.750921	-0.121302
51980		9.683169	0.169582	-1.518582	-0.004308	-0.002599	0.003985	-0.836182	0.115234	-0.272217	0.636841	-0.125808	-0.750926	-0.121312
51981		9.668617	0.158696	-1.542678	-0.002217	-0.002184	0.006520	-0.835693	0.126709	-0.277588	0.636838	-0.125890	-0.750920	-0.121277
51982		9.662616	0.161863	-1.566350	-0.006482	-0.006107	0.008359	-0.829590	0.122070	-0.275879	0.636799	-0.126038	-0.750932	-0.121253
51983		9.666247	0.151395	-1.566209	-0.003800	-0.003972	0.006323	-0.832031	0.120117	-0.276611	0.636780	-0.126147	-0.750936	-0.121216
51984		9.672681	0.120330	-1.570944	0.006516	-0.003466	0.002617	-0.836670	0.121338	-0.279785	0.636777	-0.126146	-0.750957	-0.121103
51985		9.689760	0.148343	-1.570388	0.012525	-0.005557	0.002896	-0.829590	0.119385	-0.271973	0.636768	-0.126118	-0.751000	-0.120913
51986		9.682061	0.185518	-1.582083	0.010528	0.000426	-0.000066	-0.827637	0.126953	-0.272461	0.636801	-0.126070	-0.751004	-0.120767
51987		9.684755	0.184640	-1.595957	0.007128	-0.003126	-0.002699	-0.828125	0.122314	-0.277100	0.636791	-0.126037	-0.751034	-0.120663
51988		9.666669	0.181294	-1.572017	0.009028	-0.004013	-0.004551	-0.839111	0.124756	-0.279297	0.636771	-0.125968	-0.751079	-0.120562
51989		9.669182	0.161152	-1.578611	0.005333	-0.007708	-0.005224	-0.841797	0.129883	-0.280518	0.636712	-0.125948	-0.751145	-0.120486
51990		9.685175	0.118318	-1.559916	0.011689	-0.004804	-0.003879	-0.834473	0.126709	-0.268799	0.636695	-0.125908	-0.751190	-0.120336
51991		9.681152	0.147444	-1.570880	0.013644	-0.005148	-0.000740	-0.832275	0.125244	-0.278320	0.636664	-0.125863	-0.751257	-0.120127
51992		9.688184	0.131948	-1.618987	0.014659	-0.003584	0.001970	-0.832275	0.127930	-0.275146	0.636676	-0.125831	-0.751287	-0.119906
51993		9.677697	0.129509	-1.600842	0.016284	-0.004556	0.000675	-0.831543	0.125244	-0.275635	0.636667	-0.125791	-0.751341	-0.119662
51994		9.676541	0.136867	-1.616347	0.022153	-0.000223	-0.001725	-0.831543	0.125244	-0.277100	0.636701	-0.125666	-0.751376	-0.119391
