// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51973		5.083270	-1.098633	8.231962	-0.001650	-0.004502	0.002863	-0.611328	0.449951	-0.338379	0.395056	-0.271816	-0.058230	-0.875589
51974		5.062641	-1.094019	8.240234	-0.001852	-0.005121	0.002211	-0.614502	0.451904	-0.341064	0.395070	-0.271883	-0.058228	-0.875562
51975		5.078262	-1.098800	8.223829	-0.000448	-0.005636	0.002240	-0.608398	0.456299	-0.340576	0.395089	-0.271947	-0.058244	-0.875533
51976		5.093862	-1.112321	8.276647	-0.002780	-0.004677	0.003312	-0.610596	0.454346	-0.330566	0.395112	-0.272014	-0.058225	-0.875503
51977		5.079483	-1.098058	8.251707	-0.001324	-0.004380	0.002073	-0.612061	0.457275	-0.330078	0.395128	-0.272069	-0.058224	-0.875479
51978		5.073775	-1.101058	8.257584	-0.000412	-0.006291	0.002152	-0.619873	0.453369	-0.330566	0.395146	-0.272138	-0.058242	-0.875448
51979		5.084065	-1.121262	8.258475	-0.001251	-0.005689	0.001899	-0.610352	0.453125	-0.340088	0.395159	-0.272202	-0.058247	-0.875421
51980		5.077991	-1.117278	8.237603	-0.002381	-0.005863	0.002349	-0.618652	0.440430	-0.331543	0.395175	-0.272271	-0.058236	-0.875393
51981		5.083989	-1.103769	8.262124	-0.000796	-0.003639	0.001935	-0.618164	0.448486	-0.338623	0.395193	-0.272308	-0.058230	-0.875374
51982		5.070618	-1.098274	8.234761	0.000971	-0.004686	0.001086	-0.611816	0.447998	-0.340820	0.395210	-0.272341	-0.058249	-0.875355
51983		5.078713	-1.102985	8.254291	-0.000434	-0.004171	0.001058	-0.616211	0.445312	-0.341064	0.395222	-0.272372	-0.058250	-0.875340
51984		5.072617	-1.102026	8.246986	0.000970	-0.004686	0.001086	-0.617432	0.447510	-0.338867	0.395238	-0.272397	-0.058269	-0.875324
51985		5.067179	-1.108004	8.266268	0.001369	-0.005872	0.000122	-0.609863	0.445557	-0.331543	0.395244	-0.272428	-0.058300	-0.875309
51986		5.082577	-1.108577	8.236570	0.000167	-0.004738	0.000746	-0.610352	0.453613	-0.332764	0.395255	-0.272455	-0.058305	-0.875296
51987		5.069216	-1.107887	8.265034	0.000732	-0.004651	0.000521	-0.608887	0.448486	-0.339111	0.395274	-0.272477	-0.058311	-0.875280
51988		5.084794	-1.112194	8.248680	-0.000600	-0.005444	0.000320	-0.619629	0.447754	-0.340088	0.395286	-0.272496	-0.058307	-0.875269
51989		5.083439	-1.089784	8.239818	0.002338	-0.004548	0.001199	-0.621338	0.451904	-0.342773	0.395311	-0.272487	-0.058331	-0.875259
51990		5.077315	-1.088619	8.232559	0.000131	-0.004084	0.000833	-0.611572	0.449707	-0.331543	0.395333	-0.272476	-0.058332	-0.875252
51991		5.086394	-1.102512	8.249623	0.002541	-0.003929	0.001851	-0.612061	0.448975	-0.341797	0.395366	-0.272486	-0.058354	-0.875232
51992		5.072461	-1.094288	8.251534	0.001144	-0.004371	-0.001624	-0.611816	0.452637	-0.337646	0.395366	-0.272470	-0.058377	-0.875236
51993		5.087864	-1.098338	8.235308	0.001412	-0.004104	0.002301	-0.613281	0.452393	-0.339111	0.395419	-0.272466	-0.058384	-0.875213
51994		5.074208	-1.094243	8.250466	-0.000962	-0.004913	0.001197	-0.615723	0.450928	-0.338867	0.395450	-0.272477	-0.058375	-0.875196
