// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51973		4.777327	1.609319	8.356607	-0.001262	-0.000833	-0.002117	-0.528564	0.479248	-0.721436	0.600359	-0.145359	-0.225251	-0.753460
51974		4.778354	1.605588	8.347689	0.000920	-0.000046	-0.002143	-0.529297	0.478760	-0.723389	0.600340	-0.145346	-0.225264	-0.753474
51975		4.776412	1.601180	8.360239	0.001723	-0.001940	-0.002579	-0.526855	0.483643	-0.719727	0.600316	-0.145340	-0.225298	-0.753484
51976		4.786379	1.601516	8.361245	0.003254	-0.002160	-0.003320	-0.527100	0.482422	-0.714111	0.600296	-0.145314	-0.225341	-0.753492
51977		4.778209	1.611998	8.355586	0.003214	-0.003340	-0.002633	-0.529053	0.486572	-0.711426	0.600253	-0.145332	-0.225413	-0.753502
51978		4.776560	1.607896	8.367914	0.001761	-0.001606	-0.003089	-0.537109	0.483154	-0.711670	0.600190	-0.145360	-0.225474	-0.753528
51979		4.778909	1.600822	8.349834	0.003788	-0.002154	-0.001076	-0.528809	0.484375	-0.721191	0.600095	-0.145440	-0.225597	-0.753551
51980		4.778339	1.592997	8.353215	0.005280	-0.002707	-0.001307	-0.534668	0.472656	-0.718262	0.600095	-0.145413	-0.225658	-0.753538
51981		4.777964	1.598018	8.361514	0.003787	-0.003848	-0.000721	-0.534668	0.478760	-0.715820	0.600033	-0.145470	-0.225764	-0.753544
51982		4.789242	1.607298	8.358496	0.003787	-0.002154	-0.001076	-0.529541	0.476074	-0.722900	0.599979	-0.145525	-0.225838	-0.753555
51983		4.778874	1.599921	8.360631	0.004514	-0.001326	-0.001204	-0.530762	0.476074	-0.720215	0.599979	-0.145491	-0.225883	-0.753548
51984		4.778379	1.579000	8.358999	0.002370	-0.004321	-0.001153	-0.533203	0.475342	-0.719971	0.599952	-0.145523	-0.225935	-0.753548
51985		4.779121	1.605430	8.368481	0.003059	-0.002981	-0.000949	-0.529541	0.471924	-0.715576	0.599918	-0.145556	-0.225988	-0.753552
51986		4.784903	1.612199	8.333609	0.003786	-0.003848	-0.000721	-0.525635	0.479004	-0.712158	0.599884	-0.145562	-0.226065	-0.753555
51987		4.783775	1.608147	8.345639	0.004474	-0.005048	0.000017	-0.527588	0.473877	-0.718750	0.599887	-0.145603	-0.226103	-0.753533
51988		4.784600	1.609134	8.344976	0.004512	-0.003020	-0.000848	-0.537598	0.478027	-0.725830	0.599886	-0.145583	-0.226151	-0.753524
51989		4.782086	1.608944	8.366112	0.002294	-0.002447	-0.000667	-0.538330	0.482666	-0.721924	0.599864	-0.145643	-0.226166	-0.753526
51990		4.774806	1.602230	8.346703	0.003059	-0.001287	-0.001305	-0.530029	0.479492	-0.711182	0.599834	-0.145725	-0.226161	-0.753535
51991		4.773132	1.610902	8.364094	0.003020	-0.002467	-0.000617	-0.530762	0.478271	-0.720459	0.599808	-0.145772	-0.226179	-0.753541
51992		4.782352	1.602215	8.368818	0.003096	-0.003494	-0.001280	-0.526855	0.481445	-0.721191	0.599799	-0.145787	-0.226192	-0.753542
51993		4.781777	1.594103	8.372273	0.003059	-0.001287	-0.001305	-0.525635	0.480225	-0.720215	0.599831	-0.145770	-0.226146	-0.753533
51994		4.794629	1.608457	8.356742	0.005239	-0.000499	-0.001333	-0.531982	0.480225	-0.722656	0.599871	-0.145716	-0.226120	-0.753520
51995		4.783300	1.605067	8.367730	0.003096	-0.003494	-0.001280	-0.527588	0.479248	-0.724609	0.599871	-0.145742	-0.226118	-0.753515
51996		4.776207	1.598525	8.348182	0.003785	-0.002153	-0.001077	-0.526367	0.478271	-0.714844	0.599909	-0.145700	-0.226096	-0.753500
51997		4.777540	1.608290	8.343972	0.003058	-0.001287	-0.001305	-0.524414	0.476562	-0.713379	0.599911	-0.145692	-0.226091	-0.753501
51998		4.785377	1.590857	8.352745	0.003210	-0.001647	-0.002988	-0.529785	0.484619	-0.716064	0.599896	-0.145666	-0.226099	-0.753515
51999		4.775026	1.609053	8.364937	0.002331	-0.002114	-0.001177	-0.531006	0.477539	-0.715332	0.599911	-0.145741	-0.226052	-0.753503
52000		4.773439	1.604779	8.377292	0.003020	-0.002467	-0.000617	-0.532715	0.475342	-0.724121	0.599885	-0.145774	-0.226075	-0.753510
52001		4.777115	1.606644	8.355155	0.003285	-0.004369	-0.003295	-0.529053	0.478760	-0.724854	0.599845	-0.145750	-0.226122	-0.753533
52002		4.786267	1.598441	8.359833	0.005964	-0.001365	-0.001106	-0.526123	0.480225	-0.718262	0.599887	-0.145676	-0.226119	-0.753514
52003		4.777995	1.609045	8.354189	0.003822	-0.002667	-0.001408	-0.535889	0.480225	-0.720947	0.599921	-0.145670	-0.226094	-0.753496
52004		4.787048	1.600650	8.358963	0.003897	-0.002000	-0.002429	-0.521484	0.481934	-0.714844	0.599883	-0.145706	-0.226116	-0.753513
52005		4.785446	1.609703	8.376242	0.004548	-0.002686	-0.001358	-0.529541	0.479492	-0.722168	0.599954	-0.145701	-0.226060	-0.753474
52006		4.775373	1.589822	8.373183	0.006802	-0.003772	-0.001872	-0.533203	0.481201	-0.713135	0.599974	-0.145668	-0.226089	-0.753456
52007		4.776201	1.604645	8.377331	0.010358	-0.004536	-0.000603	-0.526611	0.475098	-0.714111	0.599947	-0.145745	-0.226178	-0.753435
52008		4.778148	1.603274	8.367433	0.013988	-0.004633	-0.000354	-0.529053	0.478516	-0.722900	0.599955	-0.145679	-0.226308	-0.753404
52009		4.784082	1.624353	8.337110	0.006837	-0.004286	-0.002203	-0.534912	0.482422	-0.725586	0.599978	-0.145628	-0.226337	-0.753386
52010		4.791412	1.598754	8.349370	0.006111	-0.003420	-0.002432	-0.528320	0.479492	-0.724121	0.599985	-0.145633	-0.226355	-0.753374
52011		4.783275	1.596737	8.338606	0.005309	-0.002373	-0.001819	-0.529785	0.479980	-0.717773	0.600036	-0.145568	-0.226341	-0.753350
52012		4.791262	1.618318	8.362199	0.003932	-0.001668	-0.002939	-0.531738	0.473389	-0.720947	0.600034	-0.145590	-0.226327	-0.753352
52013		4.780802	1.597946	8.359489	0.001678	-0.001429	-0.002246	-0.531738	0.478271	-0.722168	0.599985	-0.145547	-0.226366	-0.753388
52014		4.772224	1.608043	8.354102	0.002367	-0.000088	-0.002045	-0.535889	0.477539	-0.716064	0.599986	-0.145522	-0.226347	-0.753397
52015		4.792624	1.603748	8.347717	0.001102	-0.001772	-0.003979	-0.539062	0.470947	-0.719971	0.599878	-0.145617	-0.226379	-0.753455
52016		4.779926	1.604066	8.367866	0.002367	0.000759	-0.002224	-0.532471	0.478516	-0.727051	0.599738	-0.145599	-0.226494	-0.753535
52017		4.779808	1.604606	8.367831	-0.000425	-0.000706	-0.003416	-0.538086	0.481689	-0.725098	0.599744	-0.145548	-0.226451	-0.753554
52018		4.779740	1.605286	8.367739	0.002555	-0.000117	-0.004238	-0.531494	0.474121	-0.719238	0.599696	-0.145574	-0.226445	-0.753589
52019		4.782740	1.607007	8.345989	0.000989	-0.001077	-0.002806	-0.535156	0.486572	-0.723877	0.599647	-0.145555	-0.226461	-0.753626
52020		4.788539	1.597216	8.372617	0.000376	-0.001753	-0.004028	-0.543945	0.478271	-0.714111	0.599651	-0.145653	-0.226365	-0.753633
52021		4.771304	1.603993	8.357010	0.003243	-0.000469	-0.003678	-0.533447	0.474854	-0.719971	0.599463	-0.145830	-0.226463	-0.753719
52022		4.783064	1.596581	8.340364	0.003205	-0.001648	-0.002989	-0.526123	0.491211	-0.715576	0.599409	-0.145808	-0.226511	-0.753752
52023		4.781229	1.618459	8.362748	0.003818	-0.000972	-0.001766	-0.532959	0.476074	-0.718506	0.599522	-0.145951	-0.226286	-0.753702
52024		4.779451	1.601731	8.370198	0.004544	-0.001838	-0.001537	-0.533203	0.482422	-0.720215	0.599486	-0.145949	-0.226332	-0.753717
52025		4.789571	1.602283	8.371058	0.003205	-0.003342	-0.002630	-0.527100	0.475830	-0.724854	0.599479	-0.146021	-0.226298	-0.753719
52026		4.784245	1.600826	8.338873	0.004581	-0.000658	-0.002228	-0.531738	0.476318	-0.721924	0.599538	-0.145861	-0.226280	-0.753708
52027		4.781470	1.601167	8.360106	0.004656	-0.002533	-0.002710	-0.528564	0.479492	-0.720703	0.599524	-0.145811	-0.226319	-0.753717
52028		4.772270	1.602862	8.358290	0.003893	-0.002847	-0.002249	-0.527588	0.476807	-0.716797	0.599564	-0.145795	-0.226279	-0.753701
52029		4.782344	1.603406	8.359176	0.004468	-0.001656	-0.000696	-0.530762	0.485352	-0.719971	0.599595	-0.145781	-0.226258	-0.753685
52030		4.774153	1.588231	8.343547	0.004730	-0.003561	-0.003372	-0.541260	0.478027	-0.715576	0.599638	-0.145863	-0.226181	-0.753658
52031		4.771799	1.601583	8.369476	0.005344	-0.003731	-0.001970	-0.531738	0.477051	-0.718018	0.599501	-0.146022	-0.226310	-0.753698
52032		4.784073	1.607418	8.357416	0.006069	-0.002903	-0.002101	-0.541504	0.475586	-0.717285	0.599481	-0.146024	-0.226350	-0.753701
52033		4.782829	1.604040	8.369449	0.006107	-0.005110	-0.002072	-0.533691	0.473145	-0.725586	0.599333	-0.146137	-0.226525	-0.753744
52034		4.783531	1.605394	8.368789	0.004579	-0.002351	-0.001869	-0.527832	0.474365	-0.723145	0.599316	-0.146010	-0.226612	-0.753756
52035		4.782096	1.588725	8.376069	0.003891	-0.003693	-0.002069	-0.527832	0.480225	-0.727051	0.599357	-0.145895	-0.226624	-0.753742
52036		4.783659	1.586051	8.366643	0.006105	-0.002570	-0.002612	-0.536133	0.482178	-0.725098	0.599459	-0.145769	-0.226573	-0.753700
52037		4.776459	1.605894	8.356941	0.006067	-0.002903	-0.002101	-0.537109	0.479248	-0.723145	0.599470	-0.145785	-0.226582	-0.753686
52038		4.785649	1.597932	8.361595	0.004690	-0.003047	-0.003041	-0.535645	0.476318	-0.718018	0.599428	-0.145812	-0.226627	-0.753701
52039		4.775464	1.603973	8.368563	0.006829	-0.002589	-0.002563	-0.534180	0.483887	-0.723389	0.599367	-0.145844	-0.226708	-0.753719
52040		4.785502	1.604764	8.369418	0.003089	-0.001799	-0.001637	-0.524170	0.473877	-0.722900	0.599406	-0.145897	-0.226631	-0.753701
52041		4.778199	1.598261	8.350000	0.004577	-0.002351	-0.001869	-0.529053	0.479004	-0.716797	0.599482	-0.145737	-0.226603	-0.753680
52042		4.778710	1.599502	8.349470	0.005303	-0.003216	-0.001639	-0.531738	0.480957	-0.715332	0.599512	-0.145777	-0.226572	-0.753657
52043		4.777324	1.608893	8.366557	0.006028	-0.003234	-0.001590	-0.532471	0.479492	-0.721191	0.599522	-0.145880	-0.226549	-0.753637
52044		4.767368	1.601733	8.368525	0.004503	-0.003861	-0.000667	-0.535400	0.480957	-0.725586	0.599545	-0.145907	-0.226544	-0.753615
52045		4.799929	1.615063	8.355238	0.004502	-0.002168	-0.001028	-0.524902	0.476562	-0.725342	0.599569	-0.145900	-0.226538	-0.753599
52046		4.780069	1.608176	8.356076	0.003813	-0.002664	-0.001407	-0.538330	0.470703	-0.709961	0.599663	-0.145759	-0.226480	-0.753569
52047		4.789119	1.600021	8.360858	0.006026	-0.001541	-0.001952	-0.533936	0.475342	-0.722168	0.599497	-0.145865	-0.226643	-0.753631
52048		4.787605	1.596421	8.373114	0.003887	-0.003693	-0.002068	-0.530518	0.474854	-0.724854	0.599468	-0.145847	-0.226698	-0.753641
52049		4.772982	1.608533	8.344265	0.006826	-0.004281	-0.002202	-0.533203	0.482422	-0.720459	0.599489	-0.145738	-0.226756	-0.753628
52050		4.789961	1.595220	8.362952	0.004575	-0.002351	-0.001869	-0.530029	0.482666	-0.719238	0.599520	-0.145803	-0.226707	-0.753605
52051		4.780799	1.596735	8.361160	0.003124	-0.003160	-0.001786	-0.534424	0.478027	-0.718018	0.599577	-0.145875	-0.226617	-0.753573
52052		4.791899	1.606043	8.358110	0.003160	-0.001982	-0.002478	-0.529297	0.475586	-0.719238	0.599543	-0.145937	-0.226623	-0.753586
52053		4.792254	1.606850	8.357751	0.002976	-0.001949	-0.000284	-0.533691	0.481201	-0.715088	0.599573	-0.145914	-0.226602	-0.753574
52054		4.781015	1.603227	8.368842	0.002472	-0.002478	-0.002857	-0.528809	0.478516	-0.713379	0.599551	-0.146052	-0.226559	-0.753577
52055		4.784294	1.605020	8.346863	0.003196	-0.001650	-0.002989	-0.531250	0.474609	-0.712646	0.599555	-0.146120	-0.226502	-0.753578
52056		4.783277	1.622837	8.360460	0.002359	0.000758	-0.002228	-0.522705	0.480957	-0.716309	0.599514	-0.146162	-0.226490	-0.753606
52057		4.781320	1.593049	8.363236	0.003196	-0.001650	-0.002989	-0.534912	0.482178	-0.711670	0.599617	-0.146158	-0.226347	-0.753568
52058		4.783416	1.598734	8.350235	0.001020	-0.000750	-0.003316	-0.530273	0.480225	-0.714600	0.599568	-0.146347	-0.226284	-0.753589
52059		4.782440	1.616474	8.363819	0.002544	-0.000969	-0.004060	-0.532715	0.476807	-0.719971	0.599563	-0.146416	-0.226218	-0.753599
52060		4.781500	1.608562	8.367540	0.003122	-0.000621	-0.002329	-0.526367	0.474609	-0.719727	0.599550	-0.146393	-0.226220	-0.753613
52061		4.782629	1.605650	8.358406	0.003994	-0.001851	-0.003782	-0.536865	0.479736	-0.718506	0.599573	-0.146296	-0.226208	-0.753618
52062		4.774046	1.603239	8.347989	0.002506	-0.000454	-0.003730	-0.531494	0.478027	-0.721191	0.599517	-0.146363	-0.226209	-0.753649
